,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
airTotal,0.10255544434347634,0.2651207913409698,0.37627623090682627,1.0,1.0,4.0,2.0
rTotalApparentEnergy,0.09775021869568526,0.2618435961373694,0.37213430363797423,2.0,2.0,5.0,3.0
aVoltage_L1_N,0.046553784094168583,0.0061460789790301895,0.3897948274104711,4.0,10.0,3.0,5.666666666666667
aCosPhi_L1,0.04000359391723544,0.008809248051825369,0.34424438911872124,7.0,4.0,7.0,6.0
aVoltage_L3_N,0.04296154763846045,0.004905546639980107,0.40556728676813014,5.0,16.0,2.0,7.666666666666667
rTotalReactiveEnergy,0.0323602703803111,0.02581431252461619,0.3164416411180165,12.0,3.0,11.0,8.666666666666666
aVoltage_L2_N,0.04035334741726377,0.004458583494506785,0.407720746275228,6.0,20.0,1.0,9.0
aCosPhi_L3,0.034794282750642114,0.00593403850375207,0.33086876936106185,10.0,12.0,8.0,10.0
aCosPhi_L2,0.033475355865967574,0.005010485914998863,0.33047494604898847,11.0,14.0,9.0,11.333333333333334
aPowerFactorPF_L2,0.03550547345728387,0.004025586990832775,0.3658368918037206,9.0,23.0,6.0,12.666666666666666
airTempeatur,0.057751106792835925,0.0029698651114824504,0.3178034577230816,3.0,26.0,10.0,13.0
rTotalActivePower,0.028653878736353205,0.007432731982383922,0.28427980911442724,15.0,6.0,18.0,13.0
aReactivePower_L3,0.030695535864618786,0.007014585652381999,0.26479905680506,13.0,7.0,24.0,14.666666666666666
aReactivePower_L2,0.02959566831100222,0.004793002197202689,0.2972165380063882,14.0,18.0,14.0,15.333333333333334
aApparentPower_L3,0.026771560224389965,0.005279559020406888,0.2814886956269271,19.0,13.0,19.0,17.0
rTotalReactivePower,0.02501171407147788,0.007518376967534657,0.27225090284349396,25.0,5.0,21.0,17.0
aActivePower_L3,0.027222813789034492,0.004472344742401102,0.2957793179630762,18.0,19.0,15.0,17.333333333333332
airDurchfluss,0.03562937886826762,0.0022025375603886843,0.2909226106455182,8.0,27.0,17.0,17.333333333333332
aActivePower_L2,0.027762667120430986,0.0033911418810341765,0.3103897161134074,16.0,25.0,12.0,17.666666666666668
aCurrentL1,0.02559139860168054,0.004920271094806861,0.29259290808928023,22.0,15.0,16.0,17.666666666666668
aCurrentL3,0.026657610426982614,0.006300143622947729,0.2597774382199912,20.0,8.0,27.0,18.333333333333332
aReactivePower_L1,0.02634146939357631,0.00601582865402861,0.2644073226488778,21.0,11.0,26.0,19.333333333333332
rTotalApparentPower,0.022724215733923064,0.0062566775944026265,0.2700612598018367,27.0,9.0,22.0,19.333333333333332
aApparentPower_L1,0.02455454261182947,0.0043879716242747335,0.30988611750231077,26.0,21.0,13.0,20.0
aActivePower_L1,0.02775592982172742,0.0037472753537817205,0.27922598835864576,17.0,24.0,20.0,20.333333333333332
aApparentPower_L2,0.025429243393575655,0.004796613635399849,0.26444218638865225,24.0,17.0,25.0,22.0
aCurrentL2,0.02553794767779949,0.004179727888095508,0.2694791553421538,23.0,22.0,23.0,22.666666666666668
