,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
airTotal,0.11094496229634414,0.13836589153972667,0.3508904706186262,1.0,2.0,10.0,4.333333333333333
airDurchfluss,0.040533923153942795,0.005087074283665949,0.3881613607278737,6.0,5.0,4.0,5.0
rTotalApparentEnergy,0.10986173130045004,0.13996054732986318,0.34610016824286877,2.0,1.0,12.0,5.0
rTotalReactiveEnergy,0.07131493554825792,0.03781248825784722,0.30654144235928604,3.0,4.0,21.0,9.333333333333334
aVoltage_L1_N,0.03668600498431369,0.0024705769385646725,0.392074952467683,7.0,22.0,3.0,10.666666666666666
aApparentPower_L1,0.02384993318744511,0.005072903446041277,0.35001015515929257,17.0,6.0,11.0,11.333333333333334
aVoltage_L3_N,0.03423303630082816,0.0021688892815252547,0.3991144183748767,8.0,24.0,2.0,11.333333333333334
aCurrentL1,0.02496826021041735,0.004379766286047637,0.340921047177615,13.0,8.0,13.0,11.333333333333334
aReactivePower_L1,0.028205830620297342,0.004490027703543786,0.3265840481954607,10.0,7.0,19.0,12.0
aVoltage_L2_N,0.03030562025826121,0.0015959763908661717,0.4079287158580381,9.0,29.0,1.0,13.0
aActivePower_L2,0.020351587982945892,0.003727340177187344,0.3679322532224096,23.0,12.0,7.0,14.0
celHum,0.05032943830222058,0.003985616276283022,0.2431743488475948,5.0,10.0,29.0,14.666666666666666
aReactivePower_L3,0.028058941695446652,0.002512247698489345,0.33090829084870843,11.0,21.0,15.0,15.666666666666666
aCosPhi_L3,0.025282588148860814,0.00392361448076195,0.2948886318121448,12.0,11.0,25.0,16.0
aPowerFactorPF_L2,0.024703631556294733,0.002883146057289787,0.32856061607645426,14.0,17.0,17.0,16.0
aReactivePower_L2,0.019634447964407983,0.002661355432499013,0.3767660127130381,25.0,19.0,6.0,16.666666666666668
aCosPhi_L1,0.02462251768629333,0.003257378907225661,0.3034845168639867,15.0,15.0,22.0,17.333333333333332
aPowerFactorPF_L1,0.02424369545564546,0.0009651466570248513,0.37843090911922833,16.0,31.0,5.0,17.333333333333332
aActivePower_L1,0.020632063088949257,0.002537120493903977,0.33444909340793905,21.0,20.0,14.0,18.333333333333332
aCosPhi_L2,0.02043636634797054,0.004055860058643113,0.29923744394184804,22.0,9.0,24.0,18.333333333333332
aActivePower_L3,0.02264390400683157,0.0032868788642346214,0.3011024300365579,19.0,14.0,23.0,18.666666666666668
airTempeatur,0.05539327093783328,0.001853701354352033,0.22272285967749744,4.0,27.0,30.0,20.333333333333332
rTotalActivePower,0.017418970269319614,0.0033154462001743212,0.3216525216834294,28.0,13.0,20.0,20.333333333333332
aApparentPower_L2,0.017537180599429873,0.0019100414039987523,0.35980550019599,27.0,26.0,8.0,20.333333333333332
aCurrentL3,0.02266647961241203,0.003116253087595,0.2639192078151123,18.0,16.0,28.0,20.666666666666668
aApparentPower_L3,0.020947617268531542,0.002783282575574697,0.2811322696502983,20.0,18.0,26.0,21.333333333333332
rTotalReactivePower,0.020270050685911017,0.0021018437308690796,0.3304799299569686,24.0,25.0,16.0,21.666666666666668
celTemp,0.0022232207210525178,0.13079420527328867,0.2029850443012148,31.0,3.0,31.0,21.666666666666668
aCurrentL2,0.01737783487434597,0.001762141457498867,0.35749615968524245,29.0,28.0,9.0,22.0
airDruck,0.018784806225092817,0.0014877948213007919,0.32678854759063797,26.0,30.0,18.0,24.666666666666668
rTotalApparentPower,0.015537148709646773,0.0023871915202113847,0.2682556355522804,30.0,23.0,27.0,26.666666666666668
