,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
rTotalApparentEnergy,0.1309262442180043,0.16134502061130362,0.3920561043041392,1.0,1.0,7.0,3.0
rTotalReactiveEnergy,0.08158765342114187,0.058926641246135114,0.4085223780662838,3.0,3.0,3.0,3.0
airTotal,0.12818072364140712,0.15670520450433512,0.3942079462318958,2.0,2.0,6.0,3.3333333333333335
aVoltage_L1_N,0.043450172928352744,0.005007286105634945,0.3914817050457914,5.0,13.0,8.0,8.666666666666666
aVoltage_L2_N,0.036628792007593655,0.00465528859899389,0.3991185128730625,8.0,14.0,5.0,9.0
airDurchfluss,0.04153214441588124,0.0071319203920754415,0.325727982287057,6.0,6.0,15.0,9.0
aVoltage_L3_N,0.03476427749460833,0.004583480141349572,0.4021409462952237,9.0,15.0,4.0,9.333333333333334
airTempeatur,0.05681973351388159,0.008325523814789015,0.28148419273230624,4.0,4.0,23.0,10.333333333333334
aReactivePower_L2,0.031986807660075244,0.0060800536055463095,0.3150635834059927,10.0,9.0,17.0,12.0
aReactivePower_L1,0.024117310056943727,0.006238906380517495,0.3335646658483295,16.0,8.0,14.0,12.666666666666666
aCosPhi_L1,0.0249333268285474,0.006458422755180715,0.2960119227348105,14.0,7.0,20.0,13.666666666666666
aCosPhi_L2,0.02853593066767698,0.005845454661381533,0.2922497545193838,11.0,11.0,21.0,14.333333333333334
aPowerFactorPF_L1,0.023203367632712607,0.00457802139163066,0.37878924073309256,18.0,16.0,9.0,14.333333333333334
aCurrentL1,0.021792134248645723,0.003914977869992731,0.41054180686072506,20.0,22.0,2.0,14.666666666666666
aApparentPower_L1,0.0196985882701519,0.003631789561970855,0.4136901142412806,22.0,25.0,1.0,16.0
aPowerFactorPF_L2,0.0368950697849378,0.003891040055635342,0.3135398624597909,7.0,23.0,18.0,16.0
rTotalActivePower,0.014071109926143261,0.007290001471377483,0.3100387030831958,25.0,5.0,19.0,16.333333333333332
aCurrentL2,0.027531521310596125,0.005172161915986573,0.27718560075967014,13.0,12.0,24.0,16.333333333333332
aReactivePower_L3,0.022020695426752,0.004212503668225898,0.35592515720753715,19.0,20.0,13.0,17.333333333333332
aActivePower_L1,0.023595316715239293,0.004416857454187184,0.2911144952112724,17.0,17.0,22.0,18.666666666666668
aActivePower_L2,0.02827676076577964,0.004089533059209671,0.2762578832647641,12.0,21.0,25.0,19.333333333333332
aApparentPower_L2,0.0248198648378397,0.004316197294835344,0.2702923420028062,15.0,18.0,27.0,20.0
rTotalReactivePower,0.01591403118142567,0.005980919413094421,0.2707377258589552,24.0,10.0,26.0,20.0
aActivePower_L3,0.01707847340227602,0.0030177966675886125,0.378286187115468,23.0,28.0,10.0,20.333333333333332
aApparentPower_L3,0.013160125841867145,0.0033944193395618605,0.3688962881896666,28.0,26.0,11.0,21.666666666666668
aCurrentL3,0.013886180221286298,0.003342012671078143,0.3654288715667671,26.0,27.0,12.0,21.666666666666668
rTotalApparentPower,0.013329876022615792,0.0038484134722958085,0.31871463103189057,27.0,24.0,16.0,22.333333333333332
aCosPhi_L3,0.02126376755761692,0.004217121403074842,0.2654569566881405,21.0,19.0,28.0,22.666666666666668
