[2025-05-14 21:56:21,383] [INFO] [<frozen importlib] - Successfully loaded config from configs/feature_selection.yaml
[2025-05-14 21:56:22,095] [INFO] [<frozen importlib] - Loaded ring data with shape (766652, 399)
[2025-05-14 21:56:22,946] [INFO] [<frozen importlib] - Loaded contact data with shape (870588, 385)
[2025-05-14 21:56:23,431] [INFO] [<frozen importlib] - Loaded pcb data with shape (729530, 441)
[2025-05-14 21:56:23,713] [INFO] [<frozen importlib] - Added missing column 'airDruck_diff_mean' with 0 values for ring
[2025-05-14 21:56:23,715] [INFO] [<frozen importlib] - Added missing column 'celHum_mean' with 0 values for ring
[2025-05-14 21:56:23,715] [INFO] [<frozen importlib] - Added missing column 'airDruck_trend_slope' with 0 values for ring
[2025-05-14 21:56:23,717] [INFO] [<frozen importlib] - Added missing column 'celHum_spike_count' with 0 values for ring
[2025-05-14 21:56:23,718] [INFO] [<frozen importlib] - Added missing column 'airDruck_abs_energy' with 0 values for ring
[2025-05-14 21:56:23,718] [INFO] [<frozen importlib] - Added missing column 'celHum_skew' with 0 values for ring
[2025-05-14 21:56:23,719] [INFO] [<frozen importlib] - Added missing column 'celTemp_trend_slope' with 0 values for ring
[2025-05-14 21:56:23,721] [INFO] [<frozen importlib] - Added missing column 'airDruck_spike_count' with 0 values for ring
[2025-05-14 21:56:23,721] [INFO] [<frozen importlib] - Added missing column 'celTemp_z_score' with 0 values for ring
[2025-05-14 21:56:23,722] [INFO] [<frozen importlib] - Added missing column 'celHum_diff_std' with 0 values for ring
[2025-05-14 21:56:23,723] [INFO] [<frozen importlib] - Added missing column 'celHum_ks_test_statistic' with 0 values for ring
[2025-05-14 21:56:23,724] [INFO] [<frozen importlib] - Added missing column 'celHum_change_point_score' with 0 values for ring
[2025-05-14 21:56:23,725] [INFO] [<frozen importlib] - Added missing column 'celTemp_abs_energy' with 0 values for ring
[2025-05-14 21:56:23,726] [INFO] [<frozen importlib] - Added missing column 'celTemp_change_point_score' with 0 values for ring
[2025-05-14 21:56:23,727] [INFO] [<frozen importlib] - Added missing column 'celTemp_spike_count' with 0 values for ring
[2025-05-14 21:56:23,728] [INFO] [<frozen importlib] - Added missing column 'celTemp_ks_test_statistic' with 0 values for ring
[2025-05-14 21:56:23,729] [INFO] [<frozen importlib] - Added missing column 'airDruck_change_point_score' with 0 values for ring
[2025-05-14 21:56:23,730] [INFO] [<frozen importlib] - Added missing column 'celHum_trend_slope' with 0 values for ring
[2025-05-14 21:56:23,731] [INFO] [<frozen importlib] - Added missing column 'airDruck_mean' with 0 values for ring
[2025-05-14 21:56:23,732] [INFO] [<frozen importlib] - Added missing column 'airDruck_range' with 0 values for ring
[2025-05-14 21:56:23,733] [INFO] [<frozen importlib] - Added missing column 'celHum_abs_energy' with 0 values for ring
[2025-05-14 21:56:23,734] [INFO] [<frozen importlib] - Added missing column 'celTemp_diff_std' with 0 values for ring
[2025-05-14 21:56:23,735] [INFO] [<frozen importlib] - Added missing column 'airDruck_ks_test_statistic' with 0 values for ring
[2025-05-14 21:56:23,736] [INFO] [<frozen importlib] - Added missing column 'celHum_min' with 0 values for ring
[2025-05-14 21:56:23,737] [INFO] [<frozen importlib] - Added missing column 'celTemp_min' with 0 values for ring
[2025-05-14 21:56:23,738] [INFO] [<frozen importlib] - Added missing column 'airDruck_z_score' with 0 values for ring
[2025-05-14 21:56:23,738] [INFO] [<frozen importlib] - Added missing column 'celHum_z_score' with 0 values for ring
[2025-05-14 21:56:23,739] [INFO] [<frozen importlib] - Added missing column 'celHum_diff_mean' with 0 values for ring
[2025-05-14 21:56:23,740] [INFO] [<frozen importlib] - Added missing column 'airDruck_min' with 0 values for ring
[2025-05-14 21:56:23,741] [INFO] [<frozen importlib] - Added missing column 'celTemp_std' with 0 values for ring
[2025-05-14 21:56:23,742] [INFO] [<frozen importlib] - Added missing column 'celHum_range' with 0 values for ring
[2025-05-14 21:56:23,743] [INFO] [<frozen importlib] - Added missing column 'celHum_std' with 0 values for ring
[2025-05-14 21:56:23,744] [INFO] [<frozen importlib] - Added missing column 'celTemp_mean' with 0 values for ring
[2025-05-14 21:56:23,745] [INFO] [<frozen importlib] - Added missing column 'airDruck_max' with 0 values for ring
[2025-05-14 21:56:23,746] [INFO] [<frozen importlib] - Added missing column 'airDruck_diff_std' with 0 values for ring
[2025-05-14 21:56:23,747] [INFO] [<frozen importlib] - Added missing column 'airDruck_skew' with 0 values for ring
[2025-05-14 21:56:23,748] [INFO] [<frozen importlib] - Added missing column 'celTemp_skew' with 0 values for ring
[2025-05-14 21:56:23,749] [INFO] [<frozen importlib] - Added missing column 'celTemp_diff_mean' with 0 values for ring
[2025-05-14 21:56:23,750] [INFO] [<frozen importlib] - Added missing column 'celTemp_max' with 0 values for ring
[2025-05-14 21:56:23,751] [INFO] [<frozen importlib] - Added missing column 'celHum_max' with 0 values for ring
