feature,shap_importance
airTotal,0.02952205694098093
rTotalApparentEnergy,0.023731228808025487
rTotalReactiveEnergy,0.01968582492089352
aVoltage_L1_N,0.01914402002267079
aVoltage_L3_N,0.017377791906967033
rTotalActivePower,0.015565892676500775
aVoltage_L2_N,0.010069448528504133
aCosPhi_L1,0.007741866683877501
airTempeatur,0.0071598399464268495
aActivePower_L2,0.005633578128606035
aApparentPower_L3,0.005560475817813273
aApparentPower_L2,0.00538263286815503
aCosPhi_L3,0.00442052051922449
aActivePower_L3,0.00432968201692147
airDurchfluss,0.0038837428243386073
aPowerFactorPF_L2,0.003811336661625723
rTotalReactivePower,0.0036325328225881707
aReactivePower_L1,0.003167228557609794
aCosPhi_L2,0.0024906996129498682
aCurrentL2,0.0023651555206108963
aCurrentL3,0.0019837887829967037
aReactivePower_L3,0.001725035345886575
aActivePower_L1,0.0016381793643306449
aReactivePower_L2,0.0014896430818974096
rTotalApparentPower,0.0007314682402047549
aApparentPower_L1,0.00021128537350594595
aCurrentL1,0.00020713135162084967
