feature,shap_importance
airTotal,0.021269468127755597
aReactivePower_L2,0.015916549815627012
rTotalReactiveEnergy,0.01505523226272363
rTotalApparentEnergy,0.012513920125592356
aCosPhi_L1,0.008279300528300188
airDurchfluss,0.007658194698716092
aPowerFactorPF_L2,0.00446497383141584
aVoltage_L1_N,0.004381400504243103
aVoltage_L3_N,0.003734282685319821
aCosPhi_L2,0.002670333723684841
aPowerFactorPF_L1,0.002323248493405137
aVoltage_L2_N,0.0015796079779765877
aActivePower_L1,0.001214692090877753
aCurrentL1,0.00046035211752910426
aCurrentL3,0.00045610926435393686
airTempeatur,0.00042631730113230215
aReactivePower_L1,0.00037137249480353785
aReactivePower_L3,0.00018274218082615297
aApparentPower_L1,0.00013927562225542046
aApparentPower_L2,0.00012756143828375973
aActivePower_L3,7.649396046935765e-05
aCurrentL2,7.175575927484976e-05
aApparentPower_L3,7.086280219124225e-05
aCosPhi_L3,5.948257893955722e-05
rTotalActivePower,4.905061596536289e-05
aActivePower_L2,4.891596199554383e-06
rTotalReactivePower,4.367251760833749e-06
rTotalApparentPower,0.0
