feature,shap_importance
rTotalApparentEnergy,0.018998033564106103
rTotalReactiveEnergy,0.018880046180574577
airTotal,0.017376269539410735
airDurchfluss,0.004828888980795801
aCosPhi_L2,0.0046142302592760455
aPowerFactorPF_L2,0.004490610940645369
aCosPhi_L3,0.0044679962136236345
aCurrentL1,0.0029822291849649304
airTempeatur,0.0028947720284056904
aReactivePower_L3,0.001683556859162431
aApparentPower_L1,0.0016682057915399522
aReactivePower_L2,0.0013216731111602789
aReactivePower_L1,0.0012751894291273204
aActivePower_L2,0.001011816178799032
aActivePower_L1,0.0009936398221421013
aCosPhi_L1,0.000993488173062757
aVoltage_L3_N,0.0007803956894836953
aCurrentL3,0.0007372729639675896
rTotalReactivePower,0.0007037823404757627
airDruck,0.00047764214930783505
aVoltage_L2_N,0.0003854250400993336
aVoltage_L1_N,0.00028641860473590966
celHum,0.00026886932671367687
aPowerFactorPF_L1,0.00018626030457155108
rTotalApparentPower,0.00015411442773423985
aActivePower_L3,0.00015000254306956937
aCurrentL2,0.0
rTotalActivePower,0.0
aApparentPower_L2,0.0
aApparentPower_L3,0.0
celTemp,0.0
