number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.1353633059554131,2025-10-19 16:13:38.678825,2025-10-19 16:13:55.048950,0 days 00:00:16.370125,True,9,30,20,110,150,COMPLETE
1,0.39825820877956924,2025-10-19 16:13:55.049460,2025-10-19 16:13:59.594194,0 days 00:00:04.544734,True,1,60,25,135,100,COMPLETE
2,0.13260257075174164,2025-10-19 16:13:59.594523,2025-10-19 16:14:10.844423,0 days 00:00:11.249900,True,9,30,15,110,100,COMPLETE
3,0.41154639175257735,2025-10-19 16:14:10.844743,2025-10-19 16:14:17.346931,0 days 00:00:06.502188,True,3,40,20,85,100,COMPLETE
4,0.39905660377358493,2025-10-19 16:14:17.347258,2025-10-19 16:14:26.697455,0 days 00:00:09.350197,True,1,50,15,35,250,COMPLETE
5,0.4102691924227318,2025-10-19 16:14:26.697844,2025-10-19 16:14:34.369898,0 days 00:00:07.672054,True,1,30,20,85,250,COMPLETE
6,0.11057860900058446,2025-10-19 16:14:34.370304,2025-10-19 16:14:45.132728,0 days 00:00:10.762424,True,1,70,30,10,250,COMPLETE
7,0.41606337931976506,2025-10-19 16:14:45.133120,2025-10-19 16:15:06.341011,0 days 00:00:21.207891,True,3,50,25,10,300,COMPLETE
8,0.4367408906882591,2025-10-19 16:15:06.341329,2025-10-19 16:15:15.121666,0 days 00:00:08.780337,True,5,40,30,10,100,COMPLETE
9,0.4464870309745656,2025-10-19 16:15:15.121989,2025-10-19 16:15:28.083803,0 days 00:00:12.961814,True,3,30,20,85,250,COMPLETE
10,0.43125,2025-10-19 16:15:28.084138,2025-10-19 16:15:45.177336,0 days 00:00:17.093198,True,5,40,10,60,200,COMPLETE
11,0.43590057548671485,2025-10-19 16:15:45.177799,2025-10-19 16:16:02.343202,0 days 00:00:17.165403,True,5,40,30,60,200,COMPLETE
12,0.14164866810655147,2025-10-19 16:16:02.343711,2025-10-19 16:16:49.585692,0 days 00:00:47.241981,True,7,40,25,35,300,COMPLETE
