number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.09637215503990815,2025-10-19 17:07:14.719020,2025-10-19 17:07:38.320512,0 days 00:00:23.601492,True,10,30,20,110,200,COMPLETE
1,0.05775996981031555,2025-10-19 17:07:38.320889,2025-10-19 17:07:45.363510,0 days 00:00:07.042621,True,1,60,25,135,150,COMPLETE
2,0.09821647636123432,2025-10-19 17:07:45.363858,2025-10-19 17:07:58.007164,0 days 00:00:12.643306,True,10,30,15,110,100,COMPLETE
3,0.11827166168696851,2025-10-19 17:07:58.007500,2025-10-19 17:08:11.046540,0 days 00:00:13.039040,True,4,40,20,85,150,COMPLETE
4,0.3617623282134196,2025-10-19 17:08:11.046853,2025-10-19 17:08:29.746347,0 days 00:00:18.699494,True,2,50,15,35,300,COMPLETE
5,0.46243814664867294,2025-10-19 17:08:29.746735,2025-10-19 17:08:44.212742,0 days 00:00:14.466007,True,2,30,20,85,350,COMPLETE
6,0.05775996981031555,2025-10-19 17:08:44.213082,2025-10-19 17:09:07.329059,0 days 00:00:23.115977,True,2,70,30,10,300,COMPLETE
7,0.11937461388585278,2025-10-19 17:09:07.329396,2025-10-19 17:09:41.644722,0 days 00:00:34.315326,True,4,50,25,10,350,COMPLETE
8,0.10804301789644147,2025-10-19 17:09:41.645072,2025-10-19 17:09:52.215532,0 days 00:00:10.570460,True,5,40,30,10,100,COMPLETE
9,0.11900289855072464,2025-10-19 17:09:52.215855,2025-10-19 17:10:11.782438,0 days 00:00:19.566583,True,4,30,20,85,300,COMPLETE
10,0.09326164874551972,2025-10-19 17:10:11.783422,2025-10-19 17:10:59.157309,0 days 00:00:47.373887,True,7,40,10,60,400,COMPLETE
11,0.05775996981031555,2025-10-19 17:10:59.157654,2025-10-19 17:11:19.829537,0 days 00:00:20.671883,True,2,60,10,60,300,COMPLETE
12,0.05775996981031555,2025-10-19 17:11:19.829879,2025-10-19 17:11:35.844939,0 days 00:00:16.015060,True,1,50,15,35,400,COMPLETE
13,0.16342812006319116,2025-10-19 17:11:35.845716,2025-10-19 17:12:23.944264,0 days 00:00:48.098548,True,7,70,15,35,250,COMPLETE
14,0.1873873873873874,2025-10-19 17:12:23.944601,2025-10-19 17:12:55.085127,0 days 00:00:31.140526,True,3,60,15,35,350,COMPLETE
15,0.09985991978968779,2025-10-19 17:12:55.085478,2025-10-19 17:13:22.678301,0 days 00:00:27.592823,True,6,40,25,60,250,COMPLETE
16,0.3668056892310983,2025-10-19 17:13:22.678645,2025-10-19 17:13:43.860815,0 days 00:00:21.182170,True,2,50,10,110,350,COMPLETE
17,0.09171013675454674,2025-10-19 17:13:43.861160,2025-10-19 17:14:11.983532,0 days 00:00:28.122372,True,3,50,10,135,350,COMPLETE
18,0.09930539653461568,2025-10-19 17:14:11.983875,2025-10-19 17:15:19.783675,0 days 00:01:07.799800,True,8,30,10,110,400,COMPLETE
19,0.05775996981031555,2025-10-19 17:15:19.784480,2025-10-19 17:16:02.516718,0 days 00:00:42.732238,True,1,60,25,85,350,COMPLETE
20,0.17356368019284854,2025-10-19 17:16:02.517460,2025-10-19 17:16:41.208808,0 days 00:00:38.691348,True,3,40,20,110,200,COMPLETE
21,0.3617623282134196,2025-10-19 17:16:41.209656,2025-10-19 17:17:42.527797,0 days 00:01:01.318141,True,2,50,15,85,300,COMPLETE
22,0.3668056892310983,2025-10-19 17:17:42.531584,2025-10-19 17:18:49.671672,0 days 00:01:07.140088,True,2,50,15,135,350,COMPLETE
23,0.11048859934853421,2025-10-19 17:18:49.674578,2025-10-19 17:20:56.133600,0 days 00:02:06.459022,True,5,50,10,135,350,COMPLETE
24,0.1787154824697487,2025-10-19 17:20:56.142642,2025-10-19 17:23:13.146533,0 days 00:02:17.003891,True,3,60,15,135,400,COMPLETE
25,0.05775996981031555,2025-10-19 17:23:13.150642,2025-10-19 17:23:55.983017,0 days 00:00:42.832375,True,1,40,20,110,350,COMPLETE
26,0.05775996981031555,2025-10-19 17:23:55.986578,2025-10-19 17:25:27.032034,0 days 00:01:31.045456,True,2,70,10,110,400,COMPLETE
27,0.12751610808650918,2025-10-19 17:25:27.041722,2025-10-19 17:26:25.263531,0 days 00:00:58.221809,True,4,30,15,135,250,COMPLETE
28,0.10693736643103732,2025-10-19 17:26:25.267686,2025-10-19 17:27:48.110611,0 days 00:01:22.842925,True,3,50,20,85,300,COMPLETE
29,0.09924668637360541,2025-10-19 17:27:48.111316,2025-10-19 17:29:18.163601,0 days 00:01:30.052285,True,9,30,10,110,200,COMPLETE
30,0.1221953578336557,2025-10-19 17:29:18.165183,2025-10-19 17:30:46.108209,0 days 00:01:27.943026,True,5,40,20,110,250,COMPLETE
31,0.3617623282134196,2025-10-19 17:30:46.111550,2025-10-19 17:31:39.621384,0 days 00:00:53.509834,True,2,50,15,60,300,COMPLETE
32,0.05775996981031555,2025-10-19 17:31:39.622012,2025-10-19 17:32:18.751513,0 days 00:00:39.129501,True,1,50,15,135,350,COMPLETE
33,0.05775996981031555,2025-10-19 17:32:18.752232,2025-10-19 17:33:43.968799,0 days 00:01:25.216567,True,2,60,20,35,350,COMPLETE
34,0.05775996981031555,2025-10-19 17:33:43.972571,2025-10-19 17:34:24.002481,0 days 00:00:40.029910,True,1,50,15,85,300,COMPLETE
35,0.05775996981031555,2025-10-19 17:34:24.003276,2025-10-19 17:35:34.708904,0 days 00:01:10.705628,True,2,60,10,110,300,COMPLETE
36,0.10241473638635783,2025-10-19 17:35:34.711552,2025-10-19 17:36:57.448715,0 days 00:01:22.737163,True,3,40,25,135,350,COMPLETE
37,0.11837888784165881,2025-10-19 17:36:57.449393,2025-10-19 17:38:56.275623,0 days 00:01:58.826230,True,4,50,15,85,400,COMPLETE
38,0.05775996981031555,2025-10-19 17:38:56.279744,2025-10-19 17:39:36.558862,0 days 00:00:40.279118,True,1,60,20,10,350,COMPLETE
39,0.11821217805023103,2025-10-19 17:39:36.563348,2025-10-19 17:40:19.082649,0 days 00:00:42.519301,True,4,40,25,60,150,COMPLETE
