number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.03819918144611187,2025-11-29 15:18:13.551200,2025-11-29 15:18:32.167277,0 days 00:00:18.616077,True,10,20,20,110,200,COMPLETE
1,0.20465292226215245,2025-11-29 15:18:32.167655,2025-11-29 15:18:39.039254,0 days 00:00:06.871599,True,1,50,25,135,150,COMPLETE
2,0.03597599717613837,2025-11-29 15:18:39.040245,2025-11-29 15:18:49.214183,0 days 00:00:10.173938,True,10,20,15,110,100,COMPLETE
3,0.03617314271923224,2025-11-29 15:18:49.214519,2025-11-29 15:19:00.215068,0 days 00:00:11.000549,True,4,30,20,85,150,COMPLETE
4,0.0344575771508939,2025-11-29 15:19:00.215390,2025-11-29 15:19:16.268312,0 days 00:00:16.052922,True,2,40,15,35,300,COMPLETE
5,0.038631229437360706,2025-11-29 15:19:16.268637,2025-11-29 15:19:26.025969,0 days 00:00:09.757332,True,2,10,20,85,350,COMPLETE
6,0.035151130547546455,2025-11-29 15:19:26.026323,2025-11-29 15:19:50.567130,0 days 00:00:24.540807,True,2,70,30,10,300,COMPLETE
7,0.034544468546637744,2025-11-29 15:19:50.567503,2025-11-29 15:20:20.515332,0 days 00:00:29.947829,True,4,40,25,10,350,COMPLETE
8,0.03573833034111311,2025-11-29 15:20:20.515675,2025-11-29 15:20:27.348040,0 days 00:00:06.832365,True,5,20,30,10,100,COMPLETE
9,0.036662398020115394,2025-11-29 15:20:27.348372,2025-11-29 15:20:43.385812,0 days 00:00:16.037440,True,4,20,20,85,300,COMPLETE
10,0.03862361679551311,2025-11-29 15:20:43.386134,2025-11-29 15:21:20.120886,0 days 00:00:36.734752,True,7,60,10,135,200,COMPLETE
11,0.04809815950920245,2025-11-29 15:21:20.121238,2025-11-29 15:21:36.214159,0 days 00:00:16.092921,True,1,50,25,135,400,COMPLETE
12,0.04093764560338041,2025-11-29 15:21:36.214723,2025-11-29 15:21:54.111969,0 days 00:00:17.897246,True,1,60,25,135,400,COMPLETE
13,0.047929873403434846,2025-11-29 15:21:54.112311,2025-11-29 15:22:02.808857,0 days 00:00:08.696546,True,1,50,25,135,200,COMPLETE
14,0.037656965797393666,2025-11-29 15:22:02.809188,2025-11-29 15:23:05.010493,0 days 00:01:02.201305,True,7,50,30,110,400,COMPLETE
15,0.034670440320034836,2025-11-29 15:23:05.010817,2025-11-29 15:23:26.181170,0 days 00:00:21.170353,True,3,50,25,60,250,COMPLETE
16,0.03514191928943811,2025-11-29 15:23:26.181569,2025-11-29 15:23:55.803956,0 days 00:00:29.622387,True,6,70,25,135,150,COMPLETE
17,0.040938303341902314,2025-11-29 15:23:55.804288,2025-11-29 15:24:07.816023,0 days 00:00:12.011735,True,1,60,30,110,250,COMPLETE
18,0.03458713977385332,2025-11-29 15:24:07.816835,2025-11-29 15:24:18.840025,0 days 00:00:11.023190,True,3,40,15,60,150,COMPLETE
19,0.03680804345313764,2025-11-29 15:24:18.840365,2025-11-29 15:25:18.607127,0 days 00:00:59.766762,True,8,50,25,135,350,COMPLETE
20,0.03670200507029269,2025-11-29 15:25:18.607451,2025-11-29 15:25:40.848963,0 days 00:00:22.241512,True,3,30,30,110,400,COMPLETE
21,0.047929873403434846,2025-11-29 15:25:40.849296,2025-11-29 15:25:49.819332,0 days 00:00:08.970036,True,1,50,25,135,200,COMPLETE
22,0.040938303341902314,2025-11-29 15:25:49.819699,2025-11-29 15:25:59.637985,0 days 00:00:09.818286,True,1,60,25,135,200,COMPLETE
23,0.034096535481539965,2025-11-29 15:25:59.639136,2025-11-29 15:26:10.175428,0 days 00:00:10.536292,True,2,50,25,110,150,COMPLETE
24,0.35131520285332146,2025-11-29 15:26:10.175765,2025-11-29 15:26:18.352388,0 days 00:00:08.176623,True,1,30,20,135,250,COMPLETE
25,0.03735741723602029,2025-11-29 15:26:18.352713,2025-11-29 15:26:32.720573,0 days 00:00:14.367860,True,3,30,20,110,250,COMPLETE
26,0.0344575771508939,2025-11-29 15:26:32.720906,2025-11-29 15:26:49.134360,0 days 00:00:16.413454,True,2,40,20,135,300,COMPLETE
27,0.044362420781391465,2025-11-29 15:26:49.134698,2025-11-29 15:26:52.866741,0 days 00:00:03.732043,True,1,30,15,85,100,COMPLETE
28,0.03440871831575536,2025-11-29 15:26:52.867060,2025-11-29 15:27:18.055903,0 days 00:00:25.188843,True,5,40,10,135,250,COMPLETE
29,0.03539626311037022,2025-11-29 15:27:18.056227,2025-11-29 15:27:38.215437,0 days 00:00:20.159210,True,10,10,20,110,350,COMPLETE
30,0.0346021701047028,2025-11-29 15:27:38.215777,2025-11-29 15:27:48.834016,0 days 00:00:10.618239,True,2,40,20,35,200,COMPLETE
31,0.047929873403434846,2025-11-29 15:27:48.834333,2025-11-29 15:27:57.849722,0 days 00:00:09.015389,True,1,50,25,135,200,COMPLETE
32,0.03537414965986395,2025-11-29 15:27:57.850297,2025-11-29 15:28:53.591566,0 days 00:00:55.741269,True,9,60,25,110,250,COMPLETE
33,0.20465292226215245,2025-11-29 15:28:53.591913,2025-11-29 15:29:00.165752,0 days 00:00:06.573839,True,1,50,20,135,150,COMPLETE
34,0.035958734952511326,2025-11-29 15:29:00.166095,2025-11-29 15:29:05.295341,0 days 00:00:05.129246,True,2,30,15,135,100,COMPLETE
35,0.034697823896287824,2025-11-29 15:29:05.295689,2025-11-29 15:29:18.520542,0 days 00:00:13.224853,True,3,50,15,110,150,COMPLETE
36,0.09783135123499972,2025-11-29 15:29:18.520874,2025-11-29 15:29:23.763607,0 days 00:00:05.242733,True,1,30,20,110,150,COMPLETE
37,0.03670887899612453,2025-11-29 15:29:23.763930,2025-11-29 15:29:27.893656,0 days 00:00:04.129726,True,2,20,20,110,100,COMPLETE
38,0.03619215363199909,2025-11-29 15:29:27.893984,2025-11-29 15:29:35.965043,0 days 00:00:08.071059,True,4,20,20,85,150,COMPLETE
39,0.03623332669719291,2025-11-29 15:29:35.965380,2025-11-29 15:29:43.545175,0 days 00:00:07.579795,True,2,30,20,85,150,COMPLETE
40,0.035958734952511326,2025-11-29 15:29:43.545496,2025-11-29 15:29:48.550816,0 days 00:00:05.005320,True,2,30,15,110,100,COMPLETE
41,0.3723825693265422,2025-11-29 15:29:48.551136,2025-11-29 15:29:54.521928,0 days 00:00:05.970792,True,1,40,20,135,150,COMPLETE
42,0.3723825693265422,2025-11-29 15:29:54.522264,2025-11-29 15:30:00.728913,0 days 00:00:06.206649,True,1,40,20,135,150,COMPLETE
43,0.3723825693265422,2025-11-29 15:30:00.729234,2025-11-29 15:30:06.708956,0 days 00:00:05.979722,True,1,40,20,135,150,COMPLETE
44,0.03479495828155512,2025-11-29 15:30:06.709278,2025-11-29 15:30:12.753328,0 days 00:00:06.044050,True,2,40,20,135,100,COMPLETE
45,0.3723825693265422,2025-11-29 15:30:12.753660,2025-11-29 15:30:20.601546,0 days 00:00:07.847886,True,1,40,20,135,200,COMPLETE
46,0.3723825693265422,2025-11-29 15:30:20.601874,2025-11-29 15:30:28.526471,0 days 00:00:07.924597,True,1,40,20,135,200,COMPLETE
47,0.034719099592581994,2025-11-29 15:30:28.526801,2025-11-29 15:30:42.573848,0 days 00:00:14.047047,True,3,40,15,135,200,COMPLETE
48,0.3723825693265422,2025-11-29 15:30:42.574178,2025-11-29 15:30:50.192589,0 days 00:00:07.618411,True,1,40,20,35,200,COMPLETE
49,0.0346021701047028,2025-11-29 15:30:50.192906,2025-11-29 15:31:01.292868,0 days 00:00:11.099962,True,2,40,20,135,200,COMPLETE
50,0.0345664943768399,2025-11-29 15:31:01.293303,2025-11-29 15:31:14.784477,0 days 00:00:13.491174,True,4,40,20,60,150,COMPLETE
51,0.3723825693265422,2025-11-29 15:31:14.784924,2025-11-29 15:31:22.385548,0 days 00:00:07.600624,True,1,40,20,35,200,COMPLETE
52,0.3723825693265422,2025-11-29 15:31:22.385873,2025-11-29 15:31:29.819789,0 days 00:00:07.433916,True,1,40,20,10,200,COMPLETE
53,0.3723825693265422,2025-11-29 15:31:29.820108,2025-11-29 15:31:35.661880,0 days 00:00:05.841772,True,1,40,20,35,150,COMPLETE
54,0.0346021701047028,2025-11-29 15:31:35.662196,2025-11-29 15:31:46.700735,0 days 00:00:11.038539,True,2,40,15,60,200,COMPLETE
55,0.09783135123499972,2025-11-29 15:31:46.701051,2025-11-29 15:31:51.778295,0 days 00:00:05.077244,True,1,30,20,10,150,COMPLETE
56,0.03576090160138103,2025-11-29 15:31:51.778677,2025-11-29 15:32:15.202170,0 days 00:00:23.423493,True,6,40,20,135,200,COMPLETE
57,0.3723825693265422,2025-11-29 15:32:15.202508,2025-11-29 15:32:22.843339,0 days 00:00:07.640831,True,1,40,20,135,200,COMPLETE
58,0.034096535481539965,2025-11-29 15:32:22.844153,2025-11-29 15:32:32.755286,0 days 00:00:09.911133,True,2,50,15,35,150,COMPLETE
