number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.4459112577924459,2025-10-19 17:14:26.814343,2025-10-19 17:14:51.557749,0 days 00:00:24.743406,True,10,20,20,110,200,COMPLETE
1,0.1686411149825784,2025-10-19 17:14:51.561549,2025-10-19 17:15:01.064765,0 days 00:00:09.503216,True,1,50,25,135,150,COMPLETE
2,0.4615981380915438,2025-10-19 17:15:01.065756,2025-10-19 17:15:15.177336,0 days 00:00:14.111580,True,10,20,15,110,100,COMPLETE
3,0.43254198031268093,2025-10-19 17:15:15.177802,2025-10-19 17:15:28.578140,0 days 00:00:13.400338,True,4,30,20,85,150,COMPLETE
4,0.33748960931005817,2025-10-19 17:15:28.578903,2025-10-19 17:15:56.130848,0 days 00:00:27.551945,True,2,40,15,35,300,COMPLETE
5,0.28983478017362085,2025-10-19 17:15:56.132691,2025-10-19 17:16:13.274407,0 days 00:00:17.141716,True,2,10,20,85,350,COMPLETE
6,0.1796967617146066,2025-10-19 17:16:13.275152,2025-10-19 17:17:00.314407,0 days 00:00:47.039255,True,2,70,30,10,300,COMPLETE
7,0.424,2025-10-19 17:17:00.315036,2025-10-19 17:17:56.545887,0 days 00:00:56.230851,True,4,40,25,10,350,COMPLETE
8,0.4531299650460756,2025-10-19 17:17:56.547073,2025-10-19 17:18:13.847993,0 days 00:00:17.300920,True,5,20,30,10,100,COMPLETE
9,0.4155704697986577,2025-10-19 17:18:13.848683,2025-10-19 17:18:47.300009,0 days 00:00:33.451326,True,4,20,20,85,300,COMPLETE
10,0.3770197486535009,2025-10-19 17:18:47.300417,2025-10-19 17:19:53.243592,0 days 00:01:05.943175,True,10,70,10,135,100,COMPLETE
11,0.463859649122807,2025-10-19 17:19:53.248147,2025-10-19 17:20:01.663558,0 days 00:00:08.415411,True,7,10,10,60,100,COMPLETE
12,0.46030729833546735,2025-10-19 17:20:01.673267,2025-10-19 17:20:27.181338,0 days 00:00:25.508071,True,8,10,10,60,200,COMPLETE
13,0.451518477863154,2025-10-19 17:20:27.181967,2025-10-19 17:20:38.721001,0 days 00:00:11.539034,True,8,10,15,60,100,COMPLETE
14,0.4600971547536433,2025-10-19 17:20:38.721695,2025-10-19 17:21:27.562838,0 days 00:00:48.841143,True,8,30,15,110,200,COMPLETE
15,0.44198545684476764,2025-10-19 17:21:27.565470,2025-10-19 17:22:08.126041,0 days 00:00:40.560571,True,7,30,10,110,150,COMPLETE
16,0.45181347150259066,2025-10-19 17:22:08.126797,2025-10-19 17:24:04.842890,0 days 00:01:56.716093,True,6,50,15,35,400,COMPLETE
17,0.4698242933537051,2025-10-19 17:24:04.844169,2025-10-19 17:24:54.300670,0 days 00:00:49.456501,True,9,20,10,60,250,COMPLETE
18,0.43408252264340824,2025-10-19 17:24:54.302895,2025-10-19 17:25:23.643399,0 days 00:00:29.340504,True,9,10,10,35,250,COMPLETE
19,0.45025125628140705,2025-10-19 17:25:23.644332,2025-10-19 17:26:22.285166,0 days 00:00:58.640834,True,6,40,10,60,250,COMPLETE
20,0.44544364508393286,2025-10-19 17:26:22.289501,2025-10-19 17:27:31.404982,0 days 00:01:09.115481,True,7,20,10,60,400,COMPLETE
21,0.4665686994856723,2025-10-19 17:27:31.408676,2025-10-19 17:27:48.369164,0 days 00:00:16.960488,True,9,20,15,85,100,COMPLETE
22,0.47270261105459477,2025-10-19 17:27:48.369900,2025-10-19 17:28:37.141825,0 days 00:00:48.771925,True,9,30,15,85,150,COMPLETE
23,0.47270261105459477,2025-10-19 17:28:37.142540,2025-10-19 17:29:20.847448,0 days 00:00:43.704908,True,9,30,15,85,150,COMPLETE
24,0.4491694352159468,2025-10-19 17:29:20.848085,2025-10-19 17:30:28.705583,0 days 00:01:07.857498,True,9,30,15,85,250,COMPLETE
25,0.4327792359288422,2025-10-19 17:30:28.706185,2025-10-19 17:31:24.015577,0 days 00:00:55.309392,True,9,50,15,35,150,COMPLETE
26,0.4509545753785385,2025-10-19 17:31:24.015991,2025-10-19 17:32:08.813549,0 days 00:00:44.797558,True,8,40,25,85,200,COMPLETE
27,0.4636296840558413,2025-10-19 17:32:08.816685,2025-10-19 17:32:56.944495,0 days 00:00:48.127810,True,10,30,15,110,150,COMPLETE
28,0.475,2025-10-19 17:32:56.950264,2025-10-19 17:34:00.137521,0 days 00:01:03.187257,True,9,30,10,60,250,COMPLETE
29,0.41672285906945383,2025-10-19 17:34:00.138326,2025-10-19 17:35:41.207690,0 days 00:01:41.069364,True,10,60,20,110,200,COMPLETE
30,0.46204403549129147,2025-10-19 17:35:41.208396,2025-10-19 17:36:29.791025,0 days 00:00:48.582629,True,8,30,20,85,150,COMPLETE
31,0.4698242933537051,2025-10-19 17:36:29.794558,2025-10-19 17:37:02.599805,0 days 00:00:32.805247,True,9,20,10,60,250,COMPLETE
32,0.44787127053302045,2025-10-19 17:37:02.600508,2025-10-19 17:38:40.585904,0 days 00:01:37.985396,True,9,40,10,60,300,COMPLETE
33,0.4463748747076512,2025-10-19 17:38:40.589580,2025-10-19 17:39:26.308864,0 days 00:00:45.719284,True,10,30,15,35,200,COMPLETE
34,0.46812816188870154,2025-10-19 17:39:26.309221,2025-10-19 17:40:05.212163,0 days 00:00:38.902942,True,7,20,10,85,250,COMPLETE
35,0.4700793078586878,2025-10-19 17:40:05.213022,2025-10-19 17:41:30.351396,0 days 00:01:25.138374,True,9,40,15,135,350,COMPLETE
36,0.47192608386638235,2025-10-19 17:41:30.351756,2025-10-19 17:42:57.183431,0 days 00:01:26.831675,True,8,50,20,135,350,COMPLETE
37,0.4371238517579981,2025-10-19 17:42:57.184054,2025-10-19 17:45:04.863151,0 days 00:02:07.679097,True,10,60,25,135,350,COMPLETE
38,0.4362214199759326,2025-10-19 17:45:04.867620,2025-10-19 17:45:54.380857,0 days 00:00:49.513237,True,8,50,20,110,150,COMPLETE
39,0.4311450381679389,2025-10-19 17:45:54.381188,2025-10-19 17:47:21.209286,0 days 00:01:26.828098,True,6,60,25,135,400,COMPLETE
40,0.16394738327781855,2025-10-19 17:47:21.210151,2025-10-19 17:47:42.343448,0 days 00:00:21.133297,True,1,50,20,110,300,COMPLETE
41,0.4700793078586878,2025-10-19 17:47:42.344241,2025-10-19 17:49:09.619861,0 days 00:01:27.275620,True,9,40,15,135,350,COMPLETE
42,0.46351633078526755,2025-10-19 17:49:09.620347,2025-10-19 17:50:23.966421,0 days 00:01:14.346074,True,8,40,20,135,350,COMPLETE
43,0.4569672131147541,2025-10-19 17:50:23.967145,2025-10-19 17:51:49.314810,0 days 00:01:25.347665,True,10,40,15,135,350,COMPLETE
