number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.052653867871259176,2025-10-19 17:14:55.368732,2025-10-19 17:15:21.401342,0 days 00:00:26.032610,True,10,20,20,110,200,COMPLETE
1,0.27365356622998543,2025-10-19 17:15:21.405108,2025-10-19 17:15:30.455528,0 days 00:00:09.050420,True,1,50,25,135,150,COMPLETE
2,0.05316798517568242,2025-10-19 17:15:30.456135,2025-10-19 17:15:52.154877,0 days 00:00:21.698742,True,10,20,15,110,100,COMPLETE
3,0.05160486995019369,2025-10-19 17:15:52.156633,2025-10-19 17:16:10.557196,0 days 00:00:18.400563,True,4,30,20,85,150,COMPLETE
4,0.3933588761174968,2025-10-19 17:16:10.557761,2025-10-19 17:16:49.828246,0 days 00:00:39.270485,True,2,40,15,35,300,COMPLETE
5,0.4465493910690122,2025-10-19 17:16:49.829054,2025-10-19 17:17:11.402499,0 days 00:00:21.573445,True,2,10,20,85,350,COMPLETE
6,0.3876500857632933,2025-10-19 17:17:11.406505,2025-10-19 17:17:59.054660,0 days 00:00:47.648155,True,2,70,30,10,300,COMPLETE
7,0.04804534037483094,2025-10-19 17:17:59.055291,2025-10-19 17:18:56.031586,0 days 00:00:56.976295,True,4,40,25,10,350,COMPLETE
8,0.05153713298791019,2025-10-19 17:18:56.032298,2025-10-19 17:19:19.849236,0 days 00:00:23.816938,True,5,20,30,10,100,COMPLETE
9,0.06872770511296077,2025-10-19 17:19:19.853501,2025-10-19 17:19:58.861443,0 days 00:00:39.007942,True,4,20,20,85,300,COMPLETE
10,0.06021974335318293,2025-10-19 17:19:58.862100,2025-10-19 17:20:43.424632,0 days 00:00:44.562532,True,7,10,10,60,400,COMPLETE
11,0.2877442273534636,2025-10-19 17:20:43.425324,2025-10-19 17:21:44.831523,0 days 00:01:01.406199,True,2,60,10,60,300,COMPLETE
12,0.3677685950413223,2025-10-19 17:21:44.833089,2025-10-19 17:22:24.682592,0 days 00:00:39.849503,True,1,40,15,35,400,COMPLETE
13,0.04769211098325023,2025-10-19 17:22:24.683315,2025-10-19 17:23:55.569552,0 days 00:01:30.886237,True,7,50,15,35,250,COMPLETE
14,0.34525277435265106,2025-10-19 17:23:55.574234,2025-10-19 17:24:18.654094,0 days 00:00:23.079860,True,3,10,15,35,350,COMPLETE
15,0.04811351177039665,2025-10-19 17:24:18.654834,2025-10-19 17:25:59.980515,0 days 00:01:41.325681,True,6,70,25,60,250,COMPLETE
16,0.4052631578947368,2025-10-19 17:25:59.981181,2025-10-19 17:26:37.491526,0 days 00:00:37.510345,True,2,40,10,110,350,COMPLETE
17,0.04953893787440264,2025-10-19 17:26:37.497833,2025-10-19 17:27:29.031098,0 days 00:00:51.533265,True,3,30,10,135,350,COMPLETE
18,0.05466803458889052,2025-10-19 17:27:29.031994,2025-10-19 17:29:59.520909,0 days 00:02:30.488915,True,8,50,10,110,400,COMPLETE
19,0.3606889564336373,2025-10-19 17:29:59.523874,2025-10-19 17:30:21.565576,0 days 00:00:22.041702,True,1,30,25,85,350,COMPLETE
20,0.04950894658953316,2025-10-19 17:30:21.566259,2025-10-19 17:30:57.986399,0 days 00:00:36.420140,True,3,60,20,110,200,COMPLETE
21,0.3933588761174968,2025-10-19 17:30:57.987036,2025-10-19 17:31:32.381542,0 days 00:00:34.394506,True,2,40,15,85,300,COMPLETE
22,0.24728105323411562,2025-10-19 17:31:32.383089,2025-10-19 17:32:06.882540,0 days 00:00:34.499451,True,2,30,15,135,350,COMPLETE
23,0.04781131833621739,2025-10-19 17:32:06.887370,2025-10-19 17:33:21.657971,0 days 00:01:14.770601,True,5,40,10,60,300,COMPLETE
24,0.04952893674293405,2025-10-19 17:33:21.661554,2025-10-19 17:34:43.883792,0 days 00:01:22.222238,True,3,60,15,110,400,COMPLETE
25,0.333021515434986,2025-10-19 17:34:43.884466,2025-10-19 17:34:58.378599,0 days 00:00:14.494133,True,1,10,20,35,250,COMPLETE
26,0.2866666666666667,2025-10-19 17:34:58.379368,2025-10-19 17:35:46.671615,0 days 00:00:48.292247,True,2,50,10,85,350,COMPLETE
27,0.04816010329244674,2025-10-19 17:35:46.672291,2025-10-19 17:36:45.349586,0 days 00:00:58.677295,True,4,40,15,60,300,COMPLETE
28,0.04952893674293405,2025-10-19 17:36:45.354245,2025-10-19 17:37:25.344597,0 days 00:00:39.990352,True,3,30,20,110,350,COMPLETE
29,0.05359390036272115,2025-10-19 17:37:25.345317,2025-10-19 17:38:19.247542,0 days 00:00:53.902225,True,9,20,10,110,200,COMPLETE
30,0.06484149855907781,2025-10-19 17:38:19.248265,2025-10-19 17:38:37.721619,0 days 00:00:18.473354,True,5,10,20,85,250,COMPLETE
31,0.3933588761174968,2025-10-19 17:38:37.724456,2025-10-19 17:39:06.529376,0 days 00:00:28.804920,True,2,40,15,85,300,COMPLETE
32,0.3308550185873606,2025-10-19 17:39:06.530074,2025-10-19 17:39:27.423590,0 days 00:00:20.893516,True,1,40,15,85,300,COMPLETE
33,0.2866666666666667,2025-10-19 17:39:27.424225,2025-10-19 17:40:15.356502,0 days 00:00:47.932277,True,2,50,20,135,350,COMPLETE
34,0.3493621197252208,2025-10-19 17:40:15.361732,2025-10-19 17:40:34.365597,0 days 00:00:19.003865,True,1,30,15,110,300,COMPLETE
35,0.37912673056443025,2025-10-19 17:40:34.366437,2025-10-19 17:40:57.715615,0 days 00:00:23.349178,True,2,20,10,85,400,COMPLETE
36,0.04985436564383933,2025-10-19 17:40:57.720293,2025-10-19 17:41:31.383494,0 days 00:00:33.663201,True,3,50,25,60,250,COMPLETE
37,0.04811351177039665,2025-10-19 17:41:31.387200,2025-10-19 17:42:40.682053,0 days 00:01:09.294853,True,4,60,15,85,300,COMPLETE
38,0.33744075829383885,2025-10-19 17:42:40.682640,2025-10-19 17:42:47.752758,0 days 00:00:07.070118,True,1,30,20,10,150,COMPLETE
