number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.14083326347556374,2025-10-19 17:15:40.369011,2025-10-19 17:16:11.299725,0 days 00:00:30.930714,True,10,20,20,110,200,COMPLETE
1,0.29287911048024606,2025-10-19 17:16:11.300625,2025-10-19 17:16:29.975130,0 days 00:00:18.674505,True,1,50,25,135,150,COMPLETE
2,0.14163450243329417,2025-10-19 17:16:29.976547,2025-10-19 17:16:49.245504,0 days 00:00:19.268957,True,10,20,15,110,100,COMPLETE
3,0.2655367231638418,2025-10-19 17:16:49.246247,2025-10-19 17:17:14.170430,0 days 00:00:24.924183,True,4,30,20,85,150,COMPLETE
4,0.3691306369130637,2025-10-19 17:17:14.171434,2025-10-19 17:17:47.551468,0 days 00:00:33.380034,True,2,40,15,35,300,COMPLETE
5,0.37405159332321697,2025-10-19 17:17:47.552057,2025-10-19 17:18:01.474189,0 days 00:00:13.922132,True,2,10,20,85,350,COMPLETE
6,0.30265748031496065,2025-10-19 17:18:01.481498,2025-10-19 17:18:51.232023,0 days 00:00:49.750525,True,2,70,30,10,300,COMPLETE
7,0.2914312617702448,2025-10-19 17:18:51.232646,2025-10-19 17:20:05.228735,0 days 00:01:13.996089,True,4,40,25,10,350,COMPLETE
8,0.25292914264459737,2025-10-19 17:20:05.232534,2025-10-19 17:20:22.244739,0 days 00:00:17.012205,True,5,20,30,10,100,COMPLETE
9,0.38312526904864397,2025-10-19 17:20:22.246142,2025-10-19 17:20:44.914627,0 days 00:00:22.668485,True,4,20,20,85,300,COMPLETE
10,0.2674683806759278,2025-10-19 17:20:44.915277,2025-10-19 17:23:52.968024,0 days 00:03:08.052747,True,7,70,10,60,400,COMPLETE
11,0.25272727272727274,2025-10-19 17:23:52.968418,2025-10-19 17:24:24.259931,0 days 00:00:31.291513,True,7,10,20,85,300,COMPLETE
12,0.36698070883804396,2025-10-19 17:24:24.260666,2025-10-19 17:24:53.275046,0 days 00:00:29.014380,True,3,10,15,60,400,COMPLETE
13,0.24395265054040144,2025-10-19 17:24:53.277285,2025-10-19 17:25:19.062662,0 days 00:00:25.785377,True,6,10,25,110,250,COMPLETE
14,0.2951835956127802,2025-10-19 17:25:19.063407,2025-10-19 17:25:40.621787,0 days 00:00:21.558380,True,1,30,10,85,350,COMPLETE
15,0.3684210526315789,2025-10-19 17:25:40.624784,2025-10-19 17:26:13.938164,0 days 00:00:33.313380,True,3,30,15,135,250,COMPLETE
16,0.2399190146785895,2025-10-19 17:26:13.940626,2025-10-19 17:27:42.501557,0 days 00:01:28.560931,True,5,50,20,60,350,COMPLETE
17,0.3827618164967563,2025-10-19 17:27:42.502219,2025-10-19 17:28:19.931542,0 days 00:00:37.429323,True,3,20,25,35,300,COMPLETE
18,0.1331245105716523,2025-10-19 17:28:19.932255,2025-10-19 17:29:03.206539,0 days 00:00:43.274284,True,8,20,25,35,200,COMPLETE
19,0.2904058174994136,2025-10-19 17:29:03.207189,2025-10-19 17:29:58.739351,0 days 00:00:55.532162,True,4,40,30,35,300,COMPLETE
20,0.24521203830369356,2025-10-19 17:29:58.740056,2025-10-19 17:30:39.711702,0 days 00:00:40.971646,True,6,30,25,35,200,COMPLETE
21,0.36811977102597976,2025-10-19 17:30:39.715598,2025-10-19 17:31:02.661831,0 days 00:00:22.946233,True,3,10,20,85,350,COMPLETE
22,0.37307523097228334,2025-10-19 17:31:02.662533,2025-10-19 17:31:23.999159,0 days 00:00:21.336626,True,2,20,25,60,250,COMPLETE
23,0.36698070883804396,2025-10-19 17:31:23.999586,2025-10-19 17:31:45.991579,0 days 00:00:21.991993,True,3,10,20,110,400,COMPLETE
24,0.2956770957726296,2025-10-19 17:31:45.992343,2025-10-19 17:32:03.562386,0 days 00:00:17.570043,True,1,20,15,85,300,COMPLETE
25,0.3710094909404659,2025-10-19 17:32:03.563014,2025-10-19 17:32:18.831793,0 days 00:00:15.268779,True,4,10,20,60,350,COMPLETE
