,anomaly_label
airTempeatur_range,0.12985722015245746
airDurchfluss_range,0.12791550058188872
airDruck_min,0.12680493789104533
airDurchfluss_max,0.12511432332407393
airDruck_skew,0.1178208400674465
aCosPhi_L1_std,0.11313520469718957
airDruck_range,0.10553138988835596
aReactivePower_L2_min,0.09976469988208027
rTotalReactivePower_min,0.09799141665757888
airTotal_max,0.09299243645715027
airTotal_mean,0.09299218429136757
airTotal_min,0.0928917844664919
aPowerFactorPF_L1_range,0.09213903100853894
airDurchfluss_std,0.09101830587894733
rTotalApparentEnergy_min,0.09093501978588128
rTotalApparentEnergy_mean,0.09093496779838578
rTotalApparentEnergy_max,0.09093491264768118
aReactivePower_L1_min,0.09069814675366134
aCosPhi_L1_diff_std,0.08895115225139219
airTempeatur_max,0.08877771103714607
airDurchfluss_diff_std,0.08843398363028493
aCosPhi_L1_range,0.08679507353943713
airTempeatur_std,0.0857262090767257
aActivePower_L3_range,0.08242261500236876
aApparentPower_L3_range,0.08075516585335743
aCurrentL3_range,0.0805342797995029
airDruck_diff_std,0.08016879832765213
celHum_range,0.07632197863766901
aCosPhi_L2_range,0.07627101909093077
aCosPhi_L2_std,0.0753310697126592
aReactivePower_L3_range,0.07485071662368085
aVoltage_L1_N_diff_std,0.07208957876744343
aReactivePower_L3_diff_std,0.07065135583358041
aActivePower_L3_max,0.07038900072400985
aActivePower_L3_std,0.07031084545702244
aReactivePower_L3_max,0.07030360663502627
rTotalReactivePower_range,0.07029092934206485
aReactivePower_L3_std,0.06990717269419418
aApparentPower_L3_std,0.0699062718829888
aPowerFactorPF_L1_std,0.06983116749841967
aCurrentL3_std,0.06971666184137906
rTotalReactivePower_diff_std,0.06915960952297454
aCosPhi_L2_min,0.0691392540735592
aReactivePower_L1_range,0.06905491424469126
aReactivePower_L1_std,0.06703211085844436
celHum_std,0.06697919875201591
rTotalActivePower_range,0.06573344462422105
aPowerFactorPF_L1_min,0.06564262956223521
aActivePower_L1_range,0.06540736248647276
aReactivePower_L3_mean,0.06482765644900373
rTotalApparentPower_range,0.06350487713490617
rTotalReactivePower_std,0.06309298014838503
aPowerFactorPF_L1_max,0.06304249165061632
aReactivePower_L2_diff_std,0.06279583955960902
aApparentPower_L1_skew,0.06262373384848394
aApparentPower_L1_range,0.06247117745989098
aCurrentL1_range,0.06231915335044945
aCurrentL1_skew,0.06216998429028536
aVoltage_L1_N_min,0.0610979304105151
aVoltage_L1_N_mean,0.060546404946017755
aReactivePower_L1_diff_std,0.05963319559637388
aCurrentL3_max,0.05919536746350916
aReactivePower_L2_mean,0.05909642611274981
aVoltage_L3_N_diff_std,0.05859577935539732
airTempeatur_mean,0.05825488867089386
aApparentPower_L3_max,0.0582146894453197
aVoltage_L1_N_max,0.057779097115248756
aCosPhi_L2_mean,0.05744200478265854
rTotalActivePower_max,0.057266325273805145
aPowerFactorPF_L2_max,0.05714070757443
airTempeatur_diff_std,0.05698680364606368
celHum_min,0.055004222728726564
aActivePower_L3_mean,0.054894343293691916
celHum_diff_std,0.052709092424684106
aReactivePower_L2_range,0.052504443650191725
aActivePower_L1_min,0.05233437583737833
aCosPhi_L2_diff_std,0.051366597130659046
aCosPhi_L1_min,0.05124929930976824
rTotalApparentPower_std,0.051041728548530924
aVoltage_L2_N_diff_std,0.050661298069454824
airDruck_max,0.05014581568056459
rTotalActivePower_std,0.04964811497010218
celHum_mean,0.04924775295637236
airDruck_mean,0.048660184108185706
