,anomaly_label
airTempeatur_std,0.15254193216426543
airTempeatur_range,0.13104552465976202
aCurrentL3_skew,0.12460683926370626
aApparentPower_L3_skew,0.12454839546772532
airDurchfluss_range,0.11959289238608217
aCurrentL1_max,0.11838024809434565
aCurrentL1_range,0.11588891842866819
aApparentPower_L1_max,0.11584249124833475
aApparentPower_L1_range,0.11531429991534306
aApparentPower_L3_range,0.11339653480061153
aCurrentL3_range,0.1131806468898087
airTotal_max,0.10584736030049637
airTotal_mean,0.1058469546408389
airTotal_min,0.10584658400159984
rTotalApparentEnergy_min,0.10553996132401232
rTotalApparentEnergy_mean,0.10553993019146567
rTotalApparentEnergy_max,0.10553990855422465
airDurchfluss_diff_std,0.105341039118815
aReactivePower_L1_diff_std,0.1010135341611673
aVoltage_L1_N_mean,0.10035029721112435
aVoltage_L1_N_max,0.09858447060761852
rTotalApparentPower_range,0.09439573404851831
aVoltage_L1_N_min,0.0932116918566591
aCurrentL3_max,0.09312905950748816
aVoltage_L3_N_mean,0.09200027806634126
aApparentPower_L3_max,0.0918057963270894
aVoltage_L3_N_max,0.0904287377943091
aPowerFactorPF_L2_range,0.08976439471264279
airDurchfluss_max,0.08893762585462327
aReactivePower_L1_range,0.08732915362932203
airDurchfluss_std,0.08673475006285401
aApparentPower_L1_skew,0.08610469702376611
aActivePower_L1_max,0.08601220400425526
aCurrentL1_skew,0.08538693881030168
aVoltage_L3_N_min,0.08484810354638044
aReactivePower_L3_range,0.0847082729288857
aVoltage_L2_N_mean,0.08428693672468172
aVoltage_L1_N_diff_std,0.08368944682208933
aVoltage_L2_N_max,0.08246551870498303
rTotalReactivePower_range,0.08086292748044559
airTempeatur_diff_std,0.07770208936821922
aActivePower_L1_mean,0.07763651529306365
rTotalApparentPower_skew,0.07748503915705951
aVoltage_L2_N_min,0.07725040895256471
aCosPhi_L2_diff_std,0.07706180956135777
rTotalApparentPower_max,0.07605071164874025
aActivePower_L3_skew,0.0732870761308334
aReactivePower_L3_std,0.0732518486395705
rTotalReactiveEnergy_max,0.07323294736146134
rTotalReactiveEnergy_mean,0.07322963638427363
rTotalReactiveEnergy_min,0.0732263249565484
aCosPhi_L2_range,0.07255172462383903
aActivePower_L1_range,0.07173436896418076
aVoltage_L3_N_diff_std,0.07069055152390295
aReactivePower_L2_std,0.07043765869712454
aReactivePower_L2_range,0.07013691928562428
aCurrentL1_mean,0.07012086577905195
aActivePower_L1_min,0.06982953393661337
rTotalReactivePower_std,0.06915725147042998
aReactivePower_L1_std,0.06803022730856348
aActivePower_L1_std,0.06791367052170827
aVoltage_L2_N_diff_std,0.06749622780109768
aCurrentL1_diff_std,0.06663488229496413
aCurrentL1_std,0.06657191134386091
aCurrentL2_skew,0.06639316386524749
aApparentPower_L1_diff_std,0.06628643006835502
aApparentPower_L2_skew,0.06594481430969543
aApparentPower_L1_mean,0.06556273812814725
aApparentPower_L1_std,0.06556081599091705
aPowerFactorPF_L2_std,0.06545213771293923
aCosPhi_L2_max,0.06506267464177694
aActivePower_L2_skew,0.0649468484530194
aCurrentL3_std,0.06467001372106386
aApparentPower_L3_std,0.06460533170959701
rTotalApparentPower_std,0.06225167688701804
aCosPhi_L3_mean,0.06192759898521336
rTotalActivePower_std,0.05961262512010375
aCosPhi_L1_mean,0.059233663784202466
aActivePower_L2_range,0.05913446096586154
aCurrentL1_min,0.05882087768783686
aActivePower_L2_std,0.05808371059891933
aActivePower_L3_range,0.0580082140339513
aCosPhi_L2_std,0.05686935578254849
rTotalActivePower_max,0.056443976171561425
aPowerFactorPF_L2_max,0.05604837080629315
rTotalActivePower_range,0.0548360712684446
aApparentPower_L1_min,0.053821286370734765
rTotalReactivePower_diff_std,0.05358596999568583
aCurrentL2_range,0.05312442153029256
aApparentPower_L2_range,0.05310671412394343
aCosPhi_L3_max,0.05293957253514023
aActivePower_L3_max,0.052685839859707644
aCosPhi_L2_mean,0.052175106784962254
aCurrentL2_std,0.0519411992271322
aApparentPower_L2_std,0.05194028625908314
airTempeatur_min,0.05184344979474688
aReactivePower_L3_max,0.05072353994338912
aCosPhi_L1_max,0.05013353192367092
aActivePower_L3_std,0.047945973561963603
aCosPhi_L1_min,0.04719279382237046
aCosPhi_L2_skew,0.04693671417244859
aActivePower_L2_max,0.04586426517546187
aCosPhi_L3_min,0.044721686648556434
airTempeatur_max,0.044088966689249505
aApparentPower_L3_diff_std,0.04327103736237859
aCurrentL3_diff_std,0.043256383482036836
rTotalActivePower_mean,0.04325321983228771
airTempeatur_skew,0.04276871752923786
rTotalReactiveEnergy_diff_std,0.04237649604598723
rTotalReactiveEnergy_range,0.04074886635467555
rTotalReactiveEnergy_diff_mean,0.040731181629419834
rTotalReactiveEnergy_trend_slope,0.040506016361779265
aCosPhi_L1_skew,0.04049725737144314
rTotalReactiveEnergy_std,0.04036618431779615
airDurchfluss_min,0.03986706668616938
rTotalActivePower_min,0.039353799485271276
aReactivePower_L3_diff_std,0.03874890023874597
aReactivePower_L1_min,0.03777524259431228
rTotalActivePower_skew,0.037749841788275854
aActivePower_L1_skew,0.037548009559487665
aPowerFactorPF_L2_skew,0.036166907531897816
aReactivePower_L2_min,0.035960382396221714
rTotalApparentPower_diff_std,0.035549453606914264
aCurrentL2_max,0.03415884691984148
aCosPhi_L3_std,0.03337172197748854
rTotalReactivePower_max,0.032768709130482646
aApparentPower_L2_max,0.032527529202675334
rTotalApparentPower_mean,0.03161476581151816
aCosPhi_L3_diff_std,0.02987728414219431
aReactivePower_L3_mean,0.029334771665206903
aActivePower_L3_mean,0.02920809116725596
aPowerFactorPF_L2_diff_std,0.029158204890257233
aActivePower_L1_diff_std,0.027497140823740003
aReactivePower_L2_max,0.02616195474862661
rTotalApparentEnergy_std,0.02580952623107044
aReactivePower_L1_max,0.025088245575222053
rTotalReactivePower_min,0.024455512824397695
rTotalApparentEnergy_trend_slope,0.02416651820653622
aReactivePower_L2_diff_std,0.02299829678614757
aApparentPower_L2_min,0.022961921315530605
aCosPhi_L3_skew,0.022331391951980056
aActivePower_L3_diff_std,0.022313275393614256
rTotalActivePower_diff_std,0.020312481928134098
aCurrentL3_mean,0.019883701675439472
aCurrentL2_min,0.018468037122765693
aCosPhi_L1_std,0.01839708726394421
aActivePower_L3_min,0.017384572206841996
aActivePower_L2_diff_std,0.016259382891450496
rTotalApparentPower_min,0.015428905300731285
aApparentPower_L3_mean,0.015289793588333843
aReactivePower_L2_skew,0.014993226823640567
aActivePower_L2_min,0.014879040253965914
rTotalApparentEnergy_diff_mean,0.014721263718409074
aReactivePower_L3_skew,0.014539098170654376
aCosPhi_L2_min,0.014274512634876816
aPowerFactorPF_L2_min,0.01404234533435136
rTotalApparentEnergy_range,0.013989705805230858
airTempeatur_trend_slope,0.01380835771749307
aActivePower_L2_mean,0.013795372142042754
aVoltage_L2_N_std,0.013761502299698398
aPowerFactorPF_L2_mean,0.013363059489040154
airTempeatur_diff_mean,0.012829213008452856
aVoltage_L3_N_std,0.01264616661445423
aVoltage_L1_N_skew,0.011933095992799842
aCurrentL2_diff_std,0.011769137416094146
aApparentPower_L2_diff_std,0.011716393697281306
aCosPhi_L3_range,0.011374388520661723
aVoltage_L3_N_skew,0.011020647378571016
aVoltage_L2_N_skew,0.010588963675060391
aReactivePower_L1_skew,0.010574778430336633
aCosPhi_L1_range,0.009734315156431066
aVoltage_L2_N_range,0.009567721423049087
airTempeatur_mean,0.009294193718112093
aVoltage_L3_N_range,0.008442125090190234
aApparentPower_L3_min,0.008326958885447199
aCosPhi_L1_diff_std,0.007941554848942559
airDurchfluss_z_score,0.00772476805765862
airDurchfluss_diff_mean,0.0070860377557593396
rTotalReactivePower_mean,0.007079665860600641
aVoltage_L1_N_std,0.006758290090010362
aReactivePower_L3_min,0.006745304368216239
aPowerFactorPF_L2_trend_slope,0.006608493214701367
