,anomaly_label
airTempeatur_std,0.1498008546691391
aReactivePower_L2_std,0.1491123491367237
aCosPhi_L1_range,0.149056358734411
aReactivePower_L2_diff_std,0.1481299708182647
aReactivePower_L2_range,0.1470455762006323
aCosPhi_L1_std,0.14262675715344603
airDurchfluss_range,0.14082488423777667
aCosPhi_L1_diff_std,0.14070390802795887
airTempeatur_diff_std,0.13805293306348948
rTotalReactivePower_range,0.13317855410654483
aPowerFactorPF_L2_range,0.13004079252345252
rTotalReactivePower_std,0.12803582571724073
airTempeatur_range,0.12696278330065972
airDurchfluss_max,0.1256431127268448
aPowerFactorPF_L2_std,0.12461294501163768
aActivePower_L1_std,0.12352887712677309
airDurchfluss_diff_std,0.11816616408450038
airDurchfluss_std,0.11556429920072084
aActivePower_L2_std,0.11505249595860402
aReactivePower_L1_range,0.11320670089816028
aActivePower_L1_range,0.1114978260152841
aActivePower_L2_range,0.11000155877293269
aCurrentL2_range,0.10991714817307661
aApparentPower_L2_range,0.1095166174975467
aReactivePower_L1_std,0.10744248414172085
aCurrentL2_std,0.10394707058856563
aPowerFactorPF_L1_range,0.1038167879206028
aApparentPower_L2_std,0.10363202220404295
aCurrentL1_range,0.10362680539973766
aApparentPower_L1_range,0.1031609565139006
rTotalApparentPower_range,0.10206064869815137
airTempeatur_min,0.10059626789853508
aCosPhi_L2_range,0.100559129487822
aCurrentL1_std,0.10022578253060774
aApparentPower_L1_std,0.09967878198172253
rTotalActivePower_range,0.0984423289520637
aCurrentL2_max,0.09672402932519454
aCurrentL1_max,0.09599738674615793
aApparentPower_L2_max,0.09599738088168745
rTotalApparentPower_std,0.09547487684645765
aApparentPower_L1_max,0.09485865833337816
aPowerFactorPF_L1_std,0.09475075688548228
aActivePower_L2_max,0.09394095557036587
aCosPhi_L2_std,0.09393380518486695
aActivePower_L1_max,0.09384420893288004
aVoltage_L1_N_min,0.09247210428145544
rTotalApparentPower_max,0.09186478323906105
aVoltage_L1_N_mean,0.09066606789231627
aVoltage_L1_N_diff_std,0.0888168173144261
aVoltage_L1_N_max,0.08841502263675018
aPowerFactorPF_L2_diff_std,0.08723438464109651
aVoltage_L3_N_min,0.08722723947162037
aVoltage_L2_N_min,0.08635849765187645
aVoltage_L3_N_mean,0.08556432624923792
aReactivePower_L1_max,0.08538891743570216
aReactivePower_L3_diff_std,0.08516043147682598
aVoltage_L2_N_mean,0.08510474329268687
rTotalActivePower_max,0.08469314317372735
aCosPhi_L1_max,0.08459127860710966
aVoltage_L3_N_max,0.08368815965623394
aVoltage_L2_N_max,0.08278656785411609
aPowerFactorPF_L2_max,0.08262539063991932
rTotalReactivePower_max,0.08192512239430429
aCurrentL3_range,0.08163848317391141
aApparentPower_L3_range,0.08043698005101428
aVoltage_L2_N_diff_std,0.0793075613573015
aVoltage_L3_N_diff_std,0.07897778385839854
aReactivePower_L2_skew,0.07894143485479488
aCosPhi_L2_max,0.07870220086137858
rTotalReactivePower_diff_std,0.07774893944106186
aReactivePower_L3_range,0.07716495984378413
