feature_idx,ks_statistic,p_value,is_drifted,train_mean,val_mean,train_std,val_std,mean_diff,std_diff,mean_rel_diff,std_rel_diff
4,0.9999942454603322,0.0,True,-0.0011812907,2.151169,0.99977124,0.21515359,2.1523504,0.78461766,1822.0173,0.7847972
24,0.9999875924106912,0.0,True,-0.0011546619,2.0423818,0.9998085,0.17352578,2.0435364,0.82628274,1769.7983,0.826441
3,0.9991666235847594,0.0,True,0.0006740519,3.9691153,1.0000954,1.6250101,3.9684412,0.62491477,5887.3545,0.62485516
21,0.6210925877172812,0.0,True,0.00021413108,-0.30415422,0.92122453,1.1224961,0.30436835,0.2012716,1421.345,0.21848267
15,0.3963695776483311,0.0,True,2.5411047e-05,0.5486844,0.95005953,1.302749,0.548659,0.3526895,21582.863,0.37122884
26,0.29769201298081993,0.0,True,-0.0002779129,-0.55817246,0.99071354,0.88408357,0.5578945,0.10662997,2007.3713,0.10762946
6,0.2939060675469942,0.0,True,-1.8915744e-05,0.24973218,0.8573603,1.3151504,0.24975109,0.45779008,13196.368,0.53395295
23,0.2776389074554797,0.0,True,-9.3728915e-05,-0.5181715,0.92120826,1.0824163,0.51807773,0.16120803,5526.816,0.1749963
18,0.2756053200368111,0.0,True,-1.2223674e-07,0.24770088,0.8572769,1.3008101,0.247701,0.44353318,1873163.4,0.51737446
20,0.24242767806558763,0.0,True,0.0004236464,-0.4444014,0.97730094,2.1021,0.44482505,1.124799,1049.9666,1.1509238
13,0.2284370190257649,0.0,True,-2.0970136e-05,-0.47055027,0.83023775,0.982665,0.4705293,0.15242726,22427.371,0.1835947
25,0.19668884002537804,0.0,True,5.9086713e-05,-0.32669166,0.9660972,1.0785149,0.32675076,0.11241776,5529.085,0.11636279
16,0.171051289820618,0.0,True,-4.6796886e-05,-0.401568,0.9521243,1.2373896,0.4015212,0.28526527,8578.251,0.29960927
1,0.16810909106291372,0.0,True,-1.613329e-05,0.041123465,0.96291983,1.3162417,0.0411396,0.3533219,2548.4023,0.36692765
0,0.1531559931814936,0.0,True,0.00016334878,-0.30297157,0.8904285,1.1065767,0.30313492,0.2161482,1855.6389,0.24274628
12,0.14734860693129798,0.0,True,-7.881266e-05,-0.19379409,0.8478114,1.0152266,0.19371527,0.1674152,2457.609,0.1974675
19,0.13651308032854254,0.0,True,5.7514157e-05,-0.28301832,0.860627,1.1159549,0.28307584,0.25532788,4920.9907,0.29667658
7,0.1363901680223742,0.0,True,4.2542062e-05,-0.28752878,0.85927427,1.1334789,0.2875713,0.2742046,6758.105,0.31911185
8,0.13268321655389348,0.0,True,0.00020991138,0.3906285,0.99434984,1.0683005,0.3904186,0.07395065,1859.8325,0.07437085
14,0.08820108300007701,0.0,True,-1.05800345e-05,0.0031698546,0.9594964,1.2942376,0.0031804347,0.33474123,300.32336,0.3488718
5,0.08152666004690712,0.0,True,0.0005546646,-0.21203327,0.95414865,1.1378616,0.21258794,0.18371296,383.26605,0.19254124
2,0.07734992005949404,0.0,True,0.0002672192,-0.09555122,0.91306084,1.3109275,0.095818445,0.39786667,358.56274,0.43575045
10,0.07544377053032791,0.0,True,0.00017957576,0.13876899,0.99401975,1.092495,0.13858941,0.09847522,771.71716,0.099067666
17,0.07261834344106788,0.0,True,0.00059033255,-0.18909569,0.95446116,1.1262989,0.18968603,0.17183775,321.3152,0.1800364
11,0.0717059460648879,0.0,True,0.0005503031,-0.14181744,0.9358065,0.9914127,0.14236774,0.055606186,258.70316,0.0594206
22,0.0592329012154475,0.0,True,0.0002097731,-0.29606715,0.9507927,1.6661242,0.29627693,0.71533155,1412.3011,0.75235283
9,0.04111923183712163,0.0,True,0.0002558495,0.035908557,0.9934309,1.0554827,0.03565271,0.062051833,139.34486,0.06246215
27,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
