feature_idx,ks_statistic,p_value,is_drifted,train_mean,val_mean,train_std,val_std,mean_diff,std_diff,mean_rel_diff,std_rel_diff
26,0.010427025774693344,0.006378023576599844,True,-0.11162398,-0.1299064,1.072421,1.067809,0.018282421,0.004611969,0.16378577,0.004300521
22,0.009799859449926118,0.012467843436246014,True,-0.26743898,-0.25702703,1.5168339,1.502996,0.010411948,0.013837934,0.03893205,0.009122906
5,0.00841081692702006,0.047455969407898535,True,-0.18212523,-0.1742718,1.1218991,1.113827,0.007853419,0.008072138,0.04312098,0.0071950657
17,0.008338563051488168,0.05058994932229022,False,-0.16958961,-0.16092421,1.1099397,1.102242,0.008665398,0.0076977015,0.05109627,0.006935243
16,0.007532311836239036,0.09947160436495417,False,-0.26225063,-0.2611667,1.1579816,1.1466074,0.0010839403,0.011374235,0.0041332226,0.0098224655
9,0.007500443195629314,0.10202125501090598,False,0.13861057,0.14731754,1.114788,1.1181896,0.008706972,0.0034015179,0.06281607,0.0030512686
10,0.0073923951074004735,0.11107272583220451,False,0.17968391,0.18828669,1.1522572,1.1549807,0.008602783,0.0027234554,0.04787731,0.0023635828
12,0.006895084956092923,0.1616370592103079,False,-0.14667538,-0.14858596,0.8836288,0.8781749,0.0019105822,0.0054538846,0.013025922,0.006172145
8,0.006880205724493937,0.16339474863697634,False,0.2667285,0.2756168,1.1999632,1.2047406,0.008888304,0.0047774315,0.033323415,0.003981315
13,0.006494983060499782,0.2143921933776619,False,-0.22660336,-0.22674201,0.92090255,0.9141403,0.0001386553,0.006762266,0.00061188545,0.0073430855
24,0.006421836080834908,0.2253256839517731,False,0.7102724,0.70153916,1.3793366,1.3862376,0.008733213,0.006901026,0.012295583,0.0050031487
4,0.006421836080834908,0.2253256839517731,False,0.7733645,0.7651698,1.4667268,1.4743944,0.008194685,0.0076676607,0.010596149,0.005227736
11,0.006169513732818599,0.26627690990495456,False,-0.13973504,-0.1357141,0.96560746,0.9618075,0.0040209442,0.003799975,0.028775487,0.003935321
3,0.00613223393187462,0.2727616695966827,False,3.0335698,3.0622163,6.715719,6.783816,0.02864647,0.06809664,0.009443155,0.010139887
2,0.006076128896757793,0.2827350478189987,False,-0.16321011,-0.15620583,1.1651016,1.1546806,0.007004276,0.010421038,0.042915694,0.008944317
20,0.005908607661747722,0.3140542130685071,False,-0.33833548,-0.32400554,1.8870083,1.8572768,0.01432994,0.029731512,0.042354234,0.0157559
23,0.005894787896816245,0.3167412694977334,False,-0.17518422,-0.18348125,1.0085545,1.0065615,0.008297026,0.001992941,0.047361717,0.001976037
6,0.005820975467013212,0.33135978944692157,False,-0.06377483,-0.059502937,1.0956202,1.0862538,0.0042718947,0.009366393,0.06698401,0.008548942
0,0.005753420603421988,0.34513180131201104,False,-0.19369783,-0.193028,0.9819562,0.97613066,0.0006698221,0.0058255196,0.0034580773,0.005932566
14,0.005505770999577886,0.3987788517284784,False,-0.10442085,-0.10028403,1.1273106,1.1174248,0.0041368157,0.009885788,0.039616756,0.008769356
7,0.004899639320187776,0.5487852830867185,False,-0.20527552,-0.20157155,1.0654562,1.0543243,0.0037039667,0.011131883,0.018043878,0.010447997
1,0.00478899072286626,0.5783713636197071,False,-0.118810736,-0.11600501,1.1504773,1.1408573,0.0028057247,0.009619951,0.023615075,0.008361705
18,0.004777987446458243,0.5813378755625864,False,-0.060009662,-0.05499595,1.0862484,1.0769783,0.0050137118,0.009270072,0.08354839,0.008534026
21,0.004317773221714338,0.7068955430169283,False,-0.2015274,-0.19554695,1.1904987,1.1802151,0.005980447,0.010283589,0.0296756,0.008638051
19,0.00411211702395986,0.7617232872418397,False,-0.19804555,-0.19359043,1.0531274,1.0421338,0.0044551194,0.0109936,0.022495426,0.010439003
15,0.00409521517417788,0.7661236766583417,False,0.034374658,0.037191927,1.1252571,1.1209785,0.0028172694,0.00427866,0.08195772,0.003802384
25,0.004025582238225189,0.7840296586749518,False,-0.16087458,-0.15764304,0.9148229,0.91255087,0.0032315403,0.0022720098,0.020087326,0.0024835516
27,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
