feature,ks_statistic,p_value,is_drifted,mean_train,std_train,min_train,max_train,median_train,q25_train,q75_train,skew_train,mean_val,std_val,min_val,max_val,median_val,q25_val,q75_val,skew_val,mean_rel_diff,std_rel_diff
aReactivePower_L2,0.005160000000000053,0.13901229598843778,False,796.4783440237313,505.7391126726969,-625.9,2695.18,856.4755,574.299,1148.9825,-0.7302771690610815,795.3991165897799,505.8736303586819,-623.386,2593.73,859.2294999999999,571.6705,1148.4425,-0.7462860539252112,0.001354999093240591,0.0002659823664250154
aApparentPower_L1,0.004350000000000076,0.2995713625617332,False,3026.7499902,708.0744652620788,879.62,5591.54,3150.9049999999997,2731.85,3485.165,-1.213019059914837,3026.49232102,707.3284995850869,881.956,5672.54,3152.245,2735.535,3482.3,-1.2253119953523577,8.513064535671018e-05,0.0010535130322843205
aVoltage_L3_N,0.003789999999999988,0.46803641646567595,False,225.92157073999996,3.44078904773143,210.924,239.418,225.525,223.581,227.79,0.579332186388044,225.93269620000004,3.442645714354108,211.796,239.291,225.523,223.588,227.802,0.5858417653129664,4.924478863678146e-05,0.0005396048962972925
aCosPhi_L1,0.0037600000000000966,0.47831334914703805,False,0.7117050871499999,0.4478007265288923,-1.0,1.0,0.823072,0.78241575,0.8685855,-3.348764246191123,0.71217167095,0.4472568680471827,-1.0,0.999999,0.8234595,0.78242725,0.8687335,-3.3501379769200708,0.0006555858625553004,0.0012145100205178756
airTempeatur,0.003750000000000031,0.481763354545214,False,26.556154000000003,1.301708904765089,22.4,31.6,26.6,25.4,27.4,0.199796735098757,26.558638000000002,1.3011911911556886,22.4,31.2,26.6,25.6,27.4,0.19668648988807447,9.353764099514055e-05,0.0003977184173266319
aApparentPower_L2,0.003620000000000012,0.5276384901103442,False,2364.840193,588.3942937858081,660.513,4802.44,2408.535,2122.1575,2724.77,-0.8760508846696136,2363.8091258299996,588.2564198976565,644.943,4645.73,2410.0950000000003,2120.9975,2725.42,-0.8910868364940007,0.0004359986662303864,0.00023432227267562445
aCurrentL1,0.0035499999999999976,0.5530375858566268,False,13.430741999599999,3.1885535215141836,3.7207,25.0795,14.03315,12.091175,15.506275,-1.239802276217663,13.4291533369,3.185938377080637,3.72222,25.4729,14.03745,12.100275,15.495125000000002,-1.2518067783269753,0.00011828554958932054,0.0008201663882069459
aActivePower_L1,0.0034700000000000286,0.5825403436840919,False,1980.7278021900001,501.1874392901168,591.877,4048.89,2061.25,1681.0925,2321.0225,-0.5205431223270952,1980.9381972299998,500.5054891421464,644.233,4170.43,2061.98,1682.84,2319.0425,-0.5328131890973802,0.00010622107680113991,0.0013606688725533353
aReactivePower_L3,0.0033400000000000096,0.6312244491232881,False,850.1916791200559,556.5856851865157,-790.995,2643.98,991.544,622.8145000000001,1202.75,-1.1114317746418971,849.292526386331,558.6406724539091,-788.467,2589.66,990.696,618.1045,1200.335,-1.099905180624574,0.0010575882542686852,0.0036921310088453133
aReactivePower_L1,0.0032300000000000106,0.6726949305024186,False,1245.8966556353,567.3116959223936,-674.347,2945.17,1337.87,1052.5625,1599.6125,-1.22255484263447,1244.31375439322,567.8611618603084,-685.516,2828.01,1335.6350000000002,1049.76,1596.6925,-1.2220336888773549,0.001270491605309047,0.0009685432926104178
