,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCosPhi_L3_change_point_score,0.015037675116948432,0.2746590218673335,0.31577255014151956,8.0,4.0,5.0,5.666666666666667
aCosPhi_L2_change_point_score,0.012961392135311391,0.27198517890829477,0.33280738589231396,18.0,5.0,3.0,8.666666666666666
aCosPhi_L3_ks_test_statistic,0.014438421261013523,0.2600455171605527,0.3041215142160792,12.0,9.0,10.0,10.333333333333334
airTotal_trend_slope,0.014827268366331317,0.018706528469423,0.30006939416901923,9.0,16.0,14.0,13.0
airTotal_std,0.013442226407954526,0.019910427845789558,0.30228089943054226,16.0,15.0,11.0,14.0
airTotal_spectral_peak,0.014115863536801956,0.01800061283123644,0.300432055023759,14.0,19.0,13.0,15.333333333333334
aCosPhi_L1_change_point_score,0.012169992198069088,0.27597680458984986,0.29451124211643953,22.0,3.0,22.0,15.666666666666666
aPowerFactorPF_L2_mean,0.017870338601064822,0.016193316391177603,0.2983690415775039,5.0,30.0,16.0,17.0
aCosPhi_L2_ks_test_statistic,0.012246242722509692,0.24657643218186642,0.29779412808198724,21.0,13.0,18.0,17.333333333333332
aCosPhi_L1_mean,0.0178069047863698,0.013631938496845963,0.30437286685180376,6.0,39.0,9.0,18.0
aCosPhi_L3_std,0.01120543756660887,0.01686415574896949,0.3224851379551835,26.0,25.0,4.0,18.333333333333332
aPowerFactorPF_L2_change_point_score,0.014440666547354097,0.2698616356937613,0.26860043980738396,11.0,6.0,39.0,18.666666666666668
aPowerFactorPF_L2_ks_test_statistic,0.012861945310016356,0.2512678099390504,0.28490507823787614,20.0,12.0,30.0,20.666666666666668
aCosPhi_L3_mean,0.014328137884895344,0.01163076040741351,0.312010936254418,13.0,45.0,7.0,21.666666666666668
aCosPhi_L1_ks_test_statistic,0.014634605502812655,0.25862368577565786,0.23961976545042024,10.0,10.0,48.0,22.666666666666668
aVoltage_L1_N_mean,0.019429006550226845,0.016341777155285397,0.2540771921671766,3.0,28.0,43.0,24.666666666666668
aCosPhi_L2_mean,0.01393429733453355,0.013806057206674271,0.2897759591164318,15.0,36.0,25.0,25.333333333333332
rTotalApparentEnergy_mean,0.02501001179410883,0.43377786088789816,0.17741419192132857,2.0,1.0,84.0,29.0
aVoltage_L3_N_mean,0.01908950466004442,0.013660286407068067,0.2445276973322922,4.0,38.0,46.0,29.333333333333332
airTotal_mean,0.025160813630870325,0.4280669666518371,0.17472211354748854,1.0,2.0,85.0,29.333333333333332
aCosPhi_L3_spectral_peak,0.009643768311904548,0.012659816644296384,0.31324652308485573,40.0,42.0,6.0,29.333333333333332
airTotal_welch_peak_power,0.010840272895818327,0.014733243748349167,0.28814525645607014,28.0,33.0,28.0,29.666666666666668
airTotal_welch_total_power,0.010592177726565028,0.01495886361785792,0.28468241463997285,30.0,32.0,31.0,31.0
aVoltage_L2_N_mean,0.017621545444053203,0.012895571226913427,0.23697527608607535,7.0,41.0,51.0,33.0
aPowerFactorPF_L2_std,0.012924269405907178,0.006617133184048107,0.2890856744382357,19.0,59.0,26.0,34.666666666666664
aCosPhi_L1_std,0.011219365481409347,0.009311588222843392,0.2872717661053731,25.0,52.0,29.0,35.333333333333336
airTotal_change_point_score,0.009552866468643622,0.01561116254598005,0.28441743373580125,43.0,31.0,32.0,35.333333333333336
rTotalReactiveEnergy_mean,0.013159640993502655,0.04036420050380207,0.19496033678066632,17.0,14.0,75.0,35.333333333333336
airTotal_spectral_flatness,0.010610015722453871,0.017640177072139496,0.228106948738341,29.0,22.0,57.0,36.0
rTotalApparentEnergy_trend_slope,0.011235015927335355,0.014620792296760943,0.23762290124306307,24.0,34.0,50.0,36.0
aCosPhi_L2_std,0.010136984594876957,0.005286994777462972,0.34524252071531686,37.0,71.0,1.0,36.333333333333336
aCosPhi_L2_spectral_peak,0.009014412557591051,0.006208838389830662,0.3352888776948295,48.0,61.0,2.0,37.0
aVoltage_L3_N_change_point_score,0.010296739215301972,0.2633275945352642,0.2001521319426835,34.0,7.0,73.0,38.0
aPowerFactorPF_L2_freq_energy_ratio_low_high,0.010565669049707661,0.0058556950754762305,0.2967859382064694,31.0,65.0,20.0,38.666666666666664
aVoltage_L2_N_change_point_score,0.010229673357713426,0.2581278692494977,0.20228604071906325,36.0,11.0,70.0,39.0
aCosPhi_L3_welch_total_power,0.008372128378928279,0.013722705626928455,0.2952891295709308,60.0,37.0,21.0,39.333333333333336
rTotalApparentEnergy_std,0.011156089371058437,0.013182478616472482,0.2344187143656668,27.0,40.0,52.0,39.666666666666664
aVoltage_L1_N_change_point_score,0.010242969593511899,0.26049237352714316,0.19313464587662738,35.0,8.0,77.0,40.0
rTotalApparentEnergy_spectral_peak,0.011441472225848619,0.011578970122370524,0.23088439665224772,23.0,46.0,55.0,41.333333333333336
aCosPhi_L3_freq_energy_ratio_low_high,0.00942671600911547,0.005376499381303912,0.3005126025087026,44.0,70.0,12.0,42.0
aCosPhi_L3_welch_peak_power,0.00865980560729373,0.011156955854328743,0.2887360385998118,53.0,47.0,27.0,42.333333333333336
