,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCurrentL1_ks_test_statistic,0.015927008789733958,0.08994858555169838,0.32179423824680986,8.0,9.0,14.0,10.333333333333334
aReactivePower_L1_change_point_score,0.016906278919990136,0.10180945080465742,0.2907876526047673,6.0,3.0,26.0,11.666666666666666
airDurchfluss_change_point_score,0.021497195313771967,0.08925672688849628,0.2819029238764663,4.0,10.0,29.0,14.333333333333334
aReactivePower_L1_mean,0.01493020563931096,0.009339143779149683,0.3476514505571347,13.0,32.0,2.0,15.666666666666666
airDurchfluss_spectral_peak,0.015670129652419672,0.00869043294937466,0.32411040582601336,9.0,35.0,13.0,19.0
airDurchfluss_std,0.018583534965314463,0.008734261335886062,0.3141382257792022,5.0,34.0,19.0,19.333333333333332
aCurrentL1_mean,0.014422842637700802,0.00725050872613342,0.34502819121701483,14.0,42.0,3.0,19.666666666666668
aApparentPower_L1_change_point_score,0.013631018372144811,0.09764359208565199,0.2728724154345972,20.0,4.0,36.0,20.0
aApparentPower_L1_mean,0.012957296744115908,0.007718458492611324,0.3503408120871882,23.0,40.0,1.0,21.333333333333332
aCurrentL1_change_point_score,0.012203664515033042,0.09650636776275179,0.27471485184183353,25.0,5.0,34.0,21.333333333333332
airDurchfluss_mean,0.015205609357961279,0.013135795542134288,0.2829780270377506,12.0,27.0,28.0,22.333333333333332
airDurchfluss_ks_test_statistic,0.01325591885326129,0.0615100537857054,0.2496541644920892,22.0,11.0,39.0,24.0
rTotalApparentEnergy_mean,0.04092041529572918,0.16837040842284723,0.19423992966177345,1.0,1.0,70.0,24.0
airTotal_mean,0.037647886545463194,0.16665482502434914,0.19033405220142463,2.0,2.0,71.0,25.0
airDurchfluss_welch_peak_power,0.013855768581431838,0.008560639393135228,0.28189552689001507,18.0,37.0,30.0,28.333333333333332
aReactivePower_L1_std,0.013348115525702212,0.009110852515403112,0.28063398520261507,21.0,33.0,31.0,28.333333333333332
rTotalReactiveEnergy_mean,0.031643811483269155,0.056244511169745603,0.17873310914663004,3.0,12.0,75.0,30.0
airDurchfluss_welch_total_power,0.013934546469452238,0.0079090912428601,0.27072373146107676,17.0,39.0,37.0,31.0
aCurrentL1_std,0.008746713295902066,0.006614102261347732,0.32108102857551357,36.0,43.0,15.0,31.333333333333332
