,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aReactivePower_L2_change_point_score,0.021501599573377606,0.12019070433070089,0.37628460864989044,7.0,4.0,5.0,5.333333333333333
aReactivePower_L2_std,0.02567735994465,0.019959882149761743,0.3802913077155523,4.0,23.0,4.0,10.333333333333334
rTotalApparentEnergy_mean,0.029344580169957158,0.20478955526173626,0.30677854405759053,2.0,1.0,44.0,15.666666666666666
aReactivePower_L2_spectral_peak,0.02205495029276799,0.01726246065039705,0.3443145923623785,6.0,27.0,15.0,16.0
airTempeatur_change_point_score,0.014636300077847907,0.06423505406374597,0.3347405308442207,16.0,10.0,23.0,16.333333333333332
airTotal_mean,0.029650588269696746,0.20422378766438043,0.30521235210939196,1.0,2.0,46.0,16.333333333333332
aReactivePower_L1_change_point_score,0.012776517871459893,0.1216331721470243,0.3329057578263029,24.0,3.0,25.0,17.333333333333332
airDurchfluss_change_point_score,0.02415753746327618,0.08889423122446338,0.31187105515429314,5.0,9.0,41.0,18.333333333333332
aReactivePower_L1_std,0.013269095612027791,0.016033332490097196,0.36818980087959147,20.0,32.0,8.0,20.0
aReactivePower_L2_mean,0.01650226482013817,0.015953601206013746,0.3387935777722623,11.0,33.0,17.0,20.333333333333332
rTotalReactiveEnergy_mean,0.025977209006357076,0.09840479772940891,0.2906336636417935,3.0,8.0,51.0,20.666666666666668
airDurchfluss_mean,0.014589654265001866,0.019319786245101556,0.3359997370777924,17.0,24.0,22.0,21.0
airTempeatur_std,0.014985641624952055,0.021504150346659534,0.32642832769766283,13.0,22.0,29.0,21.333333333333332
aReactivePower_L1_spectral_peak,0.012907995394434981,0.014575413404621429,0.36471611948537125,22.0,38.0,9.0,23.0
airDurchfluss_std,0.017823278991592445,0.017250261553186208,0.32277881412291287,10.0,28.0,34.0,24.0
airDurchfluss_spectral_peak,0.01495765905462198,0.01612516321787094,0.31655951435053636,14.0,30.0,39.0,27.666666666666668
aReactivePower_L2_welch_total_power,0.012459661826722788,0.01604400291274799,0.32515661052067973,25.0,31.0,31.0,29.0
airTotal_std,0.011459819415091244,0.013735010147757798,0.3372032887448339,28.0,40.0,19.0,29.0
airTotal_spectral_peak,0.010728934806686281,0.014271027460093011,0.3362715780728004,32.0,39.0,21.0,30.666666666666668
airTotal_trend_slope,0.010889048525493635,0.013355718752884771,0.3378536339822699,31.0,44.0,18.0,31.0
airTempeatur_mean,0.020533450559781685,0.01228978757544441,0.31418056994335203,8.0,49.0,40.0,32.333333333333336
airTempeatur_spectral_peak,0.018818595988399158,0.01868897502697031,0.27800351461201905,9.0,25.0,63.0,32.333333333333336
aVoltage_L3_N_change_point_score,0.008779023077168168,0.11410913470869777,0.2865976000975193,43.0,6.0,56.0,35.0
aReactivePower_L1_mean,0.011226931927307353,0.012987280969908532,0.3253394181078929,30.0,45.0,30.0,35.0
aVoltage_L2_N_change_point_score,0.008456780628827395,0.11355793312691209,0.28704166104645557,44.0,7.0,55.0,35.333333333333336
aReactivePower_L2_welch_peak_power,0.011683833530053372,0.01565246653537411,0.3065700759517763,26.0,35.0,45.0,35.333333333333336
aReactivePower_L1_welch_total_power,0.011268645187798574,0.013677671284156423,0.32099098929994996,29.0,41.0,37.0,35.666666666666664
aVoltage_L1_N_change_point_score,0.009027737359200039,0.11704088102537558,0.2857569412309672,42.0,5.0,60.0,35.666666666666664
airTempeatur_welch_total_power,0.01282918224563033,0.015800948883149646,0.27634506617820936,23.0,34.0,65.0,40.666666666666664
airTempeatur_skew,0.013203552361840476,0.013501652816382936,0.2819006880798207,21.0,42.0,61.0,41.333333333333336
aReactivePower_L2_skew,0.01357704822731271,0.015108500958770366,0.25160997126984397,19.0,37.0,72.0,42.666666666666664
airDurchfluss_welch_total_power,0.011561311255515348,0.01520712756724718,0.2652884930883292,27.0,36.0,69.0,44.0
airTempeatur_welch_peak_power,0.009890194116786714,0.01621961043456044,0.24746792746164745,33.0,29.0,73.0,45.0
aReactivePower_L1_welch_peak_power,0.008003419467481837,0.011919480074499944,0.31953831964387913,48.0,51.0,38.0,45.666666666666664
airDurchfluss_ks_test_statistic,0.004002234202844939,0.043644108654401936,0.31170193024500675,94.0,11.0,42.0,49.0
rTotalApparentEnergy_dominant_frequency,2.612736139721357e-06,0.025957650634800045,0.3335305935587274,113.0,15.0,24.0,50.666666666666664
airTotal_welch_peak_power,0.009197988714367977,0.0093744791731738,0.29023519040165585,41.0,59.0,52.0,50.666666666666664
rTotalReactiveEnergy_spectral_peak,0.004486334610675613,0.009052995722516277,0.3852419639358501,92.0,60.0,1.0,51.0
airTotal_welch_total_power,0.007947193465572296,0.009805986059658878,0.2961596698484543,50.0,57.0,47.0,51.333333333333336
airDurchfluss_welch_peak_power,0.00950316623189748,0.01253012403251641,0.2638946848164434,38.0,47.0,71.0,52.0
rTotalApparentEnergy_std,0.00977675298175769,0.008617611037849748,0.2857630202270163,36.0,63.0,59.0,52.666666666666664
rTotalReactiveEnergy_trend_slope,0.0017445762245266192,0.010212961575324808,0.38193420676179757,103.0,55.0,3.0,53.666666666666664
rTotalReactiveEnergy_std,0.002117750606891374,0.009619872116398254,0.38515312017587205,101.0,58.0,2.0,53.666666666666664
rTotalApparentEnergy_trend_slope,0.009852680087052949,0.007907804127395446,0.2865898927897921,34.0,70.0,57.0,53.666666666666664
aVoltage_L1_N_mean,0.014738568356750975,0.00797665948584636,0.21166946796307923,15.0,68.0,80.0,54.333333333333336
rTotalApparentEnergy_spectral_peak,0.009423124248337446,0.007910035502616708,0.2862003612470287,39.0,69.0,58.0,55.333333333333336
aReactivePower_L1_ks_test_statistic,0.0029222491135494806,0.03438518383959166,0.2889337869712129,99.0,13.0,54.0,55.333333333333336
airTotal_change_point_score,0.006812889556127922,0.010005996176118082,0.29237352677293826,62.0,56.0,50.0,56.0
aVoltage_L2_N_mean,0.015437601715496034,0.006961009237136162,0.19773545241635831,12.0,74.0,85.0,57.0
aVoltage_L3_N_mean,0.014292583875934984,0.00770496106871521,0.20155203687718543,18.0,71.0,84.0,57.666666666666664
airDurchfluss_skew,0.009796892655591617,0.008117554571690277,0.23398441041687318,35.0,67.0,76.0,59.333333333333336
rTotalApparentEnergy_change_point_score,0.006739025875762928,0.0069272432787503835,0.30969174702351665,65.0,75.0,43.0,61.0
rTotalReactiveEnergy_welch_peak_power,0.0011868461719398737,0.007398470120780765,0.3722924119108902,110.0,73.0,6.0,63.0
aReactivePower_L2_freq_energy_ratio_low_high,0.009726508490052537,0.007671224191110326,0.20903544787994993,37.0,72.0,81.0,63.333333333333336
airTotal_spectral_flatness,0.006903433536081928,0.008824211139003557,0.2357838774092397,61.0,61.0,74.0,65.33333333333333
rTotalReactiveEnergy_welch_total_power,0.001103488847609247,0.006085839760759493,0.3683100985142604,111.0,78.0,7.0,65.33333333333333
rTotalApparentEnergy_spectral_flatness,0.007000457513414552,0.0031070483939692473,0.3229836865885103,59.0,106.0,32.0,65.66666666666667
aVoltage_L1_N_std,0.005885567552617561,0.00404636384019863,0.328883607629034,83.0,88.0,26.0,65.66666666666667
aVoltage_L1_N_welch_total_power,0.006205908536103688,0.0030093600166336554,0.34699262046422363,78.0,110.0,10.0,66.0
aVoltage_L2_N_welch_total_power,0.0057929617112328835,0.0032134061664119695,0.3460812694265808,84.0,104.0,11.0,66.33333333333333
aVoltage_L3_N_welch_total_power,0.005664605544947492,0.0033612732644709986,0.3455288841837211,89.0,101.0,12.0,67.33333333333333
aVoltage_L2_N_std,0.006233276890367533,0.003429652511456105,0.3281338744037038,76.0,100.0,27.0,67.66666666666667
airTempeatur_trend_slope,0.007623797084660758,0.01252546534223109,0.028672046593278645,52.0,48.0,104.0,68.0
aVoltage_L3_N_std,0.006109320437272566,0.003499007927592057,0.32803239829276076,79.0,98.0,28.0,68.33333333333333
aReactivePower_L2_trend_slope,0.006948074354464479,0.01342522559480841,0.03196911131315915,60.0,43.0,103.0,68.66666666666667
aReactivePower_L2_ks_test_statistic,0.0017309158701398378,0.03535196715967981,0.14768446544133307,104.0,12.0,91.0,69.0
aVoltage_L2_N_spectral_peak,0.006084894892601555,0.003930393438133395,0.32227819352769,81.0,90.0,36.0,69.0
rTotalApparentEnergy_welch_peak_power,0.006599684682043008,0.005693880787251526,0.2810865591831828,66.0,79.0,62.0,69.0
airTotal_dominant_frequency,6.926547809378241e-05,0.017289068479858782,0.26472790033781807,112.0,26.0,70.0,69.33333333333333
aReactivePower_L2_spectral_flatness,0.007975970359000724,0.006754503040923288,0.20189677799987166,49.0,76.0,83.0,69.33333333333333
rTotalReactiveEnergy_change_point_score,0.00149675246992201,0.005043245061905566,0.3366558644937141,105.0,84.0,20.0,69.66666666666667
airTotal_freq_energy_ratio_low_high,0.006499502343757928,0.00816299220749106,0.23401081223553347,68.0,66.0,75.0,69.66666666666667
aVoltage_L1_N_welch_peak_power,0.005753685199325644,0.003009322331549713,0.34535412599352083,85.0,111.0,13.0,69.66666666666667
airTempeatur_spectral_flatness,0.008229347052403793,0.005550895086476437,0.17873040914594163,46.0,80.0,87.0,71.0
aVoltage_L1_N_spectral_peak,0.005963891384659775,0.0035507188886922947,0.32233151209134625,82.0,97.0,35.0,71.33333333333333
aReactivePower_L1_skew,0.009233865303229125,0.005298299989366262,0.12704807286372197,40.0,82.0,93.0,71.66666666666667
aReactivePower_L1_trend_slope,0.0071631898682395475,0.010936419050932233,0.02058744917009703,56.0,53.0,107.0,72.0
airTempeatur_freq_energy_ratio_low_high,0.008367429840079309,0.004111697766983058,0.185554429450335,45.0,86.0,86.0,72.33333333333333
