,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aPowerFactorPF_L2_change_point_score,0.021034523989376,0.13277371727094156,0.2969801674615814,3.0,3.0,17.0,7.666666666666667
aCosPhi_L1_change_point_score,0.01146015636185135,0.1310207243041268,0.2986848801861285,16.0,4.0,15.0,11.666666666666666
aCosPhi_L3_change_point_score,0.012316285966057394,0.12207769468525043,0.2800541555682365,13.0,5.0,24.0,14.0
rTotalApparentEnergy_mean,0.02490032570233252,0.27287822849356047,0.24415495340443769,2.0,1.0,46.0,16.333333333333332
airTotal_mean,0.025088994517652567,0.26567262563134775,0.23975905797085778,1.0,2.0,49.0,17.333333333333332
aCosPhi_L1_mean,0.017517751599345852,0.010347966617342719,0.2878364226910134,6.0,27.0,19.0,17.333333333333332
aVoltage_L2_N_change_point_score,0.010763338876682838,0.038663976294114555,0.2821689768105317,24.0,10.0,22.0,18.666666666666668
aCosPhi_L2_change_point_score,0.01126440250554318,0.11655178563618573,0.2723997846670331,19.0,6.0,32.0,19.0
aCosPhi_L3_ks_test_statistic,0.011674802776946975,0.04646161238695168,0.2685589375541658,15.0,9.0,33.0,19.0
aCosPhi_L1_ks_test_statistic,0.012940763226466033,0.06485201076012848,0.25327968215507385,11.0,7.0,42.0,20.0
aCosPhi_L3_std,0.010171868758760985,0.008565954759604422,0.3111276736141798,29.0,28.0,11.0,22.666666666666668
aVoltage_L3_N_change_point_score,0.010154051893039515,0.037297646093324976,0.27873015060078876,31.0,12.0,25.0,22.666666666666668
aVoltage_L1_N_change_point_score,0.010118898081307733,0.038172662072882835,0.2724809958449548,32.0,11.0,31.0,24.666666666666668
rTotalReactiveEnergy_mean,0.014278472582125628,0.02660173391741294,0.22962199949234888,9.0,15.0,55.0,26.333333333333332
aPowerFactorPF_L2_welch_total_power,0.014492926403313561,0.006652070966674195,0.2620829930510794,8.0,36.0,38.0,27.333333333333332
aVoltage_L1_N_mean,0.017864216380099288,0.007646654601274339,0.2404092576440564,5.0,33.0,48.0,28.666666666666668
aPowerFactorPF_L2_std,0.011114099657198227,0.007869021643213348,0.26477174780194146,21.0,31.0,36.0,29.333333333333332
airTotal_spectral_peak,0.009820138158950734,0.005675340835004761,0.31366066197797127,36.0,44.0,8.0,29.333333333333332
