,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCurrentL1_ks_test_statistic,0.015523147476494227,0.06272330498433387,0.29525790294528165,9.0,6.0,15.0,10.0
aReactivePower_L1_change_point_score,0.015282478554854867,0.07686671331545325,0.28544539801797486,10.0,3.0,17.0,10.0
airDurchfluss_std,0.022310126472668047,0.0085766664252247,0.30484058289117844,5.0,27.0,11.0,14.333333333333334
airDurchfluss_mean,0.01461506545969643,0.00979740953710051,0.3093142033646191,11.0,25.0,7.0,14.333333333333334
aCurrentL1_change_point_score,0.012793517449782002,0.0665972491405058,0.2700617217360627,16.0,5.0,25.0,15.333333333333334
aApparentPower_L1_change_point_score,0.01130219798337461,0.06866503710375227,0.27040110333473133,21.0,4.0,24.0,16.333333333333332
aReactivePower_L1_mean,0.013623428030180226,0.00808705737998161,0.2868183355971886,14.0,30.0,16.0,20.0
aCurrentL1_mean,0.014011418481553002,0.006695746594336249,0.31651665727207,12.0,43.0,6.0,20.333333333333332
airDurchfluss_welch_total_power,0.01599179845069301,0.009465180208627855,0.261319318956033,7.0,26.0,30.0,21.0
airDurchfluss_spectral_peak,0.01597200993651434,0.008378388016874183,0.26221277501957074,8.0,28.0,29.0,21.666666666666668
rTotalApparentEnergy_mean,0.03186748968649427,0.14679916865363152,0.22023788588597398,2.0,1.0,62.0,21.666666666666668
aCurrentL1_std,0.009816106562069096,0.007823192513865207,0.316784056447258,27.0,34.0,5.0,22.0
airDurchfluss_freq_energy_ratio_low_high,0.017680316523355683,0.01191298890850212,0.2428927107079959,6.0,23.0,38.0,22.333333333333332
airTotal_mean,0.03333478997791553,0.14489296120935247,0.21765506884814934,1.0,2.0,65.0,22.666666666666668
aApparentPower_L1_mean,0.012112219899500471,0.0063863637948218255,0.31872538118533383,20.0,47.0,3.0,23.333333333333332
airDurchfluss_change_point_score,0.03066952863255121,0.022963828349477078,0.22920543325987577,3.0,21.0,50.0,24.666666666666668
aCurrentL1_welch_total_power,0.008378574430334879,0.007380568805420928,0.3297662036034753,40.0,37.0,2.0,26.333333333333332
aReactivePower_L1_std,0.008395315975662598,0.007467353747554029,0.30867111688300536,39.0,35.0,9.0,27.666666666666668
aReactivePower_L1_welch_total_power,0.009120222211959683,0.0067883884615553836,0.3087779465162632,33.0,42.0,8.0,27.666666666666668
aReactivePower_L1_welch_peak_power,0.00858856971652537,0.006804413453922686,0.2992766351936748,37.0,41.0,13.0,30.333333333333332
airDurchfluss_welch_peak_power,0.013670030549730252,0.008026013193712211,0.23315253990957938,13.0,31.0,47.0,30.333333333333332
