,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aReactivePower_L2_change_point_score,0.021847585231357134,0.08606122115935233,0.3527142939549428,4.0,4.0,6.0,4.666666666666667
aReactivePower_L2_std,0.01630590117892051,0.0158011631159114,0.3768153985641846,8.0,26.0,1.0,11.666666666666666
airDurchfluss_std,0.018655269808498184,0.013915506934602861,0.33956741809296964,6.0,30.0,14.0,16.666666666666668
aReactivePower_L1_change_point_score,0.013828665867284706,0.0861940660245002,0.32997856614645193,17.0,3.0,31.0,17.0
rTotalApparentEnergy_mean,0.02952467763403919,0.17594789887899243,0.3092479217501743,2.0,1.0,48.0,17.0
airTotal_mean,0.031935600788524615,0.17446841781027822,0.30841324001489784,1.0,2.0,49.0,17.333333333333332
airTempeatur_std,0.01463995675255333,0.01761129833774988,0.3374794654167531,13.0,23.0,18.0,18.0
rTotalReactiveEnergy_mean,0.027832785831932147,0.07646540954622205,0.30803645973085614,3.0,5.0,50.0,19.333333333333332
airDurchfluss_change_point_score,0.016035906680479124,0.01729179006750514,0.33240440011462524,9.0,24.0,27.0,20.0
aReactivePower_L2_spectral_peak,0.013710781336151863,0.012730741714992888,0.3416098788030479,18.0,35.0,11.0,21.333333333333332
aReactivePower_L2_mean,0.013498106480145614,0.011306248510315697,0.3553688535792097,19.0,42.0,5.0,22.0
aReactivePower_L2_welch_total_power,0.019258593927494596,0.014818779586189157,0.32493890714709484,5.0,28.0,36.0,23.0
airDurchfluss_mean,0.013458231094672812,0.015031529205159266,0.3326799292066928,20.0,27.0,24.0,23.666666666666668
airDurchfluss_welch_total_power,0.013981737111604602,0.010836453202035301,0.3395873762244623,16.0,45.0,13.0,24.666666666666668
aReactivePower_L2_freq_energy_ratio_low_high,0.016035422356721556,0.012428803883120398,0.33053049909258575,10.0,37.0,30.0,25.666666666666668
aReactivePower_L1_std,0.010295297462515578,0.01169896459341735,0.3499290870834355,32.0,39.0,7.0,26.0
airTempeatur_mean,0.018530024742828218,0.010615404603009804,0.32821971163772273,7.0,47.0,32.0,28.666666666666668
aReactivePower_L2_welch_peak_power,0.012552660235395818,0.01352872128099869,0.32336173754427616,21.0,31.0,39.0,30.333333333333332
aReactivePower_L2_spectral_flatness,0.010437516106220639,0.012800088347564076,0.32360127728216614,31.0,34.0,37.0,34.0
aReactivePower_L1_ks_test_statistic,0.009343895157659557,0.026091386272899086,0.31147070637806606,37.0,20.0,46.0,34.333333333333336
aReactivePower_L1_mean,0.011912814036741421,0.010450258580996685,0.3256323930479429,24.0,49.0,33.0,35.333333333333336
airDurchfluss_ks_test_statistic,0.007425131077139786,0.024408015914018977,0.33091851969016595,56.0,22.0,29.0,35.666666666666664
airDurchfluss_spectral_peak,0.014875794612510429,0.011838955114768401,0.2979804795058185,12.0,38.0,57.0,35.666666666666664
airTotal_spectral_peak,0.01026628684749991,0.00799317927879506,0.33391983849784956,33.0,57.0,21.0,37.0
aReactivePower_L1_spectral_peak,0.011810364139820305,0.0105878412178817,0.32086808211374596,25.0,48.0,41.0,38.0
airTotal_std,0.008915258766339166,0.00792267480873865,0.33761736858285224,41.0,58.0,17.0,38.666666666666664
aReactivePower_L1_welch_total_power,0.012040582529196382,0.010396239117287376,0.31418871768829365,23.0,50.0,45.0,39.333333333333336
