,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCosPhi_L1_mean,0.018243640339743718,0.008456931918711108,0.2995413409179692,3.0,27.0,12.0,14.0
aPowerFactorPF_L2_change_point_score,0.017145081630862903,0.05645755632100635,0.25809937282335255,7.0,3.0,34.0,14.666666666666666
aPowerFactorPF_L2_mean,0.013126572281564351,0.004851239979372979,0.30726543704593245,15.0,38.0,2.0,18.333333333333332
aVoltage_L1_N_mean,0.017809303005165422,0.006277292413302993,0.25869297178548845,6.0,28.0,32.0,22.0
aVoltage_L3_N_mean,0.018009410005640502,0.005880671011293526,0.24934203293653937,4.0,30.0,37.0,23.666666666666668
aPowerFactorPF_L2_ks_test_statistic,0.01201438616367795,0.03193378729527141,0.24866910246988905,16.0,18.0,38.0,24.0
aCosPhi_L3_mean,0.013910827291668888,0.005378069706665212,0.2626570197814434,10.0,33.0,29.0,24.0
aPowerFactorPF_L2_welch_total_power,0.014284146796222091,0.005925899526188827,0.24186780275542485,9.0,29.0,40.0,26.0
aPowerFactorPF_L2_std,0.013646700272353308,0.005756988539333152,0.24384785177147653,13.0,31.0,39.0,27.666666666666668
aCosPhi_L2_mean,0.011919236720486115,0.005111752244471468,0.25812380458449935,17.0,36.0,33.0,28.666666666666668
rTotalApparentEnergy_mean,0.02837725605153587,0.27697717276492206,0.12237532910752758,2.0,1.0,83.0,28.666666666666668
airTotal_mean,0.03142642544788574,0.2681616357808053,0.11891091124893498,1.0,2.0,84.0,29.0
aVoltage_L2_N_mean,0.01518880685456251,0.0048494145549791146,0.24141691464754084,8.0,39.0,42.0,29.666666666666668
aCosPhi_L1_change_point_score,0.010732041713167995,0.04979784299337786,0.21834668231248505,24.0,10.0,60.0,31.333333333333332
aCosPhi_L3_change_point_score,0.011168078958909271,0.0474686579181709,0.21367272175508142,21.0,13.0,66.0,33.333333333333336
aCosPhi_L2_change_point_score,0.010760461560763022,0.048780711700521895,0.2048209578815859,23.0,11.0,69.0,34.333333333333336
aCosPhi_L1_ks_test_statistic,0.013817486342662125,0.047220312908379025,0.16394828103450002,11.0,14.0,80.0,35.0
rTotalReactiveEnergy_mean,0.017911544824210333,0.02650117164683574,0.1394119309618695,5.0,19.0,81.0,35.0
aCosPhi_L3_freq_energy_ratio_low_high,0.010255516640191795,0.0025005467293004457,0.2801541598710746,27.0,61.0,19.0,35.666666666666664
aVoltage_L2_N_change_point_score,0.01379882567598377,0.013783014188085474,0.19325429257159274,12.0,23.0,72.0,35.666666666666664
aCosPhi_L3_spectral_flatness,0.009932260068304733,0.0034219835324442727,0.27214008841609183,32.0,53.0,23.0,36.0
aCosPhi_L2_ks_test_statistic,0.01093432654535297,0.03225157302852644,0.1958656158437142,22.0,17.0,71.0,36.666666666666664
aVoltage_L3_N_change_point_score,0.013226269505284856,0.014322562781994286,0.18958099525611555,14.0,22.0,74.0,36.666666666666664
aCosPhi_L3_ks_test_statistic,0.01171233525824978,0.04312884954847873,0.1677020581948035,18.0,16.0,79.0,37.666666666666664
aVoltage_L2_N_welch_total_power,0.011692598634615987,0.00527758201893036,0.21674548722763715,19.0,34.0,62.0,38.333333333333336
airTotal_freq_energy_ratio_low_high,0.00889352295800365,0.020199051443543503,0.23683207872658846,53.0,21.0,44.0,39.333333333333336
aCosPhi_L2_std,0.009936628142139059,0.004407378699078368,0.23240463518021856,31.0,42.0,46.0,39.666666666666664
aCosPhi_L3_std,0.009499697028262763,0.0057492678592729884,0.23133507578061357,41.0,32.0,47.0,40.0
aVoltage_L2_N_freq_energy_ratio_low_high,0.008834967088994228,0.0026697542292764,0.2996673383862516,56.0,59.0,11.0,42.0
aVoltage_L1_N_change_point_score,0.010360770739725389,0.013675763047909628,0.17727190694786185,26.0,25.0,76.0,42.333333333333336
aCosPhi_L1_freq_energy_ratio_low_high,0.011573001021093585,0.0014135734599827199,0.27176583584250225,20.0,85.0,24.0,43.0
aVoltage_L1_N_welch_total_power,0.010042750370887938,0.00351950340020446,0.22382788466112857,29.0,51.0,53.0,44.333333333333336
aVoltage_L3_N_welch_total_power,0.00965405826433832,0.005095719646497354,0.21683413096886403,35.0,37.0,61.0,44.333333333333336
aPowerFactorPF_L2_spectral_peak,0.009595132204023355,0.003466812006263309,0.23857318558057625,39.0,52.0,43.0,44.666666666666664
airTotal_std,0.008833120515736927,0.0018533985666997488,0.3070588537062174,57.0,74.0,3.0,44.666666666666664
airTotal_spectral_peak,0.009690209107524845,0.0008581683567723264,0.3048902535804864,34.0,95.0,6.0,45.0
aPowerFactorPF_L2_welch_peak_power,0.010046741952509652,0.0025451759059589296,0.23041112809956416,28.0,60.0,49.0,45.666666666666664
aCosPhi_L2_spectral_peak,0.009238013667645116,0.0031186893209322886,0.25470386472821344,47.0,55.0,35.0,45.666666666666664
aVoltage_L3_N_freq_energy_ratio_low_high,0.00856265598555578,0.002134681738789279,0.3001918361105604,58.0,72.0,10.0,46.666666666666664
aPowerFactorPF_L2_freq_energy_ratio_low_high,0.01063421851061084,0.0008527941563900576,0.2773932310603813,25.0,96.0,21.0,47.333333333333336
