tsne_1,tsne_2,label
-43.540577,109.44467,1
-42.265182,110.753426,1
-42.507725,110.63826,1
-42.605957,110.5663,1
-41.4713,109.34346,1
-39.811672,110.88226,1
-40.426258,112.57947,1
-40.048767,110.935455,1
-40.40364,110.75176,1
-40.777813,110.73366,1
-41.115654,110.520615,1
-41.566227,110.50244,1
-53.28551,104.82797,1
-50.334503,103.83519,1
-53.41454,100.1358,1
-54.781544,100.37673,1
-58.36884,101.71102,1
-54.207798,102.659584,1
-54.313232,103.10418,1
-54.32634,104.56403,1
-50.958977,104.91936,1
-51.088196,105.072136,1
-54.951435,105.57462,1
-54.805767,100.354774,1
-54.98596,100.25375,1
-54.95141,100.85185,1
-55.099163,102.654335,1
-54.81799,105.16815,1
-50.697006,104.935646,0
-60.863228,103.71801,0
-60.99468,103.60666,0
-61.307854,103.694664,0
-59.964027,102.15687,0
-55.270775,100.170654,0
-54.40748,100.54127,0
-54.58226,101.202576,0
-54.79227,102.02642,0
-53.30005,103.441345,0
-41.619923,110.6053,0
-41.552322,112.705025,0
-42.38311,110.571526,0
-42.524788,110.6376,0
-41.399834,110.507545,0
-39.79853,111.02858,0
-39.857056,109.991615,0
-40.013905,110.91926,0
-40.300266,112.22,0
-40.403347,112.21225,0
-41.21667,110.58664,0
-43.47876,109.2966,0
-54.197975,104.56385,0
-54.313927,105.01129,0
-54.315125,105.38517,0
-54.348293,105.53874,0
-50.764774,104.88457,0
-54.29455,106.0436,0
-54.24808,106.25298,0
-57.331085,103.58114,0
-53.678753,100.09777,0
-54.75095,101.03415,0
-53.64379,102.96336,0
-53.695053,103.90284,0
-50.813858,104.905106,0
-54.275623,106.159225,0
-54.268665,105.98569,0
-54.237083,106.20773,0
-54.34247,106.07213,0
-53.557518,100.28466,0
-53.65563,100.07493,0
-50.309105,103.9422,0
-58.055058,101.87269,0
-53.770382,103.35311,0
-54.18525,104.469154,0
-54.485817,105.19297,0
-54.780407,105.82689,0
-42.425007,110.842766,0
-40.24818,112.16377,0
-40.150745,112.11485,0
-40.119457,110.9469,0
-40.366238,110.86836,0
-41.06526,110.76115,0
-41.747437,110.67031,0
-42.18908,110.630554,0
-42.035343,109.40497,0
-42.032497,112.3013,0
-41.817978,112.23646,0
-39.674095,110.90365,0
-53.595562,100.318474,0
-53.602146,101.93007,0
-53.920452,102.65644,0
-53.80398,103.0204,0
-50.80175,104.45516,0
-52.991436,104.801254,0
-54.185543,105.13158,0
-54.42718,105.64537,0
-58.195057,104.797424,0
-54.3443,105.29901,0
-53.90607,100.00203,0
-54.528625,100.25228,0
-50.34817,103.96168,0
-54.565166,102.64503,0
-54.20542,105.09741,0
-54.235798,106.03837,0
-54.367527,106.105064,0
-57.7465,104.95865,0
-53.524994,102.18572,0
-50.567657,103.31094,0
-50.553047,103.53542,0
-58.34703,101.66826,0
-54.748413,101.79563,0
-54.72032,102.869446,0
-55.25533,103.60782,0
-41.77495,110.63764,0
-41.408333,108.561295,0
-41.1653,107.548225,0
-42.16734,110.718155,0
-41.567383,112.70389,0
-42.360905,110.91451,0
-42.531902,111.02797,0
-42.719902,111.05049,0
-41.239902,111.319176,0
-39.95208,111.21127,0
-40.790302,108.34926,0
-43.23775,109.18164,0
-59.194916,101.91273,0
-50.628967,103.919426,0
-51.11967,103.661964,0
-54.66382,103.07696,0
-54.665234,103.917076,0
-57.158928,104.91128,0
-58.159542,104.76232,0
-61.164402,103.56401,0
-61.227802,103.58246,0
-61.31324,103.59442,0
-61.37134,103.60734,0
-60.46206,102.79822,0
-59.51636,101.94167,0
-59.537415,101.95834,0
-59.927414,102.28792,0
-60.276897,102.671196,0
-60.569084,102.9818,0
-60.777596,103.14567,0
-61.089638,103.40959,0
-61.309193,103.52936,0
-61.196342,103.44801,0
-59.704666,102.061646,0
-59.812183,102.14489,0
-60.134476,102.455,0
-60.579605,102.89104,0
-60.43771,104.04993,0
-41.368774,107.05326,0
-41.30072,107.09552,0
-41.35712,107.052574,0
-41.405365,107.01204,0
-41.169098,107.18216,0
-40.67768,107.42844,0
-40.79329,107.41276,0
-40.6914,107.46586,0
-40.74995,107.42161,0
-40.854786,107.3661,0
-41.032448,107.26026,0
-60.929672,104.16388,0
-61.17809,103.73144,0
-61.252037,103.56414,0
-61.36054,103.61733,0
-60.989407,103.28163,0
-58.990417,101.66998,0
-53.190617,100.65141,0
-53.040035,100.78222,0
-59.023132,101.7929,0
-59.005383,101.80892,0
-50.411827,104.233315,0
-54.333458,103.644905,0
-54.40212,103.880646,0
-54.96368,104.47962,0
-55.694786,105.20559,0
-55.613243,105.332146,0
-55.846153,105.43919,0
-51.626972,105.33803,0
-50.657993,104.517265,0
-53.856728,99.98531,0
-53.78528,100.10164,0
-53.90356,100.78668,0
-54.212246,102.35031,0
-54.443306,102.89541,0
-54.597935,104.20419,0
-50.25958,104.95568,0
-41.900417,112.39171,0
-42.486732,110.807884,0
-42.52561,110.86264,0
-42.667286,110.977776,0
-42.781406,111.02049,0
-40.87407,107.5523,0
-40.64406,107.591866,0
-40.75292,107.51146,0
-40.984642,107.88734,0
-41.11302,107.89194,0
-41.140846,107.73887,0
-60.20621,104.07854,0
-56.921825,105.08378,0
-50.88916,105.07916,0
-58.886417,104.46387,0
-55.38133,105.09118,0
-55.24615,100.19007,0
-53.93589,100.05093,0
-54.20891,100.22378,0
-54.80161,101.009285,0
-54.50672,102.044495,0
-55.056385,102.40679,0
-50.372154,104.39083,0
-55.58082,104.52957,0
-60.25128,103.55059,0
-58.04085,104.80124,0
-57.852173,104.89914,0
-55.679108,105.34182,0
-54.107864,100.13227,0
-54.30446,100.03235,0
-54.238136,100.15129,0
-50.309593,104.01959,0
-54.4709,101.98678,0
-54.353275,102.74778,0
-54.398663,103.21751,0
-55.130466,104.45017,0
-52.966576,102.83378,0
-39.822163,109.92111,0
-40.030647,111.599174,0
-40.45134,112.53351,0
-40.41114,110.96525,0
-40.82638,110.954666,0
-41.058147,110.87992,0
-41.3132,110.8396,0
-41.596798,110.85786,0
-41.716194,110.93655,0
-41.572857,112.70217,0
-42.20593,110.87324,0
-43.48125,109.488686,0
-55.66304,105.37361,0
-55.322132,100.27036,0
-54.73755,100.184685,0
-54.92914,100.34791,0
-50.797554,103.76475,0
-50.8395,103.84394,0
-54.51975,103.47842,0
-54.71144,103.82727,0
-54.998398,104.31062,0
-55.466553,104.90552,0
-55.630188,105.38426,0
-55.92567,105.4898,0
-50.73023,104.96009,0
-55.551563,105.17343,0
-58.529327,101.51791,0
-54.65756,100.18013,0
-53.724445,100.740776,0
-53.515327,100.95477,0
-53.026226,101.25816,0
-50.56606,104.23003,0
-59.540215,103.50722,0
-55.218594,104.61171,0
-55.540855,105.14831,0
-55.617992,105.350876,0
-55.770546,105.44363,0
-42.476997,110.92248,0
-40.100487,111.13882,0
-40.44531,112.58197,0
-40.28907,111.005196,0
-40.451416,110.90276,0
-40.914543,110.92374,0
-41.35724,110.91302,0
-41.88603,110.862946,0
-42.245625,110.87282,0
-42.221516,112.122635,0
-42.5544,111.45824,0
-40.86549,110.90917,0
-53.098557,100.363914,0
-54.093838,100.36681,0
-58.554356,101.60126,0
-58.163837,101.64716,0
-54.53186,103.368576,0
-60.753017,103.312584,0
-50.59943,104.785034,0
-55.869568,105.681755,0
-55.375088,104.90878,0
-54.556553,100.14466,0
-54.382267,100.397484,0
-55.576015,100.21521,0
-54.008297,100.70155,0
-54.20213,103.2785,0
-60.66572,103.20297,0
-61.205086,103.47379,0
-61.36218,103.55212,0
-60.482124,102.766075,0
-59.669754,102.024185,0
-60.12197,102.443634,0
-60.653915,102.970695,0
-61.187675,103.363495,0
-61.509632,103.31167,0
-60.991688,102.77559,0
-61.318768,103.01582,0
-61.553658,103.27858,0
-41.08322,107.28802,0
-40.726875,107.50602,0
-40.942436,107.39561,0
-41.174885,107.242966,0
-41.150024,107.26715,0
-40.689247,107.53251,0
-40.444958,107.05362,0
-115.79166,45.453247,0
-115.50613,45.177834,0
-117.00594,-36.813446,0
-115.140945,-37.21006,0
-114.68556,-37.198627,0
-115.49752,-37.193775,0
-116.717545,-36.951088,0
-116.602455,-36.984528,0
-114.75034,-37.206886,0
-115.1931,-37.21994,0
-116.56418,-37.000153,0
-116.956535,-36.844097,0
-116.08914,-37.09732,0
-114.63164,-37.191673,0
-115.21754,-37.21628,0
-116.64468,-36.970947,0
-116.792465,-36.913284,0
-114.83971,-37.20963,0
-114.8636,-37.2145,0
-116.306915,-37.055595,0
-117.921715,-35.30833,0
-116.47978,-34.547203,0
-112.738266,-35.21282,0
-114.129585,-35.08786,0
-117.05107,-34.674637,0
-117.618355,-34.50827,0
-112.92988,-34.941704,0
-112.79847,-35.063656,0
-112.63436,-35.091373,0
-113.807816,-35.0234,0
-116.911934,-34.514694,0
-118.051216,-34.638756,0
-115.965324,-34.361034,0
-112.670334,-35.028313,0
-114.39734,-34.817642,0
-117.47416,-34.308857,0
-117.4602,-34.18961,0
-112.76429,-34.99094,0
-113.09595,-34.90901,0
-116.47947,-34.287033,0
-118.08869,-34.350235,0
-116.89986,-34.037327,0
-112.69805,-34.951447,0
-113.55394,-34.729095,0
-117.2114,-34.190407,0
-117.84927,-34.27669,0
-113.02589,-34.71069,0
-112.76853,-35.002384,0
-116.01067,-34.412693,0
-117.95354,-34.376995,0
-117.77534,-34.237583,0
-112.84999,-34.93504,0
-113.188995,-34.89552,0
-116.600716,-34.38443,0
-117.98012,-34.24933,0
-113.38836,-33.517193,0
-112.59178,-34.816082,0
-115.67737,-34.04091,0
-117.93743,-34.211536,0
-117.94155,-34.162678,0
-112.91036,-34.743614,0
-116.29203,45.99723,0
-115.829285,45.382164,0
-115.61452,44.965786,0
-116.110466,45.705475,0
-116.41863,46.178093,0
-116.01319,45.67152,0
-115.625595,45.182446,0
-118.67852,-34.810684,0
-113.81526,-35.179813,0
-113.0679,-35.657898,0
-115.67166,-34.988304,0
-117.68767,-34.96752,0
-115.877525,-34.80481,0
-112.82584,-35.51471,0
-113.93745,-35.213936,0
-116.955414,-34.860477,0
-117.91526,-35.043125,0
-115.02823,-35.001408,0
-112.78846,-35.343937,0
-114.9868,-35.07984,0
-117.449776,-35.03455,0
-116.88585,-35.025745,0
-112.88471,-35.461216,0
-113.59771,-35.381195,0
-116.52118,-34.737057,0
-118.00644,-34.874527,0
-116.51963,-34.677715,0
-112.91874,-35.489937,0
-114.127914,-35.27908,0
-117.008316,-35.03281,0
-117.36365,-35.084312,0
