feature,shap_importance
rTotalApparentEnergy,0.19623177
airTotal,0.14565185
aVoltage_L1_N,0.11884025
rTotalReactiveEnergy,0.094792224
airDurchfluss,0.058682416
aCosPhi_L1,0.04771026
aReactivePower_L1,0.041541487
aActivePower_L3,0.038436215
aPowerFactorPF_L2,0.03829443
aVoltage_L2_N,0.03306663
rTotalActivePower,0.031261917
aApparentPower_L3,0.02657699
aCosPhi_L3,0.025383899
aActivePower_L1,0.022753866
aVoltage_L3_N,0.021028955
aApparentPower_L2,0.018419236
aReactivePower_L2,0.016925523
aApparentPower_L1,0.013978305
aCosPhi_L2,0.01374125
aCurrentL2,0.012197357
aReactivePower_L3,0.01197723
aActivePower_L2,0.010927957
aCurrentL3,0.010553465
rTotalReactivePower,0.008217479
aCurrentL1,0.007655328
rTotalApparentPower,0.003675302
airTempeatur,0.003205946
