feature,shap_importance
rTotalReactiveEnergy,0.14810474
rTotalApparentEnergy,0.051033966
aCosPhi_L2,0.015112451
aCurrentL1,0.013350556
airDurchfluss,0.012561144
aPowerFactorPF_L1,0.010856175
aVoltage_L1_N,0.00927826
aApparentPower_L1,0.005213749
airTempeatur,0.004709956
aVoltage_L2_N,0.0
aCurrentL3,0.0
aCurrentL2,0.0
rTotalApparentPower,0.0
rTotalActivePower,0.0
rTotalReactivePower,0.0
aReactivePower_L1,0.0
aActivePower_L3,0.0
aActivePower_L2,0.0
aActivePower_L1,0.0
aVoltage_L3_N,0.0
aApparentPower_L2,0.0
aReactivePower_L3,0.0
aReactivePower_L2,0.0
aCosPhi_L3,0.0
aCosPhi_L1,0.0
aApparentPower_L3,0.0
aPowerFactorPF_L2,0.0
airTotal,0.0
airDruck,0.0
celTemp,0.0
celHum,0.0
