feature,shap_importance
rTotalReactiveEnergy,0.22411428
aVoltage_L1_N,0.076509185
airDurchfluss,0.05397088
aVoltage_L3_N,0.048233654
airTotal,0.047234938
rTotalApparentEnergy,0.04328332
aPowerFactorPF_L2,0.0345429
airTempeatur,0.033278655
aCurrentL1,0.03143404
aReactivePower_L2,0.02902543
aCosPhi_L1,0.021006199
aCurrentL3,0.017828936
aApparentPower_L1,0.011823499
aReactivePower_L1,0.009445776
aApparentPower_L2,0.0078338785
aApparentPower_L3,0.006803997
aActivePower_L2,0.0039512473
aActivePower_L1,0.0026761063
aCosPhi_L2,0.0024707043
aActivePower_L3,0.0013964549
aPowerFactorPF_L1,0.0010779992
rTotalActivePower,3.7275895e-06
rTotalReactivePower,0.0
rTotalApparentPower,0.0
aVoltage_L2_N,0.0
aCurrentL2,0.0
aReactivePower_L3,0.0
aCosPhi_L3,0.0
