Feature,Importance
aCurrentL2_z_score,1985.5721435546875
aActivePower_L3_std,1539.4810791015625
rTotalActivePower_skew,1219.1676025390625
aActivePower_L2_diff_mean,899.12451171875
rTotalReactivePower_diff_std,662.8008422851562
aActivePower_L2_range,592.3333740234375
rTotalActivePower_diff_mean,528.6367797851562
aCurrentL1_diff_std,506.17266845703125
rTotalActivePower_change_point_score,481.51287841796875
aVoltage_L1_N_diff_std,441.10235595703125
rTotalActivePower_min,405.159423828125
aReactivePower_L1_min,395.7703552246094
aReactivePower_L3_skew,369.759765625
aCurrentL1_min,336.8785705566406
aReactivePower_L2_max,331.1109619140625
rTotalReactiveEnergy_change_point_score,325.37158203125
aActivePower_L2_min,319.4990234375
rTotalApparentEnergy_trend_slope,311.88043212890625
aVoltage_L2_N_std,294.382568359375
aActivePower_L2_z_score,289.02764892578125
aCurrentL2_abs_energy,285.5615539550781
rTotalApparentPower_mean,274.5108947753906
aReactivePower_L3_ks_test_statistic,263.4240417480469
aCurrentL2_mean,253.1765899658203
aVoltage_L1_N_range,246.5384979248047
rTotalReactivePower_trend_slope,242.86766052246094
aActivePower_L3_range,233.68301391601562
aCurrentL3_skew,222.17127990722656
aVoltage_L2_N_spike_count,220.68414306640625
aCurrentL2_min,217.43373107910156
aVoltage_L3_N_ks_test_statistic,217.3651580810547
aReactivePower_L3_abs_energy,216.68634033203125
aActivePower_L3_min,191.9108123779297
rTotalReactiveEnergy_diff_std,186.36532592773438
rTotalReactiveEnergy_mean,184.92312622070312
aReactivePower_L3_range,180.81092834472656
aReactivePower_L2_diff_std,180.3366241455078
aReactivePower_L3_mean,180.19557189941406
rTotalApparentEnergy_spike_count,179.06192016601562
aVoltage_L1_N_abs_energy,174.72422790527344
aVoltage_L2_N_z_score,174.3382110595703
rTotalApparentPower_range,166.6761474609375
aCurrentL3_abs_energy,164.47906494140625
rTotalApparentEnergy_abs_energy,162.98104858398438
rTotalApparentPower_change_point_score,160.574951171875
rTotalApparentPower_abs_energy,152.5433807373047
rTotalApparentPower_max,151.97496032714844
aReactivePower_L2_trend_slope,151.44815063476562
aReactivePower_L1_std,150.80421447753906
rTotalReactivePower_max,146.87261962890625
aVoltage_L1_N_z_score,142.6956787109375
aReactivePower_L2_diff_mean,141.79171752929688
rTotalApparentEnergy_z_score,120.3595962524414
aVoltage_L3_N_skew,119.8475570678711
rTotalReactivePower_change_point_score,117.47566223144531
rTotalApparentEnergy_ks_test_statistic,111.3461685180664
rTotalApparentEnergy_max,111.30107116699219
aCurrentL2_diff_std,109.54239654541016
aCurrentL2_max,104.39476013183594
aReactivePower_L3_max,102.17622375488281
aCurrentL1_abs_energy,101.84591674804688
aApparentPower_L1_range,100.39995574951172
aActivePower_L1_change_point_score,98.12108612060547
rTotalApparentPower_min,97.1550521850586
aReactivePower_L3_spike_count,95.63371276855469
aActivePower_L2_max,95.44497680664062
aActivePower_L1_diff_std,93.6243667602539
rTotalReactivePower_range,92.21402740478516
aApparentPower_L1_min,90.14753723144531
aCurrentL2_skew,86.32294464111328
rTotalApparentPower_skew,84.57826232910156
aActivePower_L2_mean,84.47783660888672
aReactivePower_L2_abs_energy,78.85540008544922
rTotalReactiveEnergy_min,78.25355529785156
aApparentPower_L1_change_point_score,74.16068267822266
aCurrentL3_std,74.05033874511719
aVoltage_L3_N_spike_count,73.97087860107422
aApparentPower_L1_std,73.38703918457031
aCurrentL1_change_point_score,73.3240737915039
aVoltage_L2_N_max,71.85047149658203
aCurrentL2_diff_mean,69.52716827392578
aReactivePower_L3_min,68.32493591308594
aApparentPower_L1_abs_energy,67.97624969482422
aReactivePower_L2_mean,67.57262420654297
aReactivePower_L1_change_point_score,66.1357192993164
rTotalReactivePower_std,65.67138671875
aVoltage_L1_N_diff_mean,65.44622039794922
aCurrentL1_max,65.14064025878906
aVoltage_L1_N_skew,65.11698150634766
rTotalReactiveEnergy_range,63.74443435668945
aReactivePower_L1_spike_count,63.116180419921875
aReactivePower_L1_ks_test_statistic,61.15590286254883
aActivePower_L1_max,60.515541076660156
aReactivePower_L1_diff_std,60.2616081237793
aApparentPower_L1_skew,58.05879592895508
aReactivePower_L1_range,56.30342102050781
rTotalReactiveEnergy_trend_slope,55.59065628051758
aVoltage_L2_N_mean,55.429290771484375
aReactivePower_L3_diff_mean,55.29373550415039
rTotalActivePower_std,55.11880874633789
aVoltage_L2_N_skew,54.882774353027344
aVoltage_L2_N_min,53.8159294128418
aReactivePower_L2_spike_count,53.49414825439453
rTotalReactiveEnergy_spike_count,53.2672233581543
rTotalReactiveEnergy_std,52.6985969543457
aActivePower_L1_skew,51.8638916015625
aActivePower_L1_ks_test_statistic,51.449005126953125
aVoltage_L1_N_mean,50.679656982421875
aReactivePower_L3_change_point_score,48.67245864868164
rTotalReactiveEnergy_max,47.404151916503906
rTotalReactiveEnergy_diff_mean,46.333038330078125
aReactivePower_L1_z_score,45.79827117919922
aReactivePower_L2_min,44.999752044677734
rTotalActivePower_trend_slope,42.211692810058594
aActivePower_L3_ks_test_statistic,41.23311233520508
aVoltage_L1_N_ks_test_statistic,40.29743576049805
aCurrentL1_range,39.34529495239258
aVoltage_L2_N_diff_std,38.13425064086914
aReactivePower_L1_max,37.074981689453125
rTotalActivePower_z_score,36.423667907714844
aActivePower_L2_std,35.79669189453125
aVoltage_L2_N_ks_test_statistic,35.786529541015625
aCurrentL3_diff_mean,35.484405517578125
rTotalReactivePower_skew,35.19559097290039
aReactivePower_L3_diff_std,34.102699279785156
aActivePower_L2_trend_slope,33.41929244995117
rTotalReactivePower_diff_mean,33.32855224609375
aActivePower_L3_spike_count,33.08934020996094
rTotalActivePower_range,32.94744873046875
rTotalApparentEnergy_mean,32.737361907958984
aCurrentL3_ks_test_statistic,32.339778900146484
rTotalApparentEnergy_min,32.2896842956543
aVoltage_L2_N_abs_energy,32.19544219970703
aVoltage_L3_N_range,31.921661376953125
rTotalActivePower_max,31.843833923339844
aActivePower_L1_abs_energy,31.387052536010742
aCurrentL1_mean,30.8812255859375
aActivePower_L3_change_point_score,30.08402442932129
aActivePower_L3_trend_slope,29.554443359375
rTotalApparentPower_ks_test_statistic,29.505552291870117
aActivePower_L1_min,29.477497100830078
rTotalApparentEnergy_change_point_score,28.17583465576172
aReactivePower_L1_diff_mean,28.15013885498047
aCurrentL3_trend_slope,27.97875213623047
aVoltage_L3_N_min,27.642072677612305
aCurrentL1_z_score,27.314329147338867
aVoltage_L3_N_change_point_score,27.231361389160156
aCurrentL1_ks_test_statistic,26.865150451660156
rTotalApparentPower_std,26.40802001953125
aActivePower_L3_diff_mean,25.611228942871094
aCurrentL1_trend_slope,25.191465377807617
rTotalApparentEnergy_diff_std,25.029743194580078
aActivePower_L1_spike_count,24.45948028564453
aVoltage_L1_N_std,24.279861450195312
aActivePower_L2_change_point_score,23.783676147460938
aActivePower_L3_z_score,23.482650756835938
aCurrentL2_change_point_score,22.56378746032715
rTotalApparentEnergy_std,22.54491424560547
aActivePower_L3_diff_std,22.418609619140625
rTotalReactiveEnergy_skew,21.824684143066406
aActivePower_L1_std,21.7511043548584
rTotalReactivePower_mean,21.6885986328125
aCurrentL3_min,20.775283813476562
aVoltage_L1_N_change_point_score,20.709077835083008
aActivePower_L3_skew,20.17989158630371
rTotalApparentPower_z_score,20.098949432373047
aActivePower_L1_z_score,19.66741943359375
aReactivePower_L3_trend_slope,19.288671493530273
rTotalApparentEnergy_skew,19.24260902404785
aCurrentL1_std,18.92694091796875
aActivePower_L2_ks_test_statistic,18.838993072509766
aActivePower_L2_skew,17.877029418945312
aCurrentL1_spike_count,17.835433959960938
aReactivePower_L1_trend_slope,17.400793075561523
rTotalReactivePower_min,17.26760482788086
aActivePower_L1_diff_mean,17.00322723388672
aActivePower_L3_abs_energy,16.874755859375
aApparentPower_L1_max,16.701547622680664
aCurrentL3_max,16.55738639831543
aVoltage_L2_N_trend_slope,16.513925552368164
aCurrentL3_diff_std,16.397979736328125
rTotalApparentPower_spike_count,16.27376365661621
aActivePower_L2_diff_std,15.864721298217773
rTotalActivePower_mean,15.70947265625
rTotalActivePower_diff_std,15.539979934692383
rTotalApparentPower_trend_slope,15.519281387329102
aVoltage_L3_N_diff_std,15.196809768676758
aVoltage_L3_N_mean,15.106599807739258
aReactivePower_L1_skew,15.081633567810059
rTotalApparentPower_diff_mean,15.067487716674805
aVoltage_L1_N_spike_count,14.878705024719238
aReactivePower_L2_range,14.452049255371094
aVoltage_L3_N_abs_energy,14.342992782592773
aCurrentL2_std,14.220996856689453
aVoltage_L3_N_z_score,13.46820068359375
aCurrentL2_ks_test_statistic,13.438533782958984
aCurrentL2_range,13.199469566345215
aReactivePower_L2_std,13.065350532531738
rTotalReactivePower_z_score,13.052946090698242
aVoltage_L2_N_diff_mean,13.00963306427002
aApparentPower_L1_mean,12.838252067565918
rTotalReactiveEnergy_z_score,12.528045654296875
aCurrentL3_change_point_score,12.107200622558594
aVoltage_L2_N_range,11.917691230773926
aCurrentL3_spike_count,11.56550121307373
aVoltage_L3_N_max,11.074721336364746
aCurrentL3_z_score,11.032478332519531
aCurrentL3_mean,10.86282730102539
aReactivePower_L1_abs_energy,10.790762901306152
aCurrentL2_spike_count,10.037208557128906
rTotalReactivePower_abs_energy,10.009851455688477
aActivePower_L1_mean,9.299077987670898
aVoltage_L1_N_trend_slope,9.124567031860352
rTotalActivePower_spike_count,8.962057113647461
aVoltage_L3_N_diff_mean,8.763866424560547
aVoltage_L1_N_min,8.649215698242188
rTotalActivePower_ks_test_statistic,8.1419677734375
aVoltage_L1_N_max,7.7047119140625
aReactivePower_L3_z_score,7.6529541015625
aVoltage_L3_N_std,7.5685272216796875
aCurrentL3_range,7.53676700592041
aReactivePower_L3_std,6.899444580078125
aReactivePower_L2_z_score,6.741060256958008
aActivePower_L3_mean,6.15875244140625
aReactivePower_L2_ks_test_statistic,5.409508228302002
aApparentPower_L1_z_score,5.091195106506348
rTotalApparentEnergy_range,4.61616325378418
aReactivePower_L2_skew,4.421333312988281
aActivePower_L1_trend_slope,4.151397705078125
rTotalApparentEnergy_diff_mean,3.912557601928711
rTotalReactiveEnergy_abs_energy,3.7896995544433594
aCurrentL2_trend_slope,3.7496776580810547
rTotalReactivePower_ks_test_statistic,3.7100830078125
aActivePower_L2_abs_energy,3.208515167236328
rTotalApparentPower_diff_std,3.0255393981933594
aActivePower_L1_range,2.9294071197509766
rTotalReactivePower_spike_count,2.8624420166015625
aReactivePower_L1_mean,2.786487579345703
aReactivePower_L2_change_point_score,2.7210731506347656
aCurrentL1_skew,2.6854095458984375
aActivePower_L3_max,1.7330398559570312
aActivePower_L2_spike_count,1.2164278030395508
aApparentPower_L1_spike_count,1.027557373046875
aApparentPower_L1_ks_test_statistic,0.8163108825683594
rTotalActivePower_abs_energy,0.510986328125
aVoltage_L2_N_change_point_score,0.5107917785644531
