Feature,Importance
aActivePower_L1_diff_std,2858.46142578125
airDurchfluss_ks_test_statistic,889.4484252929688
aActivePower_L3_diff_std,330.8651123046875
aCosPhi_L1_max,326.8065185546875
airTotal_max,325.7987365722656
aVoltage_L3_N_mean,309.24859619140625
aCosPhi_L1_abs_energy,294.4225158691406
rTotalReactiveEnergy_max,265.020263671875
rTotalApparentEnergy_max,247.68276977539062
airTotal_mean,234.91278076171875
airTotal_min,211.2975311279297
rTotalApparentEnergy_mean,193.68380737304688
aPowerFactorPF_L2_diff_std,187.79383850097656
aActivePower_L2_diff_std,181.67010498046875
aCurrentL2_diff_std,172.88539123535156
aPowerFactorPF_L2_max,172.50953674316406
airTotal_abs_energy,170.44485473632812
rTotalApparentEnergy_abs_energy,167.38182067871094
aCosPhi_L3_mean,154.729248046875
rTotalApparentEnergy_min,154.69827270507812
aPowerFactorPF_L2_abs_energy,152.72726440429688
rTotalReactiveEnergy_min,141.1962432861328
aVoltage_L2_N_mean,140.1690216064453
aVoltage_L3_N_max,138.2685546875
aApparentPower_L2_abs_energy,136.21844482421875
aCurrentL2_abs_energy,133.92724609375
aVoltage_L1_N_mean,133.28793334960938
aVoltage_L1_N_max,132.18931579589844
aCosPhi_L1_ks_test_statistic,128.9408416748047
aReactivePower_L3_ks_test_statistic,126.16065979003906
aCurrentL1_abs_energy,125.74674224853516
aReactivePower_L1_min,125.44043731689453
aActivePower_L2_max,125.20276641845703
aVoltage_L2_N_diff_std,123.03069305419922
aCurrentL1_mean,121.06890106201172
rTotalReactiveEnergy_mean,118.51360321044922
airDurchfluss_change_point_score,116.9717025756836
aApparentPower_L2_diff_std,114.41899871826172
aVoltage_L1_N_diff_std,114.39859771728516
aApparentPower_L2_min,113.0953598022461
aCurrentL2_min,112.8812484741211
aCurrentL2_change_point_score,112.32050323486328
aApparentPower_L3_min,111.92102813720703
aCosPhi_L1_diff_std,111.1768569946289
aCurrentL2_mean,110.40277099609375
aVoltage_L3_N_diff_std,107.40928649902344
aCurrentL3_min,106.81198120117188
aVoltage_L1_N_abs_energy,106.29322814941406
aActivePower_L3_max,104.83357238769531
aPowerFactorPF_L2_mean,103.73178100585938
airDurchfluss_min,103.68022918701172
airTempeatur_abs_energy,103.66143798828125
airDurchfluss_mean,102.94424438476562
rTotalActivePower_diff_std,102.18624877929688
aApparentPower_L3_mean,101.16384887695312
aApparentPower_L1_abs_energy,100.52196502685547
aReactivePower_L2_min,99.9404067993164
airTempeatur_max,99.86567687988281
aReactivePower_L2_abs_energy,98.92607879638672
aApparentPower_L2_range,98.80779266357422
aReactivePower_L3_max,97.72124481201172
rTotalReactiveEnergy_abs_energy,96.97307586669922
aActivePower_L3_change_point_score,96.90446472167969
airTempeatur_min,96.53023529052734
aCosPhi_L2_max,96.05584716796875
airDurchfluss_abs_energy,95.65137481689453
aCosPhi_L3_ks_test_statistic,94.89021301269531
aVoltage_L2_N_max,94.67735290527344
aPowerFactorPF_L2_min,94.57754516601562
aApparentPower_L1_min,94.44402313232422
aCosPhi_L1_min,94.02791595458984
aCurrentL1_min,94.02449035644531
aCosPhi_L1_mean,93.72457122802734
airTempeatur_mean,93.55036163330078
rTotalActivePower_change_point_score,93.35150146484375
aReactivePower_L3_min,93.26284790039062
aVoltage_L2_N_min,93.14073181152344
aCosPhi_L3_max,92.91704559326172
aApparentPower_L2_change_point_score,92.69161224365234
aPowerFactorPF_L2_ks_test_statistic,92.49754333496094
aCurrentL3_range,92.4697265625
aCosPhi_L3_diff_std,92.36537170410156
rTotalReactivePower_min,91.89100646972656
aCosPhi_L2_abs_energy,91.06673431396484
aApparentPower_L3_abs_energy,90.44923400878906
aApparentPower_L2_mean,90.14886474609375
aVoltage_L3_N_min,89.83975982666016
aApparentPower_L3_range,89.23019409179688
aCurrentL3_change_point_score,88.7776107788086
aVoltage_L2_N_abs_energy,88.63383483886719
aActivePower_L2_std,88.34315490722656
aActivePower_L3_range,87.82005310058594
rTotalApparentPower_abs_energy,87.17691802978516
rTotalApparentPower_min,86.49259948730469
aReactivePower_L2_max,85.74801635742188
aCosPhi_L2_ks_test_statistic,85.60757446289062
aCosPhi_L2_diff_std,85.32856750488281
aActivePower_L2_change_point_score,85.15846252441406
aActivePower_L3_min,84.92388916015625
aApparentPower_L2_max,84.77906036376953
aActivePower_L1_min,84.18974304199219
aReactivePower_L3_mean,84.06172943115234
aVoltage_L3_N_abs_energy,83.95100402832031
airDurchfluss_max,83.94429779052734
aActivePower_L1_abs_energy,83.82528686523438
aVoltage_L1_N_min,83.04896545410156
aApparentPower_L1_change_point_score,82.80509185791016
airTempeatur_range,82.6874008178711
aReactivePower_L1_max,82.29006958007812
aCosPhi_L2_mean,82.08219909667969
aActivePower_L2_abs_energy,82.02995300292969
aCosPhi_L2_min,81.81197357177734
aApparentPower_L3_max,81.76164245605469
aPowerFactorPF_L2_change_point_score,81.70697021484375
airDurchfluss_diff_std,81.57779693603516
rTotalApparentPower_max,81.2723159790039
airTempeatur_diff_std,80.84917449951172
aActivePower_L1_max,80.54584503173828
