number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.07418820574012774,2025-10-18 13:44:22.071585,2025-10-18 13:44:24.291954,0 days 00:00:02.220369,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,3,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.08301512931899685,2025-10-18 13:44:24.292358,2025-10-18 13:44:43.969709,0 days 00:00:19.677351,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,4,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.07392519132548234,2025-10-18 13:44:43.970127,2025-10-18 13:44:54.411359,0 days 00:00:10.441232,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,3,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.09537728893609332,2025-10-18 13:44:54.411739,2025-10-18 13:45:02.140269,0 days 00:00:07.728530,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,2,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.0922848426393204,2025-10-18 13:45:02.140908,2025-10-18 13:45:04.190279,0 days 00:00:02.049371,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,3,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.10704324515116745,2025-10-18 13:45:04.190668,2025-10-18 13:45:07.744935,0 days 00:00:03.554267,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,3,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.08921680576121614,2025-10-18 13:45:07.745335,2025-10-18 13:45:11.512359,0 days 00:00:03.767024,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,2,9,400,5.953375254290354,0.5579345297625649,PRUNED
7,0.08763857623015606,2025-10-18 13:45:11.512710,2025-10-18 13:45:13.034073,0 days 00:00:01.521363,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,2,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.07980398707772551,2025-10-18 13:45:13.034477,2025-10-18 13:45:24.935638,0 days 00:00:11.901161,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,3,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.09321369776521413,2025-10-18 13:45:24.936061,2025-10-18 13:45:28.899547,0 days 00:00:03.963486,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,2,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.07863186203445093,2025-10-18 13:45:28.899967,2025-10-18 13:45:29.182428,0 days 00:00:00.282461,0.6011296460986921,0.9961813327301685,0.8391268998756262,0.6673975881116181,0.9695371107878658,4.7988537297270994,0.1758909183900227,4,7,250,5.1545690697771205,0.8060821870348815,COMPLETE
11,0.09948704380539583,2025-10-18 13:45:29.182819,2025-10-18 13:45:31.078093,0 days 00:00:01.895274,1.389447692488778,0.8954178991106394,0.8045369317168723,0.6383586962140074,0.5307950442282506,0.022783097812625996,0.0580942653807854,2,1,250,7.804515439359391,0.8745991796909733,COMPLETE
12,0.06115454681012271,2025-10-18 13:45:31.078471,2025-10-18 13:45:42.252667,0 days 00:00:11.174196,1.4765491298594415,0.9170353732449913,0.8018847713182504,0.6460291735343481,0.48128849296602255,1.1715760031429696,0.0574852712166597,4,3,300,8.359605888570275,0.8461121309853222,COMPLETE
13,0.09648710090703679,2025-10-18 13:45:42.253048,2025-10-18 13:45:47.536502,0 days 00:00:05.283454,1.3024558620845985,0.6981848430183346,0.7795239036233653,0.5713964531402215,0.5266067271924637,0.9438412513056283,0.054046000173887596,2,5,250,7.645811377195011,0.6999903496918575,COMPLETE
14,0.08080745450099246,2025-10-18 13:45:47.536904,2025-10-18 13:45:53.222599,0 days 00:00:05.685695,1.954532931190156,0.9024088267521538,0.8939399049553302,0.7298356408716007,0.5512390906566418,0.02370059826544635,0.05375046924342836,3,3,300,7.574355454772151,0.8541665628348651,COMPLETE
15,0.0879207568589516,2025-10-18 13:45:53.223244,2025-10-18 13:45:53.499367,0 days 00:00:00.276123,0.7374920048957376,0.9284414745216767,0.8722364545519891,0.5920107285756488,0.8828074002836497,4.257586930950284,0.03131310725425936,3,1,200,10.313954297287431,0.7773240032950156,COMPLETE
16,0.10302099654953953,2025-10-18 13:45:53.499751,2025-10-18 13:45:57.092150,0 days 00:00:03.592399,1.312087668843073,0.7047093983864618,0.7738119702479116,0.7104838045875536,0.3769959707663782,1.0106950183855576,0.06818112240848205,2,6,100,6.4887612926334555,0.8986628765990712,COMPLETE
17,0.08473186783561805,2025-10-18 13:45:57.092526,2025-10-18 13:46:01.764743,0 days 00:00:04.672217,0.6343526331470043,0.7028850563703366,0.7586762826070333,0.7570432547947641,0.3304549758978647,1.2194602472110434,0.07448426345694463,4,7,100,6.259445221242518,0.9965087342165317,COMPLETE
18,0.09134896614628066,2025-10-18 13:46:01.765412,2025-10-18 13:46:02.166780,0 days 00:00:00.401368,1.1285871125946854,0.5124648912100229,0.5871589413369707,0.70800944660711,0.35519860156950506,2.4474395438686747,0.04742661590480246,2,6,150,9.006923293774548,0.704773203802088,COMPLETE
19,0.10689471889078886,2025-10-18 13:46:02.167423,2025-10-18 13:46:02.859643,0 days 00:00:00.692220,0.8292163795023739,0.659211887558168,0.7151029289667776,0.510222329722785,0.41644605828288395,1.8830295328598554,0.0697983020340864,3,6,100,11.603422835323702,0.9018245337512918,COMPLETE
20,0.07800972294518446,2025-10-18 13:46:02.860029,2025-10-18 13:46:03.093392,0 days 00:00:00.233363,0.7712168571872574,0.6404932309077014,0.7173977827786409,0.5065860002764325,0.8165002658605265,1.8284469535603824,0.16312262536507335,3,4,200,14.634014349891308,0.5097575172582265,COMPLETE
21,0.0967501278601135,2025-10-18 13:46:03.093794,2025-10-18 13:46:07.059017,0 days 00:00:03.965223,0.40678354879319417,0.7278419998039881,0.7254426108920369,0.5010865872211608,0.43945312703955614,0.7729012728616148,0.07069872679362126,3,6,100,11.640408663808545,0.8963208959690158,COMPLETE
22,0.08428853606059478,2025-10-18 13:46:07.059463,2025-10-18 13:46:07.362278,0 days 00:00:00.302815,1.18638157993108,0.6630852255676122,0.8417340034725125,0.6069633781813666,0.6365837527412567,1.4583321254637305,0.09463786403158779,3,7,150,7.15928594218109,0.9036239501261183,COMPLETE
23,0.082314561296566,2025-10-18 13:46:07.362688,2025-10-18 13:46:13.390919,0 days 00:00:06.028231,0.9124240321063999,0.7643080707754749,0.930119317749097,0.5694578535350285,0.42728456573432516,0.6100579566017086,0.06455263044830176,4,5,100,9.31417434180698,0.8112271899455037,COMPLETE
24,0.08598607812465414,2025-10-18 13:46:13.391323,2025-10-18 13:46:16.026948,0 days 00:00:02.635625,1.5839419050327574,0.6787417978728154,0.6147213965035336,0.6989214518860477,0.2503730418712307,2.1534714230564123,0.08454070855352531,2,8,200,11.19174072260345,0.9953048501361378,COMPLETE
25,0.06883525245835229,2025-10-18 13:46:16.027331,2025-10-18 13:46:16.279006,0 days 00:00:00.251675,0.7708842750180125,0.7326234305566792,0.8268447503238016,0.8241503375941859,0.5942526837399041,1.1017675823127728,0.06329528031375085,3,4,150,14.175392522809247,0.8125697965201089,COMPLETE
26,0.07135727178544107,2025-10-18 13:46:16.279417,2025-10-18 13:46:21.722981,0 days 00:00:05.443564,0.4453483716386817,0.5461173845544083,0.7525400214699387,0.5442605838745486,0.11891956062116632,2.6569168892422805,0.04801407517224492,4,6,100,6.423293889756613,0.9199308096540799,COMPLETE
27,0.104537639973495,2025-10-18 13:46:21.723397,2025-10-18 13:46:23.003049,0 days 00:00:01.279652,1.1063849438324511,0.7922287095621834,0.9958299018002108,0.9870220906435185,0.39683064922469424,3.4874621730986095,0.11093486057387793,3,8,150,5.021607960386215,0.880844533942818,COMPLETE
28,0.09415399486734233,2025-10-18 13:46:23.003440,2025-10-18 13:46:24.212267,0 days 00:00:01.208827,0.8542601941626353,0.9598482300597748,0.9903863700797145,0.8544805025394767,0.828696375744183,3.9664014370906937,0.11403153335720442,3,8,300,5.200648326667164,0.8375323736716991,COMPLETE
29,0.06205315318589393,2025-10-18 13:46:24.212694,2025-10-18 13:46:25.028163,0 days 00:00:00.815469,1.1221617041436067,0.8750439344642857,0.9446333807749189,0.9899226356996808,0.42524629806092407,3.767735907977774,0.14427415519805814,3,10,150,19.195477771560412,0.7250856031449304,COMPLETE
30,0.10342201272820699,2025-10-18 13:46:25.028555,2025-10-18 13:46:27.480871,0 days 00:00:02.452316,0.6279595362252823,0.7928963337438807,0.9150391282773287,0.7768163699098956,0.613436043183162,3.4249978253934006,0.08720944859249903,3,9,200,8.712045852022577,0.9624454521779204,COMPLETE
