Feature,Importance
rTotalApparentEnergy,1224.7803955078125
airTotal,981.746337890625
rTotalReactiveEnergy,911.0985717773438
airTempeatur,667.9115600585938
airDurchfluss,561.7335205078125
aReactivePower_L2,540.9741821289062
aCurrentL3,532.062744140625
aCosPhi_L1,529.7011108398438
aApparentPower_L3,505.0021057128906
aCurrentL1,373.4145202636719
aCosPhi_L3,357.0167236328125
aReactivePower_L1,353.1099853515625
aVoltage_L1_N,340.9156494140625
aPowerFactorPF_L2,335.8478088378906
aVoltage_L3_N,318.7541198730469
aApparentPower_L2,295.3076477050781
aApparentPower_L1,276.4232177734375
aActivePower_L3,271.6092834472656
aActivePower_L2,257.9646911621094
aCosPhi_L2,195.71656799316406
aPowerFactorPF_L1,188.56976318359375
aActivePower_L1,182.28846740722656
aVoltage_L2_N,155.26028442382812
aReactivePower_L3,152.17135620117188
rTotalActivePower,86.90288543701172
