Feature,Importance
rTotalReactiveEnergy,8448.1904296875
rTotalApparentEnergy,7904.6142578125
airDurchfluss,4391.1552734375
airTotal,4163.955078125
aActivePower_L2,3301.03857421875
airTempeatur,3291.934814453125
aActivePower_L3,3285.4736328125
rTotalReactivePower,2923.27685546875
aCosPhi_L2,2829.632080078125
aVoltage_L1_N,2778.999755859375
aActivePower_L1,2472.275634765625
aVoltage_L3_N,2305.06884765625
aCosPhi_L1,2278.83544921875
aCosPhi_L3,2186.37158203125
aApparentPower_L1,2137.47412109375
celHum,2096.857421875
aReactivePower_L1,2056.89990234375
aPowerFactorPF_L1,1957.121337890625
aPowerFactorPF_L2,1942.4371337890625
aCurrentL1,1856.4798583984375
aReactivePower_L3,1845.349365234375
aApparentPower_L3,1704.892333984375
aApparentPower_L2,1449.4278564453125
