number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.01561429845440885,2025-11-18 16:39:19.581755,2025-11-18 16:39:20.256197,0 days 00:00:00.674442,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,2,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.014031645121179718,2025-11-18 16:39:20.256593,2025-11-18 16:39:25.101152,0 days 00:00:04.844559,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,3,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.0149325888072477,2025-11-18 16:39:25.101563,2025-11-18 16:39:28.498126,0 days 00:00:03.396563,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,2,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.018729055193641143,2025-11-18 16:39:28.498489,2025-11-18 16:39:29.192923,0 days 00:00:00.694434,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,1,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.03293627643482218,2025-11-18 16:39:29.193442,2025-11-18 16:39:30.580784,0 days 00:00:01.387342,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,2,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.013941450748328851,2025-11-18 16:39:30.581291,2025-11-18 16:39:37.546611,0 days 00:00:06.965320,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,2,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.02281368427021522,2025-11-18 16:39:37.546936,2025-11-18 16:39:38.067833,0 days 00:00:00.520897,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,1,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.022726060050647423,2025-11-18 16:39:38.068352,2025-11-18 16:39:38.769329,0 days 00:00:00.700977,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,1,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.01919336217862735,2025-11-18 16:39:38.769849,2025-11-18 16:39:40.704716,0 days 00:00:01.934867,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,2,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.026206087766119077,2025-11-18 16:39:40.705238,2025-11-18 16:39:41.326587,0 days 00:00:00.621349,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,1,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.027334576494429948,2025-11-18 16:39:41.327115,2025-11-18 16:39:42.014222,0 days 00:00:00.687107,1.8153295905650353,0.5061555847824687,0.5134813036106443,0.6673975881116181,0.9695371107878658,4.701219773718164,0.18001237279138718,3,7,300,9.22647334791915,0.8052793858315317,COMPLETE
11,0.02588211592611581,2025-11-18 16:39:42.014768,2025-11-18 16:39:42.690678,0 days 00:00:00.675910,1.9973020248061955,0.503465049116142,0.5098648508620769,0.6617508546178743,0.9965271704463243,4.746625304037339,0.18719474768544817,3,7,300,9.117274599237213,0.8094916750389657,COMPLETE
