feature,importance
aCosPhi_L3,1459.2552490234375
aCosPhi_L1,1196.39599609375
aReactivePower_L1,1095.1396484375
rTotalApparentEnergy,1068.0382080078125
aApparentPower_L2,930.8673095703125
rTotalReactiveEnergy,851.33251953125
aCurrentL3,835.1754760742188
aVoltage_L1_N,782.4327392578125
aActivePower_L3,743.4016723632812
aReactivePower_L2,725.880615234375
aCurrentL1,660.7764282226562
airTotal,626.3573608398438
aReactivePower_L3,583.29248046875
aApparentPower_L1,527.1602783203125
airDurchfluss,517.5843505859375
aCosPhi_L2,471.2542724609375
aActivePower_L1,461.1769104003906
aApparentPower_L3,438.9191589355469
aActivePower_L2,424.4483642578125
rTotalReactivePower,409.3572998046875
aVoltage_L2_N,388.1190490722656
rTotalActivePower,382.30755615234375
aCurrentL2,371.32373046875
aPowerFactorPF_L2,367.6773376464844
airTempeatur,351.00653076171875
aVoltage_L3_N,278.4638366699219
rTotalApparentPower,213.69680786132812
