number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.43506172839506174,2025-11-19 15:18:29.221771,2025-11-19 15:18:29.934408,0 days 00:00:00.712637,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,4,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.4684572142410993,2025-11-19 15:18:29.934793,2025-11-19 15:18:31.838478,0 days 00:00:01.903685,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,5,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.4429229428606996,2025-11-19 15:18:31.838900,2025-11-19 15:18:32.707810,0 days 00:00:00.868910,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,4,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.4246430130323627,2025-11-19 15:18:32.708194,2025-11-19 15:18:37.228938,0 days 00:00:04.520744,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,3,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.48018779342723006,2025-11-19 15:18:37.229353,2025-11-19 15:18:39.066346,0 days 00:00:01.836993,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,4,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.44401978417266186,2025-11-19 15:18:39.066703,2025-11-19 15:18:42.024081,0 days 00:00:02.957378,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,4,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.4709318244044903,2025-11-19 15:18:42.024480,2025-11-19 15:18:44.259004,0 days 00:00:02.234524,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,3,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.44269209609389326,2025-11-19 15:18:44.259404,2025-11-19 15:18:46.234419,0 days 00:00:01.975015,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,3,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.45005688282138795,2025-11-19 15:18:46.234807,2025-11-19 15:18:47.889557,0 days 00:00:01.654750,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,4,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.4897832175085572,2025-11-19 15:18:47.889964,2025-11-19 15:18:53.784429,0 days 00:00:05.894465,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,3,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.38702550712994577,2025-11-19 15:18:53.784801,2025-11-19 15:18:54.989289,0 days 00:00:01.204488,1.8153295905650353,0.5061555847824687,0.8193187795638613,0.6974730291999494,0.42997719850486626,4.734873664922686,0.1758909183900227,5,7,300,14.261817094895317,0.8111177370082543,COMPLETE
11,0.4477332652887641,2025-11-19 15:18:54.989661,2025-11-19 15:18:56.862713,0 days 00:00:01.873052,1.9957366755453811,0.6728468726241332,0.5526176610024863,0.6670532869320945,0.9940059409962231,3.325789129961178,0.17525565225007872,3,1,500,9.117274599237213,0.9827889557186603,COMPLETE
12,0.4454930429522081,2025-11-19 15:18:56.863121,2025-11-19 15:18:59.481358,0 days 00:00:02.618237,1.5702023671182272,0.6947738329856765,0.9976152376300969,0.8379644290734486,0.4487038180534516,3.9996127515085593,0.031128035679707896,5,2,500,11.367210510592756,0.8153039775471818,COMPLETE
13,0.4961530006594856,2025-11-19 15:18:59.481731,2025-11-19 15:19:04.136186,0 days 00:00:04.654455,1.5374975930144215,0.5129357200912213,0.7897830247330323,0.7392849504859396,0.5107179245888226,2.9541278903345627,0.13052723921997147,3,6,400,5.10663062633076,0.9949258105882205,COMPLETE
14,0.476056338028169,2025-11-19 15:19:04.136593,2025-11-19 15:19:08.952089,0 days 00:00:04.815496,1.452010114379828,0.5013360581425447,0.7812564285126706,0.7423578866620045,0.32047621035414464,3.9478148896336664,0.053364003552363266,3,6,400,5.322959487336893,0.6836161277192858,COMPLETE
15,0.4701210653753027,2025-11-19 15:19:08.952515,2025-11-19 15:19:12.802977,0 days 00:00:03.850462,0.6386329324864717,0.5744575524564823,0.9075581503656694,0.9930081119705219,0.5523633915631967,2.5150335484031103,0.04683579279360198,3,6,300,15.015071928858976,0.8831398534850279,COMPLETE
