Feature,Importance
aPowerFactorPF_L2_welch_peak_power,932.0076293945312
rTotalApparentEnergy_spectral_peak,544.4239501953125
aPowerFactorPF_L2_welch_total_power,491.730712890625
aCosPhi_L1_spectral_flatness,460.9671936035156
airTotal_change_point_score,445.2384033203125
aCosPhi_L2_welch_peak_power,413.5519714355469
aPowerFactorPF_L2_freq_energy_ratio_low_high,400.90301513671875
aCosPhi_L1_mean,398.4604797363281
aPowerFactorPF_L2_dominant_frequency,395.2850341796875
aCosPhi_L1_freq_energy_ratio_low_high,394.2189025878906
aCosPhi_L3_change_point_score,374.43731689453125
aPowerFactorPF_L2_change_point_score,361.56988525390625
rTotalApparentEnergy_mean,342.2633361816406
airTotal_std,307.13726806640625
rTotalReactiveEnergy_mean,304.8231201171875
airTotal_mean,298.8555603027344
aCosPhi_L3_mean,295.8478088378906
aCosPhi_L3_std,265.3085021972656
rTotalApparentEnergy_trend_slope,263.79144287109375
aCosPhi_L2_freq_energy_ratio_low_high,247.1897735595703
aPowerFactorPF_L2_mean,246.09036254882812
aVoltage_L2_N_mean,231.60964965820312
aCosPhi_L1_ks_test_statistic,230.43524169921875
aVoltage_L3_N_mean,219.3563995361328
airTotal_welch_peak_power,215.1484375
aVoltage_L1_N_welch_total_power,203.89520263671875
aVoltage_L2_N_welch_total_power,198.89801025390625
aVoltage_L2_N_freq_energy_ratio_low_high,191.3562469482422
aCosPhi_L2_dominant_frequency,187.8402557373047
airTotal_trend_slope,183.62161254882812
rTotalReactiveEnergy_freq_energy_ratio_low_high,183.26837158203125
aCosPhi_L2_ks_test_statistic,182.12107849121094
aCosPhi_L1_change_point_score,181.1833953857422
rTotalReactiveEnergy_welch_total_power,176.1005859375
aCosPhi_L1_welch_peak_power,175.92031860351562
aVoltage_L3_N_freq_energy_ratio_low_high,164.5167999267578
aCosPhi_L2_mean,162.27239990234375
aCosPhi_L3_ks_test_statistic,155.41270446777344
aCosPhi_L3_spectral_flatness,154.70574951171875
aPowerFactorPF_L2_spectral_flatness,153.24102783203125
aCosPhi_L3_welch_total_power,147.46377563476562
aPowerFactorPF_L2_skew,143.1783447265625
aVoltage_L2_N_change_point_score,140.22052001953125
rTotalReactiveEnergy_std,135.81436157226562
rTotalReactiveEnergy_spectral_peak,131.31265258789062
rTotalReactiveEnergy_dominant_frequency,128.54510498046875
airTotal_spectral_peak,128.3439178466797
aCosPhi_L3_freq_energy_ratio_low_high,127.92892456054688
aVoltage_L2_N_spectral_peak,125.1435546875
aCosPhi_L2_skew,121.8031997680664
aVoltage_L1_N_freq_energy_ratio_low_high,119.49774932861328
aPowerFactorPF_L2_spectral_peak,115.344970703125
aCosPhi_L2_spectral_flatness,109.79348754882812
aPowerFactorPF_L2_ks_test_statistic,108.58893585205078
rTotalReactiveEnergy_spectral_flatness,106.83705139160156
aCosPhi_L1_skew,105.64045715332031
aVoltage_L1_N_mean,98.75630187988281
aPowerFactorPF_L2_trend_slope,96.63548278808594
airTotal_dominant_frequency,94.87554931640625
aVoltage_L2_N_spectral_flatness,92.74442291259766
rTotalReactiveEnergy_welch_peak_power,91.44938659667969
airTotal_spectral_flatness,91.01016998291016
aCosPhi_L3_welch_peak_power,86.39675903320312
aVoltage_L1_N_change_point_score,85.42283630371094
rTotalApparentEnergy_dominant_frequency,84.2645034790039
aVoltage_L3_N_spectral_flatness,83.38076782226562
airTotal_welch_total_power,79.5423583984375
aCosPhi_L1_dominant_frequency,75.69010925292969
aCosPhi_L2_welch_total_power,70.45472717285156
aVoltage_L3_N_change_point_score,69.5192642211914
aVoltage_L3_N_std,69.3309097290039
rTotalApparentEnergy_welch_peak_power,69.03143310546875
aCosPhi_L2_change_point_score,67.66244506835938
aPowerFactorPF_L2_std,66.11363220214844
aCosPhi_L3_skew,59.201171875
aCosPhi_L1_trend_slope,57.68974304199219
airTotal_freq_energy_ratio_low_high,54.59365463256836
aVoltage_L3_N_welch_peak_power,50.93931198120117
aCosPhi_L2_std,47.061397552490234
aVoltage_L3_N_welch_total_power,45.960235595703125
airTotal_skew,44.09455871582031
aVoltage_L1_N_spectral_flatness,43.046417236328125
rTotalApparentEnergy_spectral_flatness,35.74163055419922
aVoltage_L1_N_spectral_peak,32.57160186767578
aVoltage_L3_N_skew,32.334625244140625
rTotalApparentEnergy_skew,25.40045166015625
aVoltage_L2_N_trend_slope,18.150054931640625
