Feature,Importance
airDurchfluss_welch_total_power,2397.593505859375
airDurchfluss_std,1875.8243408203125
airDurchfluss_change_point_score,1799.61376953125
rTotalReactiveEnergy_mean,1700.385498046875
airDurchfluss_freq_energy_ratio_low_high,1694.0672607421875
airDurchfluss_spectral_peak,1663.597412109375
rTotalApparentEnergy_mean,1244.04931640625
airTotal_mean,1132.2642822265625
aReactivePower_L1_ks_test_statistic,899.4194946289062
rTotalReactiveEnergy_change_point_score,869.4993286132812
aApparentPower_L1_mean,503.14019775390625
aVoltage_L1_N_welch_total_power,466.8612060546875
airDurchfluss_dominant_frequency,422.49853515625
aReactivePower_L1_mean,392.1080627441406
aVoltage_L2_N_welch_total_power,386.76715087890625
airDurchfluss_skew,369.22747802734375
aReactivePower_L1_welch_total_power,364.5251770019531
aCurrentL1_ks_test_statistic,364.0205993652344
aReactivePower_L1_change_point_score,348.45654296875
rTotalReactiveEnergy_dominant_frequency,306.8274230957031
airDurchfluss_mean,294.7178649902344
aVoltage_L3_N_mean,290.919189453125
aReactivePower_L1_freq_energy_ratio_low_high,279.0423889160156
airTotal_welch_peak_power,252.78414916992188
aApparentPower_L1_freq_energy_ratio_low_high,243.4198760986328
aCurrentL1_mean,233.013916015625
