Feature,Importance
aReactivePower_L1_ks_test_statistic,2050.908935546875
aReactivePower_L2_std,1466.5032958984375
airDurchfluss_change_point_score,1251.40380859375
airTempeatur_change_point_score,858.3980712890625
aReactivePower_L2_change_point_score,852.9539794921875
airDurchfluss_std,819.0127563476562
airTotal_mean,708.676513671875
rTotalReactiveEnergy_mean,601.7766723632812
airDurchfluss_spectral_peak,522.1526489257812
rTotalApparentEnergy_mean,515.5348510742188
airTempeatur_spectral_peak,512.8603515625
airDurchfluss_welch_total_power,457.19073486328125
airTempeatur_std,433.86248779296875
aReactivePower_L1_spectral_flatness,409.704833984375
airTempeatur_mean,385.8844299316406
aReactivePower_L1_freq_energy_ratio_low_high,380.9018859863281
airDurchfluss_ks_test_statistic,350.1190185546875
airDurchfluss_welch_peak_power,326.62786865234375
airDurchfluss_mean,278.2837219238281
airTotal_std,267.5266418457031
aVoltage_L3_N_mean,260.7821960449219
aReactivePower_L1_std,258.68524169921875
airDurchfluss_freq_energy_ratio_low_high,245.79920959472656
aReactivePower_L1_welch_total_power,242.89820861816406
aVoltage_L1_N_change_point_score,241.7298126220703
airTotal_spectral_peak,217.7364959716797
aReactivePower_L2_mean,200.4241180419922
aVoltage_L2_N_freq_energy_ratio_low_high,193.35409545898438
aVoltage_L3_N_welch_total_power,191.35183715820312
rTotalApparentEnergy_trend_slope,190.57492065429688
aVoltage_L1_N_mean,190.30857849121094
aVoltage_L2_N_std,188.39633178710938
aReactivePower_L1_skew,186.93533325195312
airTempeatur_welch_peak_power,178.28582763671875
airTotal_dominant_frequency,171.46798706054688
aReactivePower_L1_mean,165.83261108398438
aVoltage_L1_N_welch_total_power,162.65260314941406
rTotalReactiveEnergy_spectral_peak,161.25799560546875
aReactivePower_L2_welch_total_power,159.8057403564453
aReactivePower_L1_change_point_score,159.06320190429688
aVoltage_L1_N_freq_energy_ratio_low_high,152.24697875976562
aReactivePower_L1_welch_peak_power,142.79298400878906
aVoltage_L3_N_spectral_flatness,138.67579650878906
aVoltage_L2_N_spectral_flatness,133.51724243164062
airTempeatur_welch_total_power,133.1529541015625
rTotalReactiveEnergy_freq_energy_ratio_low_high,132.09385681152344
rTotalApparentEnergy_dominant_frequency,127.39202880859375
airTempeatur_dominant_frequency,125.51309967041016
airDurchfluss_skew,124.90196990966797
aVoltage_L2_N_mean,124.04232025146484
aVoltage_L3_N_welch_peak_power,123.2695083618164
aVoltage_L1_N_trend_slope,122.42640686035156
aReactivePower_L1_dominant_frequency,120.0804443359375
aVoltage_L3_N_change_point_score,110.84163665771484
airTempeatur_skew,108.27366638183594
aVoltage_L2_N_change_point_score,104.35873413085938
aReactivePower_L2_ks_test_statistic,80.5886459350586
rTotalApparentEnergy_std,54.139404296875
aReactivePower_L2_spectral_peak,51.09320068359375
rTotalReactiveEnergy_dominant_frequency,39.2244873046875
aVoltage_L3_N_freq_energy_ratio_low_high,32.55975341796875
