number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.16996891805333605,2025-11-18 14:43:49.216394,2025-11-18 14:43:51.199008,0 days 00:00:01.982614,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,3,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.16182453115859222,2025-11-18 14:43:51.199740,2025-11-18 14:43:52.575535,0 days 00:00:01.375795,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,5,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.14474504778018765,2025-11-18 14:43:52.576187,2025-11-18 14:44:05.972793,0 days 00:00:13.396606,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,3,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.1850402290049962,2025-11-18 14:44:05.973419,2025-11-18 14:44:11.314041,0 days 00:00:05.340622,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,3,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.13174897258394108,2025-11-18 14:44:11.314690,2025-11-18 14:44:12.348401,0 days 00:00:01.033711,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,4,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.16388765328631452,2025-11-18 14:44:12.349032,2025-11-18 14:44:15.676433,0 days 00:00:03.327401,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,3,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.21179037743010942,2025-11-18 14:44:15.677046,2025-11-18 14:44:23.078333,0 days 00:00:07.401287,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,2,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.15248854437748866,2025-11-18 14:44:23.078961,2025-11-18 14:44:24.252055,0 days 00:00:01.173094,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,3,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.1442619836996634,2025-11-18 14:44:24.252735,2025-11-18 14:44:25.242778,0 days 00:00:00.990043,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,4,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.18689913730685526,2025-11-18 14:44:25.243590,2025-11-18 14:44:26.761657,0 days 00:00:01.518067,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,2,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.19263041135273534,2025-11-18 14:44:26.762289,2025-11-18 14:44:28.949469,0 days 00:00:02.187180,0.5681117594417644,0.7098950587595789,0.7952373447968649,0.6988661930957123,0.4973589741056752,4.7988537297270994,0.17735128917346593,2,7,350,5.130546929749047,0.5055571924113557,COMPLETE
11,0.197750932115341,2025-11-18 14:44:28.950261,2025-11-18 14:44:38.455212,0 days 00:00:09.504951,0.4357071676726746,0.715005988689666,0.8045369317168723,0.687223015707801,0.4818963296633296,4.6912075833905975,0.18687551907805916,2,7,350,5.680329458156048,0.5017848652423634,COMPLETE
12,0.18854204511162317,2025-11-18 14:44:38.455857,2025-11-18 14:44:40.470801,0 days 00:00:02.014944,0.537341242068473,0.703170553041998,0.7736193438334389,0.682761310246165,0.48368818183336076,4.996812193207756,0.19849427319676602,2,10,400,5.313753953822581,0.5011983093074792,COMPLETE
13,0.15478756480972355,2025-11-18 14:44:40.471306,2025-11-18 14:44:41.512135,0 days 00:00:01.040829,0.04549495136651456,0.8997896566618888,0.603186631203721,0.7523537667222104,0.5801786180519766,4.00652105215355,0.14460636256265647,2,8,300,7.631625485736153,0.6471208002214496,PRUNED
14,0.19074037919747436,2025-11-18 14:44:41.512777,2025-11-18 14:44:43.983987,0 days 00:00:02.471210,0.5765863008640294,0.5095565331686542,0.8302996229142291,0.987003531671292,0.3528579293951639,1.5993628679844374,0.1285901560752244,2,7,300,7.308356831584264,0.5874005265134898,PRUNED
15,0.11808441912917167,2025-11-18 14:44:43.984577,2025-11-18 14:44:44.469034,0 days 00:00:00.484457,0.28858202550781253,0.7533881284358335,0.6959381930865651,0.6350316278211698,0.9002148367830047,4.020901531545427,0.15513106873518578,5,9,400,9.29700503764721,0.7537458820696781,COMPLETE
16,0.18462806765324957,2025-11-18 14:44:44.469906,2025-11-18 14:44:46.995328,0 days 00:00:02.525422,0.7543764586486189,0.6734708533456034,0.5926196686782426,0.8598582546569904,0.5894841011017241,2.2442037234802488,0.11018448344781497,2,6,400,6.39385450197961,0.5626901862861352,PRUNED
