number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.15003283565080777,2025-10-18 15:05:01.496616,2025-10-18 15:05:13.460382,0 days 00:00:11.963766,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,3,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.1578483325938953,2025-10-18 15:05:13.460788,2025-10-18 15:05:44.525502,0 days 00:00:31.064714,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,5,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.15069425630098007,2025-10-18 15:05:44.525863,2025-10-18 15:06:03.207862,0 days 00:00:18.681999,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,3,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.15789781158337785,2025-10-18 15:06:03.208227,2025-10-18 15:06:20.009439,0 days 00:00:16.801212,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,3,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.16173076629884792,2025-10-18 15:06:20.009826,2025-10-18 15:06:29.300595,0 days 00:00:09.290769,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,4,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.15314918382415332,2025-10-18 15:06:29.300965,2025-10-18 15:06:50.282086,0 days 00:00:20.981121,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,3,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.1420329076062373,2025-10-18 15:06:50.282700,2025-10-18 15:07:09.260400,0 days 00:00:18.977700,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,2,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.14212456223196898,2025-10-18 15:07:09.260777,2025-10-18 15:07:16.655753,0 days 00:00:07.394976,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,3,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.1417756370844597,2025-10-18 15:07:16.656112,2025-10-18 15:07:27.079659,0 days 00:00:10.423547,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,4,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.14664155288439715,2025-10-18 15:07:27.080060,2025-10-18 15:07:41.549647,0 days 00:00:14.469587,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,2,1,500,13.09013362873476,0.9357302950938589,COMPLETE
