number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.166144298895462,2025-11-12 06:05:51.257022,2025-11-12 06:05:52.860993,0 days 00:00:01.603971,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,2,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.07781942940689,2025-11-12 06:05:52.861400,2025-11-12 06:05:53.091550,0 days 00:00:00.230150,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,3,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.17485382774893407,2025-11-12 06:05:53.092184,2025-11-12 06:05:53.796624,0 days 00:00:00.704440,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,2,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.1749877028977918,2025-11-12 06:05:53.797229,2025-11-12 06:05:55.279284,0 days 00:00:01.482055,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,1,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.15147349474123975,2025-11-12 06:05:55.279715,2025-11-12 06:05:58.589660,0 days 00:00:03.309945,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,2,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.15082534594863284,2025-11-12 06:05:58.590271,2025-11-12 06:05:58.941034,0 days 00:00:00.350763,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,2,3,200,7.980735223012586,0.9010984903770198,PRUNED
6,0.16998263752342363,2025-11-12 06:05:58.941606,2025-11-12 06:05:59.523526,0 days 00:00:00.581920,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,1,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.17075757755936266,2025-11-12 06:05:59.523968,2025-11-12 06:06:00.939696,0 days 00:00:01.415728,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,1,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.1614389363171687,2025-11-12 06:06:00.940147,2025-11-12 06:06:02.581853,0 days 00:00:01.641706,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,2,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.1640176237404424,2025-11-12 06:06:02.582310,2025-11-12 06:06:03.606852,0 days 00:00:01.024542,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,1,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.09338541551652618,2025-11-12 06:06:03.607474,2025-11-12 06:06:03.844302,0 days 00:00:00.236828,0.6011296460986921,0.6898021217101117,0.7952373447968649,0.6559228280988413,0.48703709457256833,4.7988537297270994,0.1758909183900227,3,7,250,14.261817094895317,0.8067811097520365,COMPLETE
11,0.1711822348609855,2025-11-12 06:06:03.844912,2025-11-12 06:06:04.898836,0 days 00:00:01.053924,0.5799777598439306,0.9432780395542251,0.8045369317168723,0.6450284660008824,0.47271400665794866,3.9663233826874653,0.06538918786436512,1,8,350,17.44887478320173,0.6682032834000011,COMPLETE
12,0.09063196186092334,2025-11-12 06:06:04.899445,2025-11-12 06:06:06.800448,0 days 00:00:01.901003,0.005857308813523046,0.9028238549074348,0.5874017716350739,0.6398946357624273,0.33090752060989626,3.6545565115170797,0.0723619772924936,3,6,300,15.82392929861797,0.523173661989716,COMPLETE
13,0.16666732312459617,2025-11-12 06:06:06.801061,2025-11-12 06:06:07.990753,0 days 00:00:01.189692,0.6013102745070373,0.7127947321819145,0.9986376732484327,0.5153007763552031,0.5557212574826909,1.3135544119610851,0.05947572698522565,1,7,300,19.53904778073077,0.6471208002214496,PRUNED
14,0.14931870432546715,2025-11-12 06:06:07.991107,2025-11-12 06:06:09.445408,0 days 00:00:01.454301,1.383651322888271,0.880466240449721,0.7408281850813538,0.5992048521086246,0.1616866108392394,2.76238259183459,0.08235198557230124,2,1,100,11.240969599874287,0.721803291028032,COMPLETE
15,0.1687686966933474,2025-11-12 06:06:09.445858,2025-11-12 06:06:14.537772,0 days 00:00:05.091914,0.3197376154447284,0.9810009945891365,0.6255773118034988,0.71804991678614,0.5976810551852165,4.549602619905472,0.05053299069654967,2,10,350,14.760718627309437,0.5624983578731706,COMPLETE
16,0.15053194341185863,2025-11-12 06:06:14.538399,2025-11-12 06:06:15.744878,0 days 00:00:01.206479,0.7829640767648753,0.832484531746356,0.8046172116813635,0.7220500163025566,0.3769959707663782,0.03227247904691666,0.03018255257842837,1,5,250,17.688904249130378,0.8398452119845227,COMPLETE
17,0.11778859172237131,2025-11-12 06:06:15.745501,2025-11-12 06:06:16.079243,0 days 00:00:00.333742,1.9141949466590278,0.913044837511909,0.5751661342457937,0.5808367727628523,0.008912123586205245,2.220700096712316,0.1658020428755583,3,8,400,8.601177393106058,0.984702697476417,COMPLETE
18,0.16380944167355177,2025-11-12 06:06:16.079697,2025-11-12 06:06:17.163519,0 days 00:00:01.083822,1.3274198236243973,0.7523571380476008,0.8874072148062242,0.5839823142332027,0.9938427850497087,1.0692504074747267,0.09909771968315827,1,6,200,13.05246748675522,0.7620229686292194,COMPLETE
19,0.14363449597489877,2025-11-12 06:06:17.164171,2025-11-12 06:06:17.900129,0 days 00:00:00.735958,0.31904454753086386,0.5143686093013831,0.7393369123891942,0.682635976821535,0.1696340328804916,3.5031122233487464,0.07962887449991407,2,8,350,18.186880705163937,0.5998406461897874,COMPLETE
20,0.1514201513750719,2025-11-12 06:06:17.900715,2025-11-12 06:06:19.137985,0 days 00:00:01.237270,1.5021765019648252,0.9438245048353373,0.6899413367714543,0.5042747841652775,0.626600301919256,2.467042018882079,0.05106388207959192,2,4,150,14.9691967919729,0.5012770660841089,PRUNED
