Condition,Comment,Station,Line,Date,Shift,Downtime,StartTime,DowntimeMinutes,EndTime
Ms,MS0923 Rütteltopf Material aus Bunker wird nicht ausreichend gefördert,Ringmontage,E08Usv01-Em,"15.04.2024, 00:51:27 ",Nacht,00:42:54,2024-04-15 00:51:27+02:00,42.9,2024-04-15 01:34:21+02:00
R,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"12.08.2024, 01:40:47 ",Nacht,00:10:47,2024-08-12 01:40:47+02:00,10.783333333333333,2024-08-12 01:51:33.999999998+02:00
Ms,MS0925 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung links,Ringmontage,E08Usv01-Em,"18.12.2024, 20:20:10 ",Spät,00:20:10,2024-12-18 20:20:10+01:00,20.166666666666668,2024-12-18 20:40:20.000000002+01:00
Ms,MS0606 Handling (Roboter / Greifer / Achssystem ...) Problem,Pcb,E08Usv01-Vm,"11.11.2024, 06:27:59 ",Früh,00:27:59,2024-11-11 06:27:59+01:00,27.983333333333334,2024-11-11 06:55:57.999999998+01:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"17.12.2024, 08:11:07 ",Früh,00:11:07,2024-12-17 08:11:07+01:00,11.116666666666667,2024-12-17 08:22:14.000000002+01:00
Ms,MS0337 Lötstelle nio,Kontaktieren,E08Usv01-Vm,"16.04.2024, 18:14:55 ",Spät,00:14:55,2024-04-16 18:14:55+02:00,14.916666666666666,2024-04-16 18:29:50.000000002+02:00
Ms,MS0320 Neues Fehlerbild Senswork neustart,Kontaktieren,E08Usv01-Vm,"14.01.2024, 03:49:27 ",Nacht,00:19:27,2024-01-14 03:49:27+01:00,19.45,2024-01-14 04:08:54+01:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"02.03.2024, 00:32:24 ",Nacht,00:02:24,2024-03-02 00:32:24+01:00,2.4,2024-03-02 00:34:48+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"18.09.2024, 15:07:00 ",Spät,00:07:00,2024-09-18 15:07:00+02:00,7.0,2024-09-18 15:14:00+02:00
Ms,MS0930 Ringe werden nicht korrekt auf Abholposition rechts positioniert,Ringmontage,E08Usv01-Em,"26.05.2024, 22:35:14 ",Spät,00:20:14,2024-05-26 22:35:14+02:00,20.233333333333334,2024-05-26 22:55:27.999999998+02:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"05.11.2024, 10:21:40 ",Früh,00:21:40,2024-11-05 10:21:40+01:00,21.666666666666668,2024-11-05 10:43:20.000000002+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"11.03.2024, 12:07:00 ",Früh,00:07:00,2024-03-11 12:07:00+01:00,7.0,2024-03-11 12:14:00+01:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"06.03.2024, 10:15:03 ",Früh,00:15:03,2024-03-06 10:15:03+01:00,15.05,2024-03-06 10:30:06+01:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"10.01.2024, 00:35:00 ",Nacht,00:05:00,2024-01-10 00:35:00+01:00,5.0,2024-01-10 00:40:00+01:00
Ms,MS0343 Stanze n.i.O. / Leiterplatten Winkel,Kontaktieren,E08Usv01-Vm,"17.02.2025, 21:12:47 ",Spät,00:12:47,2025-02-17 21:12:47+01:00,12.783333333333333,2025-02-17 21:25:33.999999998+01:00
Ms,MS0306 Handling (Roboter / Greifer / Achssystem ...) Problem,Kontaktieren,E08Usv01-Vm,"14.01.2025, 19:00:00 ",Spät,01:00:00,2025-01-14 19:00:00+01:00,60.0,2025-01-14 20:00:00+01:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"28.05.2024, 20:06:10 ",Spät,00:06:10,2024-05-28 20:06:10+02:00,6.166666666666667,2024-05-28 20:12:20.000000002+02:00
Ms,MS0608 PLC (SPS) Ablauffehler. Komplette PCB Nester und WT´s geleert und gelöscht,Pcb,E08Usv01-Vm,"13.09.2024, 14:04:08 ",Spät,00:04:08,2024-09-13 14:04:08+02:00,4.133333333333334,2024-09-13 14:08:15.999999998+02:00
Ms,MS0625 Leiterplatte schief im Schlitten,Pcb,E08Usv01-Vm,"11.02.2025, 02:53:53 ",Nacht,00:23:53,2025-02-11 02:53:53+01:00,23.883333333333333,2025-02-11 03:17:45.999999998+01:00
Ms,MS0325 Drahtlage n.i.O,Kontaktieren,E08Usv01-Vm,"18.10.2024, 12:58:44 ",Früh,00:58:44,2024-10-18 12:58:44+02:00,58.733333333333334,2024-10-18 13:57:27.999999998+02:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"04.03.2024, 10:06:43 ",Früh,00:06:43,2024-03-04 10:06:43+01:00,6.716666666666667,2024-03-04 10:13:26.000000002+01:00
Ms,MS0621 Impedanzmessung n.i.O.,Pcb,E08Usv01-Vm,"04.06.2024, 20:07:48 ",Spät,00:07:48,2024-06-04 20:07:48+02:00,7.8,2024-06-04 20:15:36+02:00
Ms,MS0608 PLC (SPS) Ablauffehler,Pcb,E08Usv01-Vm,"24.10.2024, 01:35:30 ",Nacht,00:05:30,2024-10-24 01:35:30+02:00,5.5,2024-10-24 01:41:00+02:00
Ms,MS0341 Schweißen n.i.O,Kontaktieren,E08Usv01-Vm,"13.05.2024, 06:12:42 ",Früh,00:12:42,2024-05-13 06:12:42+02:00,12.7,2024-05-13 06:25:24+02:00
Ms,MS0925 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung links,Ringmontage,E08Usv01-Em,"26.10.2024, 07:10:58 ",Früh,00:10:58,2024-10-26 07:10:58+02:00,10.966666666666667,2024-10-26 07:21:56.000000002+02:00
