feature,importance
rTotalApparentEnergy_mean,0.016190890379483413
airTotal_mean,0.014655430977251279
rTotalApparentEnergy_max,0.014151126020950292
rTotalApparentEnergy_min,0.014018587576023004
airTotal_max,0.013683623342714245
airTotal_min,0.013101083375013393
airTotal_abs_energy,0.009854055401639503
rTotalApparentEnergy_abs_energy,0.009245310676471006
rTotalReactiveEnergy_mean,0.008674633685676265
rTotalReactiveEnergy_max,0.008639162370698207
airTempeatur_mean,0.00861744816821714
rTotalReactiveEnergy_min,0.008511988888307205
airDurchfluss_max,0.008028432036066905
airTempeatur_abs_energy,0.007109228659965184
aPowerFactorPF_L1_min,0.006988835162451058
airDurchfluss_range,0.006403247612338252
segment_id,0.0063941554699134895
airDurchfluss_change_point_score,0.006358496547688476
aApparentPower_L1_max,0.005977619691542736
aReactivePower_L1_min,0.005844803991201276
aCurrentL1_min,0.005541222138711498
rTotalReactivePower_min,0.005527008467603174
aReactivePower_L2_min,0.005387138384643505
aCurrentL3_min,0.005382032714776574
aVoltage_L1_N_max,0.005338711159702903
aVoltage_L1_N_diff_std,0.005299364965638004
aVoltage_L1_N_mean,0.005291316070965193
aVoltage_L3_N_mean,0.0052875308730472225
aApparentPower_L1_min,0.005273205366267062
aCurrentL1_max,0.005272991020836868
aReactivePower_L3_min,0.005265796766512487
aActivePower_L1_min,0.005258739444763617
aVoltage_L2_N_diff_std,0.0051982133101793095
rTotalActivePower_max,0.005150030603685354
aVoltage_L3_N_max,0.0051204025561024415
aVoltage_L2_N_max,0.005111355709732699
airTempeatur_max,0.005052542623014172
aActivePower_L1_max,0.005028414134512299
aCosPhi_L1_change_point_score,0.005016725147647929
aVoltage_L3_N_diff_std,0.005001348783538256
aPowerFactorPF_L1_ks_test_statistic,0.004870348157760534
aVoltage_L2_N_mean,0.0048489914202751215
aCosPhi_L1_max,0.004806354096768223
airDurchfluss_min,0.004803595011514711
aCosPhi_L1_min,0.004790857147883256
aActivePower_L3_min,0.004775971184441177
aApparentPower_L3_min,0.004745110709766682
aVoltage_L1_N_min,0.004695895280861721
aPowerFactorPF_L2_max,0.0046917811627125005
airTempeatur_min,0.004597338182409004
aVoltage_L3_N_min,0.004595739347582856
rTotalActivePower_min,0.004584475156423118
aCosPhi_L3_max,0.004543416048469703
aCosPhi_L1_ks_test_statistic,0.0045426782977627984
rTotalApparentPower_min,0.004521710486617145
aActivePower_L1_abs_energy,0.0044682840456902835
aVoltage_L2_N_min,0.004440189457880063
aPowerFactorPF_L2_change_point_score,0.004438475992410003
aCurrentL2_min,0.004421045293994942
aCosPhi_L3_min,0.004416162273022314
aApparentPower_L2_min,0.004334344898218556
aReactivePower_L3_diff_std,0.00432981293630976
aCosPhi_L1_range,0.004295030159914022
aVoltage_L1_N_abs_energy,0.004269730716204767
aReactivePower_L1_change_point_score,0.004233836305408706
aReactivePower_L1_max,0.004222192927185297
aPowerFactorPF_L2_min,0.00419993712201474
rTotalReactiveEnergy_abs_energy,0.004170018013058805
aCosPhi_L3_change_point_score,0.004150833943169231
aReactivePower_L3_range,0.004111560227991642
aReactivePower_L1_range,0.0041089000413051776
aVoltage_L2_N_abs_energy,0.004084659873227611
aVoltage_L3_N_abs_energy,0.004065826838515046
aActivePower_L2_min,0.004063123172286136
aCosPhi_L3_ks_test_statistic,0.0040552325809809905
aReactivePower_L3_max,0.004054917677407991
rTotalReactivePower_change_point_score,0.003988569018577453
aReactivePower_L2_max,0.0039843299268861
aVoltage_L1_N_change_point_score,0.003953701841612075
aReactivePower_L3_change_point_score,0.0039014879404788553
aReactivePower_L2_change_point_score,0.0038959417082111178
airTempeatur_range,0.003888718144178737
aVoltage_L2_N_change_point_score,0.003820298460615661
aActivePower_L3_max,0.003814711404876387
aPowerFactorPF_L2_ks_test_statistic,0.0038126395310564137
aActivePower_L2_change_point_score,0.0037902347140539097
