feature,importance
rTotalApparentEnergy_mean,0.03821653287422942
rTotalApparentEnergy_max,0.03698841392922283
rTotalApparentEnergy_min,0.035637602796982325
airTotal_mean,0.035437060444366474
airTotal_min,0.034846344155664205
airTotal_max,0.03432326612144425
airDurchfluss_max,0.02683771056825776
airDurchfluss_range,0.02309487472628945
aVoltage_L1_N_max,0.020139823136771304
aVoltage_L1_N_mean,0.019405702747499264
airTempeatur_min,0.01824784460237704
aReactivePower_L3_range,0.018050562289735714
aVoltage_L1_N_min,0.01791741138813666
aVoltage_L1_N_diff_std,0.01756612815909753
aVoltage_L2_N_diff_std,0.017361646750193034
aCurrentL1_max,0.017230473815038325
aReactivePower_L3_max,0.01716435537652562
aPowerFactorPF_L2_max,0.016751294953810426
aVoltage_L3_N_diff_std,0.01660779477801688
rTotalActivePower_max,0.016300530027049464
aApparentPower_L1_max,0.01628835793696284
aCosPhi_L1_range,0.01569299684726377
aReactivePower_L1_range,0.015051665304567096
aCosPhi_L2_mean,0.014911469997947987
aActivePower_L3_max,0.014777688583653349
aCurrentL3_max,0.013767991076056866
airTempeatur_std,0.013705995338494533
aCosPhi_L1_diff_std,0.0135746514038096
aApparentPower_L3_max,0.013339497621641333
rTotalApparentPower_range,0.013006030661489566
airTempeatur_range,0.012826912693515907
airDurchfluss_std,0.012802022231586876
aApparentPower_L3_range,0.012353030529012425
airDurchfluss_diff_std,0.011991388883850254
aActivePower_L3_range,0.011976408907473588
aCosPhi_L2_diff_std,0.01197167654704719
aPowerFactorPF_L2_range,0.011812683555314358
aCosPhi_L1_std,0.01154816203482917
aActivePower_L1_range,0.011374527044958303
aCurrentL1_range,0.011368283363710091
airTempeatur_diff_std,0.011361347782479415
aReactivePower_L2_range,0.011313550077161321
aReactivePower_L2_diff_std,0.011281976052823465
rTotalReactivePower_range,0.011260667614401733
aCosPhi_L2_range,0.011074034841253006
aReactivePower_L1_diff_std,0.010960612716659972
aCurrentL3_range,0.010876188761750673
aApparentPower_L1_range,0.010489104095884447
aCosPhi_L2_std,0.010168236741896042
aPowerFactorPF_L1_range,0.009719296561477155
aActivePower_L2_range,0.00962784777842062
aCurrentL2_range,0.009477704945976953
rTotalReactivePower_diff_std,0.009412372404503176
aApparentPower_L2_range,0.009358720555232037
rTotalActivePower_range,0.009140695000002226
aPowerFactorPF_L2_std,0.008941753323002394
aActivePower_L1_std,0.008939801977204315
aCurrentL1_std,0.008737573306454199
aReactivePower_L1_std,0.008683032128862216
rTotalApparentPower_std,0.008439623227142739
aReactivePower_L2_std,0.007800387657309948
aCurrentL3_skew,0.006975856226799859
aApparentPower_L3_skew,0.0069405537399642855
rTotalReactivePower_std,0.006902415246248363
aCurrentL2_std,0.0061419945623450945
aActivePower_L2_std,0.006112488334927484
aApparentPower_L2_std,0.006085364726937489
airDruck_min,0.004414443818957911
airDruck_range,0.003687617581150564
airDruck_skew,0.0027426359269649603
component_contact,0.0002837082798685701
component_pcb,0.0002631417158381473
component_ring,0.00011843808620615136
