feature,importance
rTotalApparentEnergy_mean,0.039242058872653064
rTotalApparentEnergy_min,0.03808766008611995
rTotalApparentEnergy_max,0.03757838311702314
airTotal_mean,0.03681734751685508
airTotal_max,0.036119568846954005
airTotal_min,0.03587305892458385
airDurchfluss_max,0.027404207449792363
airDurchfluss_range,0.02275421199450993
aVoltage_L1_N_max,0.019451886321099697
aVoltage_L1_N_mean,0.019037639126298436
aReactivePower_L3_range,0.018086652194765757
rTotalActivePower_max,0.01774430611679384
aReactivePower_L3_max,0.01748121011587182
airTempeatur_min,0.017454717735380113
aVoltage_L1_N_min,0.017450602423829398
aCurrentL1_max,0.017200053367184612
aVoltage_L2_N_diff_std,0.016967921216278044
aVoltage_L1_N_diff_std,0.01695259902070912
aApparentPower_L1_max,0.016911670282866158
aPowerFactorPF_L2_max,0.016554124473832546
aVoltage_L3_N_diff_std,0.016190258518573974
aActivePower_L3_max,0.015342488062891605
aCosPhi_L1_range,0.014987628822918313
aPowerFactorPF_L1_range,0.014947630016289015
aReactivePower_L1_range,0.014356170370369707
aCosPhi_L2_mean,0.014290106159737071
aCosPhi_L1_diff_std,0.013849287501106512
aCurrentL3_max,0.013222761296008337
aApparentPower_L3_max,0.01318781742043121
airTempeatur_std,0.012998803041560671
airDurchfluss_std,0.012387334889761471
aApparentPower_L3_range,0.012018305857973099
aCosPhi_L1_std,0.011943104672142385
aActivePower_L3_range,0.011839689557309876
aCosPhi_L2_diff_std,0.011764647517769174
airDurchfluss_diff_std,0.011716216273706358
aPowerFactorPF_L2_range,0.011607736783149067
airTempeatur_diff_std,0.011335700235238102
aReactivePower_L2_range,0.011200177152684265
aCurrentL3_range,0.011122676729789466
rTotalReactivePower_range,0.01109989201036192
rTotalApparentPower_range,0.011081680565561055
aCurrentL1_range,0.010835573876222636
aActivePower_L1_range,0.01076579680225115
aReactivePower_L1_diff_std,0.010690333523314754
airTempeatur_range,0.010670782205312809
aReactivePower_L2_diff_std,0.010603784312075423
aCosPhi_L2_range,0.010498927994692549
aActivePower_L2_range,0.010078660902684776
aApparentPower_L1_range,0.01003438924546054
aCurrentL2_range,0.00990631470100558
aCosPhi_L2_std,0.009725255105732423
aApparentPower_L2_range,0.009507550797307158
rTotalActivePower_range,0.009217756083182241
rTotalReactivePower_diff_std,0.008870723986709553
aPowerFactorPF_L2_std,0.00883739840226831
aCurrentL1_std,0.008808493512740712
aActivePower_L1_std,0.008482604945441827
rTotalApparentPower_std,0.007930084173948925
aReactivePower_L1_std,0.007877501767924623
aReactivePower_L2_std,0.007533587605020078
rTotalReactivePower_std,0.007041550988757082
aCurrentL3_skew,0.006881481595320853
aApparentPower_L3_skew,0.00677292958515645
aActivePower_L2_std,0.006111202977124394
aCurrentL2_std,0.0059982616822771865
aApparentPower_L2_std,0.005911304803657801
airDruck_min,0.005179850271214285
airDruck_range,0.004098314583001743
airDruck_skew,0.002943965961085557
component_contact,0.0002569558663022907
component_pcb,0.0001799711230266044
component_ring,8.869796104626231e-05
