feature,importance
rTotalApparentEnergy_mean,0.049118541628005497
airTotal_mean,0.04746912548286761
airTotal_max,0.03690672992893022
rTotalApparentEnergy_max,0.03623405420868492
airTotal_min,0.036067306788614896
rTotalApparentEnergy_min,0.03532646272568011
airTempeatur_mean,0.027088573159760824
airDurchfluss_max,0.02293033541359395
airTotal_abs_energy,0.022308430962012266
airTempeatur_abs_energy,0.021723819702044768
airDurchfluss_range,0.021381623199851128
airDurchfluss_change_point_score,0.021167416007623237
aPowerFactorPF_L2_max,0.01992343543170687
aReactivePower_L3_min,0.019890726104305353
aReactivePower_L1_min,0.019889009158788735
rTotalApparentEnergy_abs_energy,0.01965999089772035
aActivePower_L1_max,0.0187240140160288
aActivePower_L1_min,0.018575267246044188
aCurrentL1_min,0.018418797001430728
rTotalReactivePower_min,0.018141584331095577
airDurchfluss_min,0.018040614728904548
aVoltage_L3_N_mean,0.01795160169335871
aApparentPower_L1_min,0.017918806324109988
aVoltage_L1_N_mean,0.01771381306710958
aCosPhi_L1_min,0.01766475196021603
aCosPhi_L1_change_point_score,0.017527011237250104
aActivePower_L3_min,0.01751672188423291
aReactivePower_L2_min,0.01745608515977899
aVoltage_L2_N_mean,0.017366050648522254
aApparentPower_L3_min,0.016940545896892745
aCurrentL3_min,0.016925202308434965
rTotalActivePower_max,0.016896603687282033
aCosPhi_L1_max,0.016753440364064686
aVoltage_L3_N_max,0.0166946986388297
aVoltage_L1_N_max,0.01642666085843647
aVoltage_L2_N_max,0.016282211197303727
aVoltage_L1_N_min,0.01623020949894357
aVoltage_L2_N_diff_std,0.01612832110581415
aApparentPower_L1_max,0.01541214603197455
aPowerFactorPF_L1_min,0.015357700487320275
aVoltage_L3_N_diff_std,0.015352192092797782
aVoltage_L1_N_diff_std,0.015079124189759804
aCurrentL1_max,0.014912007329866547
aPowerFactorPF_L1_ks_test_statistic,0.01470343770263262
airTempeatur_max,0.01327947638883906
rTotalReactiveEnergy_mean,0.012646412835965093
rTotalReactiveEnergy_max,0.012175979946808725
rTotalReactiveEnergy_min,0.011719152545293732
airTempeatur_min,0.011257915717323866
segment_id,0.008233102518495652
component_contact,0.0004483192124435463
component_pcb,3.853246283769411e-05
component_ring,5.9068833660290195e-06
